Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,1.67,1.67,1.67,1.67,0,0,0
2020-06-22 09:02:00+08:00,1.67,1.67,1.67,1.67,1000,0,0
2020-06-22 09:15:00+08:00,1.68,1.68,1.68,1.68,0,0,0
2020-06-22 09:18:00+08:00,1.68,1.68,1.68,1.68,16000,0,0
2020-06-22 09:22:00+08:00,1.7,1.71,1.7,1.71,8500,0,0
2020-06-22 09:24:00+08:00,1.71,1.71,1.71,1.71,1000,0,0
2020-06-22 09:26:00+08:00,1.7,1.7,1.7,1.7,5000,0,0
2020-06-22 09:29:00+08:00,1.69,1.69,1.69,1.69,500,0,0
2020-06-22 09:30:00+08:00,1.69,1.69,1.69,1.69,2500,0,0
2020-06-22 09:32:00+08:00,1.68,1.69,1.68,1.69,6500,0,0
2020-06-22 09:35:00+08:00,1.69,1.69,1.69,1.69,2000,0,0
2020-06-22 09:37:00+08:00,1.69,1.69,1.69,1.69,3000,0,0
2020-06-22 09:41:00+08:00,1.69,1.69,1.69,1.69,7000,0,0
2020-06-22 09:45:00+08:00,1.7,1.7,1.69,1.69,2900,0,0
2020-06-22 09:57:00+08:00,1.7,1.7,1.7,1.7,2900,0,0
2020-06-22 09:58:00+08:00,1.7,1.7,1.7,1.7,2000,0,0
2020-06-22 10:00:00+08:00,1.7,1.7,1.69,1.69,2100,0,0
2020-06-22 10:15:00+08:00,1.69,1.69,1.69,1.69,1000,0,0
2020-06-22 10:17:00+08:00,1.69,1.69,1.69,1.69,5000,0,0
2020-06-22 10:35:00+08:00,1.69,1.69,1.69,1.69,6400,0,0
2020-06-22 10:48:00+08:00,1.69,1.69,1.69,1.69,1500,0,0
2020-06-22 10:52:00+08:00,1.68,1.69,1.68,1.69,2800,0,0
2020-06-22 11:09:00+08:00,1.69,1.69,1.69,1.69,2300,0,0
2020-06-22 11:11:00+08:00,1.69,1.69,1.69,1.69,500,0,0
2020-06-22 11:18:00+08:00,1.69,1.69,1.69,1.69,2900,0,0
2020-06-22 11:21:00+08:00,1.69,1.69,1.69,1.69,1500,0,0
2020-06-22 11:24:00+08:00,1.69,1.69,1.69,1.69,4800,0,0
2020-06-22 11:29:00+08:00,1.69,1.69,1.69,1.69,2100,0,0
2020-06-22 11:30:00+08:00,1.69,1.69,1.69,1.69,4300,0,0
2020-06-22 11:32:00+08:00,1.69,1.69,1.69,1.69,3300,0,0
2020-06-22 11:33:00+08:00,1.69,1.69,1.69,1.69,2300,0,0
2020-06-22 11:47:00+08:00,1.69,1.69,1.69,1.69,3400,0,0
2020-06-22 11:51:00+08:00,1.69,1.69,1.69,1.69,7600,0,0
2020-06-22 11:53:00+08:00,1.69,1.69,1.69,1.69,6100,0,0
2020-06-22 11:54:00+08:00,1.69,1.69,1.69,1.69,300,0,0
2020-06-22 11:55:00+08:00,1.69,1.69,1.69,1.69,100,0,0
2020-06-22 12:01:00+08:00,1.69,1.69,1.69,1.69,600,0,0
2020-06-22 14:30:00+08:00,1.68,1.68,1.68,1.68,20300,0,0
2020-06-22 14:35:00+08:00,1.68,1.68,1.68,1.68,3800,0,0
2020-06-22 14:40:00+08:00,1.67,1.67,1.67,1.67,34100,0,0
2020-06-22 14:45:00+08:00,1.67,1.68,1.67,1.68,2300,0,0
2020-06-22 14:51:00+08:00,1.67,1.67,1.67,1.67,1900,0,0
2020-06-22 14:52:00+08:00,1.67,1.67,1.67,1.67,3000,0,0
2020-06-22 15:09:00+08:00,1.66,1.67,1.66,1.67,30800,0,0
2020-06-22 15:13:00+08:00,1.66,1.67,1.66,1.67,3000,0,0
2020-06-22 15:16:00+08:00,1.65,1.66,1.65,1.66,4300,0,0
2020-06-22 15:19:00+08:00,1.66,1.67,1.66,1.67,23900,0,0
2020-06-22 15:21:00+08:00,1.66,1.67,1.66,1.67,30300,0,0
2020-06-22 15:22:00+08:00,1.67,1.67,1.67,1.67,300,0,0
2020-06-22 15:27:00+08:00,1.65,1.65,1.65,1.65,50000,0,0
2020-06-22 15:28:00+08:00,1.64,1.64,1.64,1.64,2600,0,0
2020-06-22 15:30:00+08:00,1.66,1.66,1.66,1.66,3800,0,0
2020-06-22 15:33:00+08:00,1.65,1.66,1.64,1.66,3400,0,0
2020-06-22 15:38:00+08:00,1.65,1.66,1.65,1.66,3600,0,0
2020-06-22 15:41:00+08:00,1.65,1.66,1.65,1.66,1700,0,0
2020-06-22 15:43:00+08:00,1.65,1.66,1.65,1.66,6700,0,0
2020-06-22 15:49:00+08:00,1.65,1.66,1.64,1.66,5600,0,0
2020-06-22 15:52:00+08:00,1.64,1.65,1.64,1.65,4700,0,0
2020-06-22 15:54:00+08:00,1.65,1.65,1.65,1.65,1400,0,0
2020-06-22 15:55:00+08:00,1.65,1.66,1.65,1.66,16500,0,0
2020-06-22 16:04:00+08:00,1.66,1.66,1.66,1.66,300,0,0
2020-06-22 16:13:00+08:00,1.65,1.66,1.65,1.66,5200,0,0
2020-06-22 16:15:00+08:00,1.65,1.66,1.64,1.66,13900,0,0
2020-06-22 16:16:00+08:00,1.66,1.66,1.66,1.66,1000,0,0
2020-06-22 16:21:00+08:00,1.64,1.65,1.64,1.65,15800,0,0
2020-06-22 16:24:00+08:00,1.64,1.65,1.64,1.65,11600,0,0
2020-06-22 16:25:00+08:00,1.65,1.65,1.65,1.65,200,0,0
2020-06-22 16:26:00+08:00,1.65,1.65,1.65,1.65,400,0,0
2020-06-22 16:28:00+08:00,1.65,1.66,1.65,1.66,14500,0,0
2020-06-22 16:32:00+08:00,1.66,1.66,1.66,1.66,400,0,0
2020-06-22 16:37:00+08:00,1.66,1.66,1.66,1.66,1500,0,0
2020-06-22 16:39:00+08:00,1.65,1.66,1.65,1.66,8800,0,0
2020-06-22 16:50:00+08:00,1.65,1.65,1.65,1.65,11900,0,0
2020-06-22 16:58:00+08:00,1.65,1.65,1.65,1.65,4000,0,0
