Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,12.06,12.06,11.9,11.9,0,0,0
2020-06-22 09:01:00+08:00,12.04,12.04,11.94,12.04,22200,0,0
2020-06-22 09:02:00+08:00,12.06,12.12,12.06,12.08,26500,0,0
2020-06-22 09:03:00+08:00,12.08,12.1,12.08,12.1,42600,0,0
2020-06-22 09:04:00+08:00,12.1,12.14,12.06,12.08,42900,0,0
2020-06-22 09:05:00+08:00,12.1,12.1,12.0,12.06,16100,0,0
2020-06-22 09:06:00+08:00,12.06,12.08,12.06,12.08,6700,0,0
2020-06-22 09:07:00+08:00,12.08,12.18,12.08,12.14,22200,0,0
2020-06-22 09:08:00+08:00,12.14,12.2,12.14,12.2,87000,0,0
2020-06-22 09:09:00+08:00,12.18,12.18,12.18,12.18,33200,0,0
2020-06-22 09:10:00+08:00,12.18,12.2,12.16,12.18,25100,0,0
2020-06-22 09:11:00+08:00,12.2,12.24,12.2,12.24,71500,0,0
2020-06-22 09:12:00+08:00,12.24,12.24,12.24,12.24,7500,0,0
2020-06-22 09:14:00+08:00,12.26,12.26,12.26,12.26,52700,0,0
2020-06-22 09:15:00+08:00,12.24,12.26,12.24,12.26,46800,0,0
2020-06-22 09:16:00+08:00,12.28,12.28,12.28,12.28,27500,0,0
2020-06-22 09:17:00+08:00,12.28,12.28,12.26,12.26,12800,0,0
2020-06-22 09:18:00+08:00,12.26,12.28,12.26,12.28,16500,0,0
2020-06-22 09:19:00+08:00,12.28,12.28,12.28,12.28,10800,0,0
2020-06-22 09:20:00+08:00,12.28,12.28,12.26,12.26,40500,0,0
2020-06-22 09:21:00+08:00,12.28,12.28,12.28,12.28,8300,0,0
2020-06-22 09:22:00+08:00,12.28,12.28,12.28,12.28,3100,0,0
2020-06-22 09:23:00+08:00,12.26,12.28,12.26,12.28,15300,0,0
2020-06-22 09:24:00+08:00,12.28,12.28,12.26,12.26,5600,0,0
2020-06-22 09:25:00+08:00,12.28,12.28,12.28,12.28,2000,0,0
2020-06-22 09:26:00+08:00,12.28,12.28,12.28,12.28,5500,0,0
2020-06-22 09:27:00+08:00,12.26,12.28,12.26,12.26,3200,0,0
2020-06-22 09:28:00+08:00,12.26,12.28,12.26,12.28,6500,0,0
2020-06-22 09:29:00+08:00,12.28,12.28,12.24,12.24,31700,0,0
2020-06-22 09:30:00+08:00,12.24,12.24,12.2,12.2,97000,0,0
2020-06-22 09:31:00+08:00,12.2,12.22,12.18,12.18,41100,0,0
2020-06-22 09:32:00+08:00,12.18,12.2,12.18,12.18,15500,0,0
2020-06-22 09:33:00+08:00,12.18,12.18,12.14,12.16,47400,0,0
2020-06-22 09:34:00+08:00,12.16,12.16,12.1,12.1,19200,0,0
2020-06-22 09:35:00+08:00,12.1,12.12,12.08,12.12,52900,0,0
2020-06-22 09:36:00+08:00,12.12,12.12,12.12,12.12,3100,0,0
2020-06-22 09:37:00+08:00,12.1,12.1,12.1,12.1,14600,0,0
2020-06-22 09:38:00+08:00,12.1,12.1,12.08,12.1,5800,0,0
2020-06-22 09:39:00+08:00,12.08,12.1,12.06,12.06,20300,0,0
2020-06-22 09:40:00+08:00,12.06,12.06,12.06,12.06,700,0,0
2020-06-22 09:41:00+08:00,12.06,12.06,12.06,12.06,20000,0,0
2020-06-22 09:42:00+08:00,12.06,12.06,12.02,12.04,49100,0,0
2020-06-22 09:43:00+08:00,12.04,12.1,12.04,12.1,24200,0,0
2020-06-22 09:44:00+08:00,12.08,12.1,12.08,12.08,11600,0,0
2020-06-22 09:45:00+08:00,12.1,12.1,12.0,12.02,84500,0,0
2020-06-22 09:46:00+08:00,12.06,12.08,12.06,12.08,14100,0,0
2020-06-22 09:47:00+08:00,12.06,12.14,12.06,12.14,45800,0,0
2020-06-22 09:48:00+08:00,12.14,12.16,12.14,12.14,15100,0,0
2020-06-22 09:49:00+08:00,12.12,12.12,12.1,12.1,15000,0,0
2020-06-22 09:50:00+08:00,12.1,12.1,12.08,12.1,29300,0,0
2020-06-22 09:51:00+08:00,12.1,12.1,12.08,12.08,2400,0,0
2020-06-22 09:52:00+08:00,12.1,12.1,12.08,12.08,3200,0,0
2020-06-22 09:53:00+08:00,12.1,12.1,12.08,12.1,2800,0,0
2020-06-22 09:54:00+08:00,12.1,12.12,12.08,12.12,21100,0,0
2020-06-22 09:55:00+08:00,12.12,12.12,12.12,12.12,5300,0,0
2020-06-22 09:56:00+08:00,12.14,12.16,12.14,12.16,6900,0,0
2020-06-22 09:57:00+08:00,12.16,12.16,12.16,12.16,8700,0,0
2020-06-22 09:58:00+08:00,12.16,12.16,12.16,12.16,3300,0,0
2020-06-22 09:59:00+08:00,12.16,12.16,12.14,12.14,8300,0,0
2020-06-22 10:00:00+08:00,12.12,12.12,12.12,12.12,20700,0,0
2020-06-22 10:01:00+08:00,12.12,12.12,12.12,12.12,19600,0,0
2020-06-22 10:02:00+08:00,12.12,12.12,12.12,12.12,400,0,0
2020-06-22 10:03:00+08:00,12.14,12.14,12.14,12.14,200,0,0
2020-06-22 10:04:00+08:00,12.12,12.14,12.12,12.14,4100,0,0
2020-06-22 10:05:00+08:00,12.14,12.16,12.14,12.14,15100,0,0
2020-06-22 10:06:00+08:00,12.16,12.16,12.16,12.16,20400,0,0
2020-06-22 10:07:00+08:00,12.16,12.16,12.16,12.16,12900,0,0
2020-06-22 10:08:00+08:00,12.16,12.18,12.16,12.18,20000,0,0
