Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:00:00+08:00,5.43,5.43,5.43,5.43,0,0,0
2020-06-17 09:12:00+08:00,5.44,5.44,5.44,5.44,1600,0,0
2020-06-17 09:20:00+08:00,5.43,5.43,5.43,5.43,3700,0,0
2020-06-17 09:21:00+08:00,5.43,5.43,5.42,5.43,40700,0,0
2020-06-17 09:22:00+08:00,5.42,5.42,5.41,5.41,52300,0,0
2020-06-17 09:23:00+08:00,5.41,5.41,5.41,5.41,2000,0,0
2020-06-17 09:24:00+08:00,5.42,5.42,5.41,5.42,34900,0,0
2020-06-17 09:25:00+08:00,5.42,5.42,5.42,5.42,17000,0,0
2020-06-17 09:28:00+08:00,5.42,5.42,5.42,5.42,10000,0,0
2020-06-17 09:29:00+08:00,5.42,5.42,5.42,5.42,11400,0,0
2020-06-17 09:30:00+08:00,5.42,5.44,5.42,5.44,36700,0,0
2020-06-17 09:33:00+08:00,5.44,5.44,5.44,5.44,4200,0,0
2020-06-17 09:35:00+08:00,5.44,5.44,5.44,5.44,5500,0,0
2020-06-17 09:41:00+08:00,5.43,5.43,5.43,5.43,9700,0,0
2020-06-17 09:42:00+08:00,5.43,5.43,5.43,5.43,15300,0,0
2020-06-17 09:47:00+08:00,5.43,5.43,5.43,5.43,5000,0,0
2020-06-17 09:56:00+08:00,5.43,5.43,5.43,5.43,7900,0,0
2020-06-17 09:57:00+08:00,5.43,5.43,5.43,5.43,21600,0,0
2020-06-17 09:59:00+08:00,5.43,5.43,5.42,5.42,36900,0,0
2020-06-17 10:04:00+08:00,5.42,5.42,5.42,5.42,11200,0,0
2020-06-17 10:05:00+08:00,5.42,5.42,5.42,5.42,2900,0,0
2020-06-17 10:11:00+08:00,5.42,5.42,5.42,5.42,2700,0,0
2020-06-17 10:13:00+08:00,5.43,5.43,5.42,5.42,112500,0,0
2020-06-17 10:17:00+08:00,5.42,5.42,5.42,5.42,700,0,0
2020-06-17 10:19:00+08:00,5.42,5.42,5.42,5.42,1300,0,0
2020-06-17 10:22:00+08:00,5.43,5.44,5.42,5.43,90000,0,0
2020-06-17 10:27:00+08:00,5.43,5.43,5.43,5.43,500,0,0
2020-06-17 10:28:00+08:00,5.43,5.43,5.43,5.43,10000,0,0
2020-06-17 10:31:00+08:00,5.43,5.43,5.43,5.43,79700,0,0
2020-06-17 10:36:00+08:00,5.42,5.42,5.4,5.4,131300,0,0
2020-06-17 10:37:00+08:00,5.41,5.41,5.41,5.41,5000,0,0
2020-06-17 10:40:00+08:00,5.4,5.4,5.38,5.38,182300,0,0
2020-06-17 10:41:00+08:00,5.38,5.38,5.37,5.37,32000,0,0
2020-06-17 10:42:00+08:00,5.37,5.37,5.36,5.36,39400,0,0
2020-06-17 10:43:00+08:00,5.37,5.37,5.37,5.37,1700,0,0
2020-06-17 10:44:00+08:00,5.37,5.38,5.37,5.38,25900,0,0
2020-06-17 10:45:00+08:00,5.38,5.38,5.38,5.38,2000,0,0
2020-06-17 10:46:00+08:00,5.38,5.38,5.38,5.38,20600,0,0
