Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-18 09:00:00+08:00,8.45,8.45,8.45,8.45,0,0,0
2020-06-18 09:01:00+08:00,8.44,8.45,8.44,8.44,11200,0,0
2020-06-18 09:03:00+08:00,8.42,8.42,8.42,8.42,2600,0,0
2020-06-18 09:04:00+08:00,8.42,8.43,8.42,8.43,12100,0,0
2020-06-18 09:05:00+08:00,8.42,8.42,8.41,8.41,13200,0,0
2020-06-18 09:06:00+08:00,8.41,8.41,8.4,8.4,23400,0,0
2020-06-18 09:07:00+08:00,8.41,8.41,8.41,8.41,2700,0,0
2020-06-18 09:08:00+08:00,8.4,8.4,8.4,8.4,10300,0,0
2020-06-18 09:09:00+08:00,8.39,8.39,8.39,8.39,5000,0,0
2020-06-18 09:10:00+08:00,8.39,8.39,8.39,8.39,1100,0,0
2020-06-18 09:11:00+08:00,8.39,8.39,8.39,8.39,400,0,0
2020-06-18 09:13:00+08:00,8.39,8.4,8.39,8.4,1600,0,0
2020-06-18 09:15:00+08:00,8.4,8.4,8.39,8.4,5100,0,0
2020-06-18 09:16:00+08:00,8.4,8.4,8.39,8.4,6600,0,0
2020-06-18 09:17:00+08:00,8.39,8.4,8.39,8.4,5400,0,0
2020-06-18 09:18:00+08:00,8.4,8.4,8.4,8.4,8900,0,0
2020-06-18 09:19:00+08:00,8.4,8.4,8.39,8.39,34000,0,0
2020-06-18 09:21:00+08:00,8.39,8.4,8.39,8.4,14200,0,0
2020-06-18 09:22:00+08:00,8.4,8.4,8.38,8.38,87400,0,0
2020-06-18 09:23:00+08:00,8.38,8.38,8.37,8.37,6000,0,0
2020-06-18 09:24:00+08:00,8.37,8.37,8.35,8.35,4000,0,0
2020-06-18 09:25:00+08:00,8.34,8.34,8.34,8.34,1100,0,0
2020-06-18 09:26:00+08:00,8.32,8.32,8.3,8.3,500,0,0
2020-06-18 09:27:00+08:00,8.32,8.32,8.31,8.31,11100,0,0
2020-06-18 09:28:00+08:00,8.32,8.32,8.32,8.32,600,0,0
2020-06-18 09:29:00+08:00,8.32,8.32,8.31,8.31,8200,0,0
2020-06-18 09:30:00+08:00,8.3,8.3,8.3,8.3,23800,0,0
2020-06-18 09:31:00+08:00,8.29,8.29,8.28,8.29,3600,0,0
2020-06-18 09:32:00+08:00,8.28,8.3,8.28,8.3,62800,0,0
2020-06-18 09:33:00+08:00,8.3,8.3,8.3,8.3,6500,0,0
2020-06-18 09:34:00+08:00,8.29,8.29,8.29,8.29,2000,0,0
2020-06-18 09:35:00+08:00,8.28,8.28,8.27,8.27,21800,0,0
2020-06-18 09:36:00+08:00,8.27,8.27,8.26,8.26,9300,0,0
2020-06-18 09:37:00+08:00,8.26,8.26,8.24,8.24,8600,0,0
2020-06-18 09:38:00+08:00,8.23,8.23,8.22,8.22,8200,0,0
2020-06-18 09:39:00+08:00,8.18,8.19,8.18,8.19,8600,0,0
2020-06-18 09:40:00+08:00,8.18,8.19,8.18,8.19,16700,0,0
2020-06-18 09:41:00+08:00,8.19,8.21,8.19,8.21,18900,0,0
2020-06-18 09:42:00+08:00,8.22,8.26,8.22,8.26,8000,0,0
2020-06-18 09:43:00+08:00,8.27,8.27,8.25,8.25,9300,0,0
2020-06-18 09:44:00+08:00,8.25,8.27,8.25,8.27,23500,0,0
2020-06-18 09:45:00+08:00,8.28,8.3,8.28,8.3,29400,0,0
2020-06-18 09:46:00+08:00,8.28,8.28,8.28,8.28,2000,0,0
2020-06-18 09:47:00+08:00,8.28,8.28,8.28,8.28,500,0,0
2020-06-18 09:48:00+08:00,8.28,8.28,8.27,8.27,21800,0,0
2020-06-18 09:49:00+08:00,8.28,8.28,8.27,8.27,14100,0,0
2020-06-18 09:50:00+08:00,8.28,8.28,8.27,8.28,13700,0,0
2020-06-18 09:51:00+08:00,8.28,8.28,8.27,8.27,21300,0,0
2020-06-18 09:52:00+08:00,8.28,8.28,8.28,8.28,7900,0,0
2020-06-18 09:53:00+08:00,8.29,8.29,8.29,8.29,13100,0,0
2020-06-18 09:54:00+08:00,8.29,8.29,8.29,8.29,2700,0,0
2020-06-18 09:55:00+08:00,8.29,8.29,8.29,8.29,10400,0,0
2020-06-18 09:56:00+08:00,8.28,8.28,8.28,8.28,200,0,0
2020-06-18 09:57:00+08:00,8.29,8.29,8.28,8.28,1800,0,0
2020-06-18 09:59:00+08:00,8.28,8.28,8.28,8.28,200,0,0
2020-06-18 10:00:00+08:00,8.29,8.29,8.28,8.28,1000,0,0
2020-06-18 10:01:00+08:00,8.29,8.29,8.28,8.28,7500,0,0
2020-06-18 10:02:00+08:00,8.29,8.29,8.28,8.28,33500,0,0
2020-06-18 10:03:00+08:00,8.29,8.29,8.28,8.28,1300,0,0
2020-06-18 10:04:00+08:00,8.28,8.29,8.28,8.29,2400,0,0
2020-06-18 10:05:00+08:00,8.29,8.29,8.28,8.28,1200,0,0
2020-06-18 10:06:00+08:00,8.29,8.29,8.28,8.29,2200,0,0
2020-06-18 10:07:00+08:00,8.28,8.28,8.27,8.27,68400,0,0
2020-06-18 10:08:00+08:00,8.27,8.28,8.27,8.27,18100,0,0
2020-06-18 10:09:00+08:00,8.27,8.27,8.26,8.26,22000,0,0
2020-06-18 10:10:00+08:00,8.25,8.25,8.24,8.24,13500,0,0
2020-06-18 10:11:00+08:00,8.24,8.24,8.24,8.24,100,0,0
2020-06-18 10:12:00+08:00,8.24,8.24,8.24,8.24,13200,0,0
2020-06-18 10:13:00+08:00,8.23,8.23,8.21,8.21,4000,0,0
2020-06-18 10:14:00+08:00,8.21,8.23,8.21,8.22,37000,0,0
2020-06-18 10:15:00+08:00,8.22,8.22,8.21,8.21,500,0,0
2020-06-18 10:16:00+08:00,8.21,8.21,8.21,8.21,2400,0,0
2020-06-18 10:17:00+08:00,8.21,8.21,8.21,8.21,600,0,0
2020-06-18 10:18:00+08:00,8.21,8.22,8.21,8.22,11300,0,0
2020-06-18 10:19:00+08:00,8.22,8.22,8.21,8.21,2200,0,0
2020-06-18 10:20:00+08:00,8.22,8.22,8.21,8.22,4200,0,0
2020-06-18 10:21:00+08:00,8.21,8.22,8.21,8.22,3700,0,0
2020-06-18 10:22:00+08:00,8.22,8.22,8.2,8.2,57800,0,0
2020-06-18 10:23:00+08:00,8.19,8.19,8.19,8.19,12100,0,0
2020-06-18 10:24:00+08:00,8.18,8.18,8.16,8.16,19100,0,0
2020-06-18 10:25:00+08:00,8.16,8.16,8.14,8.14,14700,0,0
2020-06-18 10:26:00+08:00,8.12,8.13,8.12,8.13,2200,0,0
2020-06-18 10:27:00+08:00,8.12,8.14,8.12,8.14,16100,0,0
2020-06-18 10:29:00+08:00,8.14,8.15,8.14,8.15,8000,0,0
2020-06-18 10:30:00+08:00,8.16,8.16,8.16,8.16,1300,0,0
2020-06-18 10:31:00+08:00,8.17,8.18,8.17,8.18,2300,0,0
2020-06-18 10:32:00+08:00,8.18,8.19,8.18,8.19,3700,0,0
2020-06-18 10:33:00+08:00,8.18,8.18,8.17,8.17,39900,0,0
2020-06-18 10:34:00+08:00,8.17,8.17,8.17,8.17,200,0,0
2020-06-18 10:35:00+08:00,8.16,8.16,8.16,8.16,10200,0,0
