Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:00:00+08:00,2.43,2.43,2.43,2.43,0,0,0
2020-06-17 09:01:00+08:00,2.44,2.45,2.44,2.45,3300,0,0
2020-06-17 09:02:00+08:00,2.47,2.47,2.47,2.47,3000,0,0
2020-06-17 09:03:00+08:00,2.47,2.47,2.47,2.47,2700,0,0
2020-06-17 09:05:00+08:00,2.47,2.47,2.47,2.47,300,0,0
2020-06-17 09:06:00+08:00,2.47,2.47,2.47,2.47,7100,0,0
2020-06-17 09:07:00+08:00,2.45,2.47,2.45,2.47,5100,0,0
2020-06-17 09:10:00+08:00,2.45,2.45,2.45,2.45,1000,0,0
2020-06-17 09:11:00+08:00,2.46,2.46,2.46,2.46,1400,0,0
2020-06-17 09:12:00+08:00,2.45,2.45,2.45,2.45,2200,0,0
2020-06-17 09:16:00+08:00,2.45,2.45,2.45,2.45,1900,0,0
2020-06-17 09:20:00+08:00,2.47,2.47,2.45,2.45,57100,0,0
2020-06-17 09:22:00+08:00,2.45,2.45,2.45,2.45,2000,0,0
2020-06-17 09:23:00+08:00,2.45,2.45,2.45,2.45,10000,0,0
2020-06-17 09:34:00+08:00,2.45,2.45,2.45,2.45,600,0,0
2020-06-17 09:35:00+08:00,2.44,2.44,2.43,2.43,2800,0,0
2020-06-17 09:36:00+08:00,2.43,2.43,2.42,2.42,10500,0,0
2020-06-17 09:37:00+08:00,2.42,2.42,2.42,2.42,13000,0,0
2020-06-17 09:38:00+08:00,2.42,2.42,2.42,2.42,500,0,0
2020-06-17 09:39:00+08:00,2.41,2.41,2.41,2.41,7100,0,0
2020-06-17 09:40:00+08:00,2.41,2.41,2.41,2.41,4100,0,0
2020-06-17 09:41:00+08:00,2.41,2.41,2.41,2.41,5000,0,0
2020-06-17 09:44:00+08:00,2.41,2.41,2.41,2.41,3000,0,0
2020-06-17 09:46:00+08:00,2.41,2.41,2.41,2.41,500,0,0
2020-06-17 09:49:00+08:00,2.42,2.45,2.42,2.45,5000,0,0
2020-06-17 09:54:00+08:00,2.44,2.44,2.44,2.44,2500,0,0
2020-06-17 09:58:00+08:00,2.44,2.44,2.44,2.44,1000,0,0
2020-06-17 10:02:00+08:00,2.43,2.43,2.43,2.43,900,0,0
2020-06-17 10:04:00+08:00,2.43,2.43,2.43,2.43,100,0,0
2020-06-17 10:07:00+08:00,2.43,2.43,2.43,2.43,100,0,0
2020-06-17 10:09:00+08:00,2.42,2.42,2.42,2.42,2000,0,0
2020-06-17 10:28:00+08:00,2.42,2.42,2.41,2.41,20200,0,0
2020-06-17 10:29:00+08:00,2.42,2.42,2.42,2.42,3400,0,0
2020-06-17 10:32:00+08:00,2.42,2.42,2.42,2.42,3900,0,0
2020-06-17 10:34:00+08:00,2.42,2.42,2.42,2.42,6000,0,0
2020-06-17 10:35:00+08:00,2.42,2.42,2.42,2.42,700,0,0
2020-06-17 10:36:00+08:00,2.41,2.42,2.41,2.42,1300,0,0
2020-06-17 10:37:00+08:00,2.41,2.41,2.41,2.41,4700,0,0
2020-06-17 10:38:00+08:00,2.42,2.42,2.42,2.42,5000,0,0
2020-06-17 10:43:00+08:00,2.42,2.42,2.42,2.42,2000,0,0
2020-06-17 10:52:00+08:00,2.42,2.42,2.42,2.42,5600,0,0
2020-06-17 10:53:00+08:00,2.42,2.42,2.42,2.42,6100,0,0
2020-06-17 10:55:00+08:00,2.42,2.42,2.42,2.42,3600,0,0
2020-06-17 10:58:00+08:00,2.42,2.42,2.42,2.42,600,0,0
2020-06-17 11:00:00+08:00,2.42,2.42,2.42,2.42,3700,0,0
2020-06-17 11:08:00+08:00,2.42,2.42,2.42,2.42,1600,0,0
2020-06-17 11:10:00+08:00,2.42,2.42,2.42,2.42,300,0,0
2020-06-17 11:11:00+08:00,2.42,2.42,2.42,2.42,3000,0,0
2020-06-17 11:14:00+08:00,2.42,2.42,2.42,2.42,100,0,0
2020-06-17 11:15:00+08:00,2.42,2.42,2.42,2.42,100,0,0
2020-06-17 11:16:00+08:00,2.42,2.42,2.42,2.42,1200,0,0
2020-06-17 11:17:00+08:00,2.42,2.42,2.42,2.42,3800,0,0
2020-06-17 11:18:00+08:00,2.42,2.42,2.42,2.42,2000,0,0
2020-06-17 11:19:00+08:00,2.42,2.42,2.42,2.42,1000,0,0
2020-06-17 11:23:00+08:00,2.42,2.42,2.42,2.42,6000,0,0
2020-06-17 11:24:00+08:00,2.42,2.42,2.42,2.42,3500,0,0
2020-06-17 11:36:00+08:00,2.42,2.42,2.42,2.42,34300,0,0
2020-06-17 11:37:00+08:00,2.42,2.42,2.42,2.42,3600,0,0
2020-06-17 11:42:00+08:00,2.42,2.42,2.42,2.42,700,0,0
2020-06-17 11:46:00+08:00,2.41,2.41,2.41,2.41,3900,0,0
2020-06-17 11:52:00+08:00,2.42,2.42,2.42,2.42,3800,0,0
2020-06-17 12:00:00+08:00,2.42,2.42,2.42,2.42,9200,0,0
2020-06-17 12:18:00+08:00,2.42,2.42,2.42,2.42,500,0,0
2020-06-17 12:24:00+08:00,2.42,2.42,2.42,2.42,3000,0,0
2020-06-17 12:26:00+08:00,2.42,2.42,2.41,2.41,19800,0,0
2020-06-17 12:27:00+08:00,2.41,2.41,2.4,2.4,6800,0,0
2020-06-17 12:28:00+08:00,2.41,2.41,2.41,2.41,9700,0,0
2020-06-17 12:29:00+08:00,2.42,2.42,2.42,2.42,7200,0,0
2020-06-17 14:30:00+08:00,2.42,2.42,2.42,2.42,16100,0,0
2020-06-17 14:31:00+08:00,2.42,2.42,2.42,2.42,14000,0,0
2020-06-17 14:32:00+08:00,2.42,2.42,2.42,2.42,6000,0,0
2020-06-17 14:33:00+08:00,2.42,2.42,2.42,2.42,2000,0,0
2020-06-17 14:39:00+08:00,2.42,2.42,2.42,2.42,6000,0,0
2020-06-17 14:40:00+08:00,2.42,2.42,2.42,2.42,5000,0,0
2020-06-17 14:42:00+08:00,2.43,2.43,2.43,2.43,300,0,0
2020-06-17 14:43:00+08:00,2.42,2.42,2.42,2.42,5000,0,0
2020-06-17 14:44:00+08:00,2.42,2.42,2.42,2.42,400,0,0
2020-06-17 14:45:00+08:00,2.42,2.42,2.42,2.42,9400,0,0
2020-06-17 14:47:00+08:00,2.42,2.42,2.42,2.42,10000,0,0
2020-06-17 14:48:00+08:00,2.41,2.41,2.41,2.41,2900,0,0
2020-06-17 14:49:00+08:00,2.41,2.41,2.41,2.41,15900,0,0
2020-06-17 14:50:00+08:00,2.41,2.41,2.4,2.4,9600,0,0
2020-06-17 14:51:00+08:00,2.4,2.4,2.4,2.4,2300,0,0
2020-06-17 14:54:00+08:00,2.4,2.4,2.4,2.4,13500,0,0
2020-06-17 15:01:00+08:00,2.39,2.39,2.39,2.39,300,0,0
2020-06-17 15:02:00+08:00,2.39,2.39,2.39,2.39,700,0,0
2020-06-17 15:17:00+08:00,2.4,2.4,2.4,2.4,2100,0,0
2020-06-17 15:25:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:27:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 15:28:00+08:00,2.4,2.4,2.4,2.4,300,0,0
2020-06-17 15:30:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:32:00+08:00,2.4,2.4,2.4,2.4,400,0,0
2020-06-17 15:33:00+08:00,2.4,2.4,2.4,2.4,6000,0,0
2020-06-17 15:34:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:37:00+08:00,2.4,2.4,2.4,2.4,10700,0,0
2020-06-17 15:40:00+08:00,2.4,2.4,2.39,2.39,300,0,0
2020-06-17 15:41:00+08:00,2.4,2.4,2.4,2.4,20000,0,0
2020-06-17 15:42:00+08:00,2.4,2.4,2.4,2.4,5200,0,0
2020-06-17 15:44:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 15:45:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 15:47:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:50:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:51:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:53:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:54:00+08:00,2.4,2.4,2.4,2.4,20000,0,0
2020-06-17 15:55:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:57:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 15:58:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 16:02:00+08:00,2.4,2.4,2.39,2.4,5200,0,0
2020-06-17 16:03:00+08:00,2.39,2.39,2.38,2.38,39300,0,0
2020-06-17 16:06:00+08:00,2.38,2.38,2.38,2.38,5100,0,0
2020-06-17 16:09:00+08:00,2.39,2.39,2.39,2.39,10000,0,0
2020-06-17 16:14:00+08:00,2.38,2.38,2.38,2.38,3000,0,0
2020-06-17 16:15:00+08:00,2.39,2.39,2.39,2.39,24300,0,0
2020-06-17 16:20:00+08:00,2.4,2.4,2.4,2.4,3000,0,0
2020-06-17 16:25:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 16:26:00+08:00,2.4,2.4,2.4,2.4,2100,0,0
2020-06-17 16:27:00+08:00,2.39,2.4,2.39,2.4,1300,0,0
2020-06-17 16:28:00+08:00,2.4,2.4,2.4,2.4,100,0,0
2020-06-17 16:30:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 16:32:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 16:33:00+08:00,2.39,2.39,2.39,2.39,500,0,0
2020-06-17 16:34:00+08:00,2.4,2.4,2.4,2.4,200,0,0
2020-06-17 16:37:00+08:00,2.4,2.4,2.38,2.38,29400,0,0
2020-06-17 16:38:00+08:00,2.4,2.4,2.4,2.4,88700,0,0
2020-06-17 16:39:00+08:00,2.4,2.4,2.4,2.4,11300,0,0
2020-06-17 16:44:00+08:00,2.38,2.39,2.38,2.39,2100,0,0
2020-06-17 16:50:00+08:00,2.39,2.39,2.39,2.39,1400,0,0
2020-06-17 16:53:00+08:00,2.39,2.39,2.39,2.39,1400,0,0
