Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 09:05:00+08:00,0.75,0.75,0.75,0.75,0,0,0
2020-06-09 09:09:00+08:00,0.77,0.77,0.77,0.77,20000,0,0
2020-06-09 09:10:00+08:00,0.77,0.77,0.77,0.77,10000,0,0
2020-06-09 09:11:00+08:00,0.77,0.77,0.77,0.77,20000,0,0
2020-06-09 09:12:00+08:00,0.77,0.77,0.77,0.77,10000,0,0
2020-06-09 09:13:00+08:00,0.77,0.77,0.77,0.77,10000,0,0
2020-06-09 09:17:00+08:00,0.77,0.77,0.77,0.77,20000,0,0
2020-06-09 09:18:00+08:00,0.77,0.77,0.77,0.77,10000,0,0
2020-06-09 09:21:00+08:00,0.765,0.765,0.765,0.765,20000,0,0
2020-06-09 09:25:00+08:00,0.755,0.755,0.755,0.755,2300,0,0
2020-06-09 09:28:00+08:00,0.76,0.76,0.76,0.76,7700,0,0
2020-06-09 09:30:00+08:00,0.76,0.76,0.76,0.76,5000,0,0
2020-06-09 09:33:00+08:00,0.76,0.76,0.76,0.76,15000,0,0
2020-06-09 09:35:00+08:00,0.76,0.76,0.76,0.76,2500,0,0
2020-06-09 09:38:00+08:00,0.76,0.76,0.76,0.76,10000,0,0
2020-06-09 09:42:00+08:00,0.755,0.755,0.755,0.755,36600,0,0
2020-06-09 09:44:00+08:00,0.75,0.75,0.75,0.75,12000,0,0
2020-06-09 09:48:00+08:00,0.75,0.75,0.75,0.75,4000,0,0
2020-06-09 09:53:00+08:00,0.75,0.75,0.75,0.75,300,0,0
2020-06-09 10:01:00+08:00,0.75,0.75,0.75,0.75,5000,0,0
2020-06-09 10:07:00+08:00,0.75,0.75,0.75,0.75,500,0,0
2020-06-09 10:10:00+08:00,0.75,0.75,0.75,0.75,1000,0,0
2020-06-09 10:11:00+08:00,0.75,0.75,0.75,0.75,13000,0,0
2020-06-09 10:14:00+08:00,0.75,0.75,0.75,0.75,3000,0,0
2020-06-09 10:15:00+08:00,0.75,0.75,0.75,0.75,1000,0,0
2020-06-09 10:19:00+08:00,0.75,0.75,0.75,0.75,6000,0,0
2020-06-09 10:25:00+08:00,0.75,0.75,0.75,0.75,15000,0,0
2020-06-09 11:01:00+08:00,0.75,0.75,0.75,0.75,200,0,0
2020-06-09 11:26:00+08:00,0.75,0.75,0.75,0.75,200,0,0
2020-06-09 11:36:00+08:00,0.75,0.75,0.75,0.75,14000,0,0
2020-06-09 12:00:00+08:00,0.755,0.755,0.755,0.755,7300,0,0
2020-06-09 12:02:00+08:00,0.755,0.755,0.755,0.755,2700,0,0
2020-06-09 12:07:00+08:00,0.755,0.755,0.755,0.755,100,0,0
2020-06-09 14:30:00+08:00,0.755,0.755,0.755,0.755,1500,0,0
2020-06-09 14:38:00+08:00,0.755,0.755,0.755,0.755,11900,0,0
2020-06-09 14:48:00+08:00,0.755,0.755,0.755,0.755,1000,0,0
2020-06-09 14:49:00+08:00,0.75,0.75,0.75,0.75,200,0,0
2020-06-09 14:52:00+08:00,0.75,0.75,0.75,0.75,27400,0,0
2020-06-09 15:15:00+08:00,0.745,0.745,0.745,0.745,5000,0,0
2020-06-09 15:18:00+08:00,0.75,0.75,0.75,0.75,2000,0,0
2020-06-09 15:23:00+08:00,0.75,0.75,0.75,0.75,10000,0,0
2020-06-09 15:24:00+08:00,0.75,0.75,0.75,0.75,14000,0,0
2020-06-09 15:28:00+08:00,0.745,0.745,0.745,0.745,2000,0,0
2020-06-09 15:30:00+08:00,0.75,0.75,0.75,0.75,15000,0,0
2020-06-09 15:32:00+08:00,0.75,0.75,0.75,0.75,6500,0,0
2020-06-09 15:33:00+08:00,0.75,0.75,0.75,0.75,5000,0,0
2020-06-09 15:35:00+08:00,0.75,0.75,0.75,0.75,500,0,0
2020-06-09 15:36:00+08:00,0.745,0.745,0.745,0.745,1800,0,0
2020-06-09 15:39:00+08:00,0.745,0.745,0.745,0.745,5000,0,0
2020-06-09 15:41:00+08:00,0.75,0.75,0.75,0.75,5000,0,0
2020-06-09 15:54:00+08:00,0.75,0.75,0.75,0.75,10000,0,0
2020-06-09 16:01:00+08:00,0.75,0.75,0.75,0.75,10000,0,0
2020-06-09 16:06:00+08:00,0.75,0.75,0.75,0.75,5000,0,0
2020-06-09 16:11:00+08:00,0.75,0.75,0.75,0.75,6000,0,0
2020-06-09 16:14:00+08:00,0.75,0.75,0.75,0.75,4000,0,0
2020-06-09 16:19:00+08:00,0.75,0.75,0.75,0.75,10000,0,0
2020-06-09 16:20:00+08:00,0.75,0.75,0.75,0.75,1000,0,0
2020-06-09 16:21:00+08:00,0.75,0.75,0.75,0.75,5000,0,0
2020-06-09 16:25:00+08:00,0.75,0.75,0.75,0.75,4000,0,0
2020-06-09 16:28:00+08:00,0.75,0.75,0.75,0.75,16000,0,0
2020-06-09 16:31:00+08:00,0.75,0.755,0.75,0.755,7900,0,0
2020-06-09 16:33:00+08:00,0.755,0.755,0.755,0.755,25900,0,0
2020-06-09 16:34:00+08:00,0.755,0.755,0.755,0.755,10000,0,0
2020-06-09 16:36:00+08:00,0.755,0.755,0.755,0.755,29100,0,0
2020-06-09 16:37:00+08:00,0.755,0.755,0.755,0.755,3000,0,0
2020-06-09 16:38:00+08:00,0.755,0.76,0.755,0.76,11000,0,0
2020-06-09 16:39:00+08:00,0.755,0.755,0.755,0.755,2000,0,0
2020-06-09 16:40:00+08:00,0.755,0.755,0.755,0.755,7800,0,0
2020-06-09 16:42:00+08:00,0.76,0.76,0.76,0.76,20000,0,0
2020-06-09 16:43:00+08:00,0.76,0.76,0.76,0.76,10000,0,0
2020-06-09 16:44:00+08:00,0.76,0.76,0.76,0.76,10000,0,0
2020-06-09 16:50:00+08:00,0.76,0.76,0.76,0.76,11200,0,0
2020-06-09 16:51:00+08:00,0.76,0.76,0.76,0.76,2200,0,0
