Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:00:00+08:00,0.53,0.535,0.53,0.535,0,0,0
2020-06-10 09:01:00+08:00,0.535,0.535,0.53,0.535,122000,0,0
2020-06-10 09:02:00+08:00,0.535,0.535,0.535,0.535,220000,0,0
2020-06-10 09:03:00+08:00,0.53,0.53,0.53,0.53,562400,0,0
2020-06-10 09:04:00+08:00,0.53,0.53,0.53,0.53,136900,0,0
2020-06-10 09:05:00+08:00,0.53,0.53,0.525,0.53,187100,0,0
2020-06-10 09:06:00+08:00,0.53,0.53,0.53,0.53,166800,0,0
2020-06-10 09:07:00+08:00,0.53,0.53,0.53,0.53,204500,0,0
2020-06-10 09:08:00+08:00,0.53,0.53,0.53,0.53,87700,0,0
2020-06-10 09:09:00+08:00,0.535,0.54,0.535,0.535,283900,0,0
2020-06-10 09:10:00+08:00,0.535,0.54,0.535,0.535,382500,0,0
2020-06-10 09:11:00+08:00,0.535,0.535,0.53,0.535,230000,0,0
2020-06-10 09:12:00+08:00,0.535,0.535,0.535,0.535,33000,0,0
2020-06-10 09:14:00+08:00,0.535,0.535,0.535,0.535,409600,0,0
2020-06-10 09:15:00+08:00,0.535,0.535,0.535,0.535,113200,0,0
2020-06-10 09:16:00+08:00,0.535,0.535,0.535,0.535,78300,0,0
2020-06-10 09:17:00+08:00,0.535,0.535,0.535,0.535,28500,0,0
2020-06-10 09:18:00+08:00,0.54,0.54,0.535,0.535,29000,0,0
2020-06-10 09:19:00+08:00,0.535,0.545,0.535,0.545,1064200,0,0
2020-06-10 09:20:00+08:00,0.54,0.545,0.54,0.545,479200,0,0
2020-06-10 09:21:00+08:00,0.545,0.545,0.54,0.54,58800,0,0
2020-06-10 09:22:00+08:00,0.54,0.54,0.535,0.535,317200,0,0
2020-06-10 09:23:00+08:00,0.535,0.535,0.535,0.535,35000,0,0
2020-06-10 09:24:00+08:00,0.54,0.54,0.54,0.54,208000,0,0
2020-06-10 09:25:00+08:00,0.54,0.54,0.54,0.54,3500,0,0
2020-06-10 09:26:00+08:00,0.54,0.54,0.54,0.54,20000,0,0
2020-06-10 09:27:00+08:00,0.54,0.54,0.535,0.535,25000,0,0
2020-06-10 09:29:00+08:00,0.535,0.535,0.535,0.535,5000,0,0
2020-06-10 09:31:00+08:00,0.54,0.54,0.535,0.535,204900,0,0
2020-06-10 09:33:00+08:00,0.54,0.54,0.54,0.54,41200,0,0
2020-06-10 09:34:00+08:00,0.54,0.54,0.54,0.54,200,0,0
2020-06-10 09:35:00+08:00,0.54,0.54,0.54,0.54,50000,0,0
2020-06-10 09:36:00+08:00,0.54,0.54,0.54,0.54,5000,0,0
2020-06-10 09:39:00+08:00,0.54,0.54,0.54,0.54,12000,0,0
2020-06-10 09:40:00+08:00,0.54,0.54,0.54,0.54,5000,0,0
2020-06-10 09:41:00+08:00,0.535,0.535,0.535,0.535,5000,0,0
2020-06-10 09:42:00+08:00,0.54,0.54,0.54,0.54,3000,0,0
2020-06-10 09:43:00+08:00,0.54,0.54,0.54,0.54,5000,0,0
2020-06-10 09:45:00+08:00,0.54,0.54,0.535,0.535,231000,0,0
2020-06-10 09:46:00+08:00,0.535,0.535,0.535,0.535,508400,0,0
2020-06-10 09:47:00+08:00,0.53,0.535,0.53,0.535,170000,0,0
2020-06-10 09:48:00+08:00,0.535,0.535,0.535,0.535,2000,0,0
2020-06-10 09:49:00+08:00,0.535,0.535,0.535,0.535,900,0,0
2020-06-10 09:50:00+08:00,0.535,0.535,0.535,0.535,30000,0,0
2020-06-10 09:51:00+08:00,0.535,0.535,0.53,0.535,93000,0,0
2020-06-10 09:53:00+08:00,0.53,0.53,0.53,0.53,7400,0,0
2020-06-10 09:55:00+08:00,0.53,0.53,0.53,0.53,113900,0,0
2020-06-10 09:56:00+08:00,0.53,0.535,0.53,0.535,32000,0,0
2020-06-10 09:57:00+08:00,0.53,0.53,0.53,0.53,25000,0,0
2020-06-10 09:58:00+08:00,0.53,0.535,0.53,0.535,20000,0,0
2020-06-10 09:59:00+08:00,0.53,0.53,0.53,0.53,10000,0,0
2020-06-10 10:00:00+08:00,0.53,0.53,0.53,0.53,53000,0,0
2020-06-10 10:03:00+08:00,0.53,0.53,0.53,0.53,32000,0,0
2020-06-10 10:04:00+08:00,0.53,0.53,0.53,0.53,20000,0,0
2020-06-10 10:06:00+08:00,0.535,0.535,0.535,0.535,10000,0,0
2020-06-10 10:07:00+08:00,0.535,0.535,0.535,0.535,11600,0,0
2020-06-10 10:09:00+08:00,0.535,0.535,0.535,0.535,2000,0,0
2020-06-10 10:13:00+08:00,0.53,0.53,0.53,0.53,20000,0,0
2020-06-10 10:15:00+08:00,0.53,0.53,0.53,0.53,10000,0,0
2020-06-10 10:16:00+08:00,0.53,0.53,0.53,0.53,1000,0,0
2020-06-10 10:17:00+08:00,0.53,0.53,0.53,0.53,20000,0,0
2020-06-10 10:19:00+08:00,0.53,0.53,0.53,0.53,9800,0,0
2020-06-10 10:21:00+08:00,0.53,0.53,0.53,0.53,22100,0,0
2020-06-10 10:23:00+08:00,0.53,0.53,0.53,0.53,295900,0,0
2020-06-10 10:24:00+08:00,0.53,0.53,0.53,0.53,344400,0,0
2020-06-10 10:25:00+08:00,0.53,0.53,0.525,0.525,79100,0,0
2020-06-10 10:26:00+08:00,0.53,0.53,0.53,0.53,200,0,0
2020-06-10 10:27:00+08:00,0.525,0.525,0.525,0.525,440900,0,0
2020-06-10 10:28:00+08:00,0.525,0.525,0.525,0.525,91700,0,0
2020-06-10 10:29:00+08:00,0.525,0.525,0.525,0.525,39200,0,0
2020-06-10 10:30:00+08:00,0.52,0.52,0.52,0.52,188500,0,0
2020-06-10 10:31:00+08:00,0.52,0.52,0.515,0.515,37000,0,0
2020-06-10 10:32:00+08:00,0.515,0.515,0.51,0.515,214700,0,0
2020-06-10 10:33:00+08:00,0.515,0.515,0.515,0.515,93000,0,0
2020-06-10 10:34:00+08:00,0.515,0.515,0.51,0.515,65000,0,0
2020-06-10 10:35:00+08:00,0.515,0.515,0.515,0.515,116800,0,0
2020-06-10 10:36:00+08:00,0.515,0.52,0.515,0.52,34800,0,0
2020-06-10 10:37:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-10 10:38:00+08:00,0.52,0.52,0.515,0.52,13000,0,0
2020-06-10 10:39:00+08:00,0.515,0.515,0.515,0.515,183500,0,0
2020-06-10 10:40:00+08:00,0.515,0.515,0.515,0.515,46000,0,0
2020-06-10 10:41:00+08:00,0.515,0.515,0.515,0.515,82800,0,0
2020-06-10 10:43:00+08:00,0.515,0.515,0.515,0.515,3000,0,0
2020-06-10 10:44:00+08:00,0.515,0.515,0.51,0.51,113500,0,0
2020-06-10 10:46:00+08:00,0.515,0.515,0.51,0.51,387100,0,0
2020-06-10 10:47:00+08:00,0.51,0.51,0.51,0.51,100900,0,0
2020-06-10 10:48:00+08:00,0.515,0.515,0.51,0.51,27500,0,0
2020-06-10 10:49:00+08:00,0.51,0.515,0.51,0.515,62800,0,0
2020-06-10 10:50:00+08:00,0.52,0.52,0.52,0.52,5000,0,0
2020-06-10 10:51:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-10 10:54:00+08:00,0.515,0.515,0.515,0.515,83200,0,0
2020-06-10 10:55:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-10 10:56:00+08:00,0.515,0.515,0.515,0.515,47800,0,0
2020-06-10 10:58:00+08:00,0.515,0.515,0.515,0.515,50000,0,0
2020-06-10 10:59:00+08:00,0.52,0.52,0.52,0.52,2000,0,0
2020-06-10 11:01:00+08:00,0.515,0.515,0.515,0.515,5000,0,0
2020-06-10 11:03:00+08:00,0.515,0.515,0.515,0.515,70000,0,0
2020-06-10 11:04:00+08:00,0.515,0.515,0.515,0.515,8900,0,0
2020-06-10 11:06:00+08:00,0.515,0.515,0.515,0.515,80000,0,0
2020-06-10 11:07:00+08:00,0.515,0.515,0.515,0.515,50000,0,0
2020-06-10 11:09:00+08:00,0.515,0.515,0.515,0.515,65000,0,0
2020-06-10 11:10:00+08:00,0.515,0.515,0.515,0.515,29000,0,0
2020-06-10 11:11:00+08:00,0.515,0.515,0.515,0.515,30000,0,0
2020-06-10 11:15:00+08:00,0.515,0.515,0.515,0.515,3400,0,0
2020-06-10 11:17:00+08:00,0.515,0.515,0.515,0.515,1600,0,0
2020-06-10 11:19:00+08:00,0.515,0.515,0.515,0.515,6000,0,0
2020-06-10 11:20:00+08:00,0.515,0.515,0.515,0.515,50000,0,0
2020-06-10 11:21:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-10 11:23:00+08:00,0.515,0.515,0.515,0.515,2600,0,0
2020-06-10 11:30:00+08:00,0.515,0.515,0.515,0.515,20000,0,0
2020-06-10 11:33:00+08:00,0.515,0.515,0.515,0.515,1000,0,0
2020-06-10 11:35:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-10 11:40:00+08:00,0.515,0.515,0.515,0.515,20000,0,0
2020-06-10 11:41:00+08:00,0.515,0.515,0.515,0.515,11000,0,0
2020-06-10 11:45:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-10 11:46:00+08:00,0.515,0.515,0.515,0.515,30000,0,0
2020-06-10 11:51:00+08:00,0.515,0.515,0.515,0.515,30000,0,0
2020-06-10 11:52:00+08:00,0.515,0.515,0.515,0.515,11300,0,0
2020-06-10 11:54:00+08:00,0.515,0.515,0.515,0.515,5000,0,0
2020-06-10 11:56:00+08:00,0.515,0.515,0.515,0.515,30000,0,0
2020-06-10 11:57:00+08:00,0.515,0.515,0.515,0.515,3500,0,0
2020-06-10 11:59:00+08:00,0.515,0.515,0.515,0.515,40000,0,0
2020-06-10 12:00:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-10 12:01:00+08:00,0.515,0.515,0.515,0.515,15400,0,0
2020-06-10 12:03:00+08:00,0.52,0.52,0.52,0.52,125000,0,0
2020-06-10 12:04:00+08:00,0.52,0.52,0.52,0.52,85700,0,0
2020-06-10 12:07:00+08:00,0.52,0.52,0.52,0.52,65000,0,0
2020-06-10 12:10:00+08:00,0.52,0.52,0.52,0.52,7000,0,0
2020-06-10 12:12:00+08:00,0.52,0.52,0.52,0.52,6000,0,0
2020-06-10 12:13:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-10 12:15:00+08:00,0.52,0.52,0.52,0.52,40000,0,0
2020-06-10 12:16:00+08:00,0.52,0.52,0.52,0.52,300,0,0
2020-06-10 12:17:00+08:00,0.52,0.52,0.52,0.52,40000,0,0
2020-06-10 12:18:00+08:00,0.52,0.52,0.52,0.52,900,0,0
2020-06-10 12:20:00+08:00,0.52,0.52,0.52,0.52,5000,0,0
2020-06-10 12:22:00+08:00,0.52,0.52,0.52,0.52,17000,0,0
2020-06-10 12:25:00+08:00,0.525,0.525,0.525,0.525,10000,0,0
2020-06-10 12:27:00+08:00,0.525,0.53,0.525,0.525,509900,0,0
2020-06-10 14:30:00+08:00,0.525,0.525,0.525,0.525,41000,0,0
2020-06-10 14:35:00+08:00,0.525,0.525,0.525,0.525,20000,0,0
2020-06-10 14:36:00+08:00,0.525,0.525,0.525,0.525,20000,0,0
2020-06-10 14:37:00+08:00,0.525,0.525,0.525,0.525,20000,0,0
2020-06-10 14:39:00+08:00,0.525,0.525,0.525,0.525,133000,0,0
2020-06-10 14:40:00+08:00,0.525,0.525,0.525,0.525,30200,0,0
2020-06-10 14:43:00+08:00,0.525,0.525,0.525,0.525,21500,0,0
2020-06-10 14:49:00+08:00,0.52,0.52,0.52,0.52,168200,0,0
2020-06-10 14:51:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-10 14:52:00+08:00,0.52,0.52,0.52,0.52,34200,0,0
2020-06-10 15:01:00+08:00,0.52,0.52,0.52,0.52,53600,0,0
2020-06-10 15:03:00+08:00,0.52,0.52,0.52,0.52,7000,0,0
2020-06-10 15:04:00+08:00,0.515,0.515,0.515,0.515,1700,0,0
2020-06-10 15:07:00+08:00,0.52,0.52,0.52,0.52,18000,0,0
2020-06-10 15:09:00+08:00,0.52,0.52,0.52,0.52,16000,0,0
2020-06-10 15:12:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-10 15:13:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-10 15:24:00+08:00,0.52,0.52,0.52,0.52,24500,0,0
2020-06-10 15:25:00+08:00,0.52,0.52,0.52,0.52,30500,0,0
2020-06-10 15:26:00+08:00,0.52,0.52,0.52,0.52,16000,0,0
2020-06-10 15:27:00+08:00,0.52,0.52,0.52,0.52,50000,0,0
2020-06-10 15:29:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-10 15:31:00+08:00,0.52,0.52,0.52,0.52,30000,0,0
2020-06-10 15:33:00+08:00,0.515,0.515,0.515,0.515,21000,0,0
2020-06-10 15:34:00+08:00,0.52,0.52,0.52,0.52,4000,0,0
2020-06-10 15:38:00+08:00,0.52,0.52,0.52,0.52,6000,0,0
