Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,0.19,0.19,0.19,0.19,0,0,0
2020-06-11 09:04:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:05:00+08:00,0.185,0.19,0.185,0.19,28200,0,0
2020-06-11 09:09:00+08:00,0.19,0.19,0.19,0.19,25000,0,0
2020-06-11 09:12:00+08:00,0.19,0.19,0.19,0.19,50000,0,0
2020-06-11 09:16:00+08:00,0.19,0.19,0.19,0.19,300000,0,0
2020-06-11 09:17:00+08:00,0.19,0.19,0.19,0.19,1961600,0,0
2020-06-11 09:18:00+08:00,0.19,0.19,0.19,0.19,20000,0,0
2020-06-11 09:19:00+08:00,0.19,0.195,0.19,0.195,519400,0,0
2020-06-11 09:21:00+08:00,0.19,0.19,0.19,0.19,25000,0,0
2020-06-11 09:22:00+08:00,0.19,0.19,0.19,0.19,846000,0,0
2020-06-11 09:23:00+08:00,0.19,0.19,0.19,0.19,95000,0,0
2020-06-11 09:24:00+08:00,0.19,0.19,0.19,0.19,70000,0,0
2020-06-11 09:25:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:28:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:29:00+08:00,0.19,0.19,0.19,0.19,100000,0,0
2020-06-11 09:30:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:31:00+08:00,0.19,0.19,0.19,0.19,297000,0,0
2020-06-11 09:32:00+08:00,0.19,0.19,0.19,0.19,35000,0,0
2020-06-11 09:34:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:35:00+08:00,0.19,0.19,0.185,0.185,228500,0,0
2020-06-11 09:38:00+08:00,0.19,0.19,0.19,0.19,5000,0,0
2020-06-11 09:41:00+08:00,0.185,0.185,0.185,0.185,5000,0,0
2020-06-11 09:44:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:45:00+08:00,0.19,0.19,0.19,0.19,20100,0,0
2020-06-11 09:48:00+08:00,0.185,0.19,0.185,0.19,14100,0,0
2020-06-11 09:50:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 09:53:00+08:00,0.19,0.19,0.19,0.19,25000,0,0
2020-06-11 09:57:00+08:00,0.19,0.19,0.19,0.19,21000,0,0
2020-06-11 10:00:00+08:00,0.185,0.185,0.185,0.185,8800,0,0
2020-06-11 10:03:00+08:00,0.185,0.185,0.185,0.185,400,0,0
2020-06-11 10:08:00+08:00,0.185,0.185,0.185,0.185,20000,0,0
2020-06-11 10:14:00+08:00,0.185,0.185,0.185,0.185,8100,0,0
2020-06-11 10:38:00+08:00,0.19,0.19,0.19,0.19,5300,0,0
2020-06-11 10:41:00+08:00,0.185,0.185,0.185,0.185,10600,0,0
2020-06-11 10:58:00+08:00,0.185,0.185,0.185,0.185,5000,0,0
2020-06-11 11:01:00+08:00,0.185,0.185,0.185,0.185,7900,0,0
2020-06-11 11:02:00+08:00,0.185,0.185,0.185,0.185,200,0,0
2020-06-11 11:19:00+08:00,0.185,0.185,0.185,0.185,4000,0,0
2020-06-11 11:20:00+08:00,0.185,0.185,0.185,0.185,5600,0,0
2020-06-11 11:28:00+08:00,0.19,0.19,0.19,0.19,5000,0,0
2020-06-11 11:31:00+08:00,0.19,0.19,0.19,0.19,10000,0,0
2020-06-11 11:40:00+08:00,0.19,0.19,0.19,0.19,50000,0,0
2020-06-11 11:46:00+08:00,0.185,0.185,0.185,0.185,11200,0,0
2020-06-11 11:48:00+08:00,0.185,0.185,0.185,0.185,6500,0,0
2020-06-11 11:51:00+08:00,0.185,0.185,0.185,0.185,20000,0,0
2020-06-11 12:06:00+08:00,0.185,0.185,0.185,0.185,7000,0,0
2020-06-11 12:12:00+08:00,0.19,0.19,0.19,0.19,27000,0,0
2020-06-11 12:14:00+08:00,0.19,0.19,0.19,0.19,27000,0,0
2020-06-11 12:16:00+08:00,0.185,0.185,0.185,0.185,50000,0,0
2020-06-11 12:20:00+08:00,0.185,0.185,0.185,0.185,5000,0,0
2020-06-11 12:22:00+08:00,0.185,0.185,0.185,0.185,10100,0,0
2020-06-11 14:30:00+08:00,0.185,0.185,0.185,0.185,27800,0,0
2020-06-11 14:32:00+08:00,0.185,0.185,0.185,0.185,3000,0,0
2020-06-11 14:39:00+08:00,0.19,0.19,0.19,0.19,4000,0,0
2020-06-11 14:41:00+08:00,0.19,0.19,0.19,0.19,100000,0,0
2020-06-11 14:47:00+08:00,0.185,0.185,0.185,0.185,50000,0,0
2020-06-11 14:59:00+08:00,0.185,0.185,0.185,0.185,100000,0,0
2020-06-11 15:01:00+08:00,0.185,0.185,0.185,0.185,400,0,0
2020-06-11 15:07:00+08:00,0.185,0.185,0.185,0.185,515000,0,0
2020-06-11 15:13:00+08:00,0.185,0.185,0.185,0.185,15800,0,0
2020-06-11 15:14:00+08:00,0.185,0.185,0.185,0.185,50000,0,0
2020-06-11 15:16:00+08:00,0.185,0.185,0.185,0.185,500000,0,0
2020-06-11 15:17:00+08:00,0.185,0.185,0.185,0.185,20000,0,0
2020-06-11 15:26:00+08:00,0.185,0.185,0.185,0.185,3000,0,0
2020-06-11 15:41:00+08:00,0.185,0.185,0.185,0.185,7400,0,0
2020-06-11 15:42:00+08:00,0.185,0.185,0.185,0.185,30000,0,0
2020-06-11 15:43:00+08:00,0.185,0.185,0.185,0.185,10000,0,0
2020-06-11 15:56:00+08:00,0.185,0.185,0.185,0.185,7000,0,0
2020-06-11 16:12:00+08:00,0.185,0.185,0.185,0.185,6600,0,0
2020-06-11 16:15:00+08:00,0.185,0.185,0.185,0.185,100000,0,0
2020-06-11 16:17:00+08:00,0.185,0.185,0.185,0.185,8000,0,0
2020-06-11 16:21:00+08:00,0.185,0.185,0.185,0.185,8500,0,0
2020-06-11 16:29:00+08:00,0.185,0.185,0.185,0.185,35000,0,0
2020-06-11 16:30:00+08:00,0.185,0.185,0.185,0.185,13200,0,0
2020-06-11 16:39:00+08:00,0.185,0.185,0.185,0.185,126000,0,0
2020-06-11 16:42:00+08:00,0.185,0.185,0.185,0.185,41000,0,0
