Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,1.16,1.16,1.16,1.16,0,0,0
2020-06-15 09:05:00+08:00,1.16,1.16,1.16,1.16,4600,0,0
2020-06-15 09:45:00+08:00,1.14,1.14,1.14,1.14,500,0,0
2020-06-15 10:09:00+08:00,1.15,1.15,1.15,1.15,3000,0,0
2020-06-15 11:16:00+08:00,1.14,1.14,1.14,1.14,10000,0,0
2020-06-15 11:21:00+08:00,1.14,1.14,1.14,1.14,10000,0,0
2020-06-15 11:30:00+08:00,1.14,1.14,1.14,1.14,4000,0,0
2020-06-15 11:38:00+08:00,1.14,1.14,1.14,1.14,20000,0,0
2020-06-15 11:55:00+08:00,1.14,1.14,1.14,1.14,5000,0,0
2020-06-15 11:57:00+08:00,1.14,1.14,1.14,1.14,16000,0,0
2020-06-15 12:18:00+08:00,1.14,1.14,1.14,1.14,47000,0,0
2020-06-15 14:34:00+08:00,1.13,1.13,1.13,1.13,2000,0,0
2020-06-15 14:50:00+08:00,1.13,1.13,1.13,1.13,2000,0,0
2020-06-15 14:57:00+08:00,1.11,1.11,1.1,1.1,16800,0,0
2020-06-15 15:34:00+08:00,1.1,1.1,1.1,1.1,20000,0,0
2020-06-15 15:38:00+08:00,1.1,1.1,1.1,1.1,10000,0,0
2020-06-15 15:40:00+08:00,1.1,1.1,1.1,1.1,500,0,0
2020-06-15 15:42:00+08:00,1.09,1.09,1.09,1.09,1500,0,0
2020-06-15 15:50:00+08:00,1.08,1.08,1.08,1.08,6000,0,0
2020-06-15 15:57:00+08:00,1.09,1.09,1.09,1.09,500,0,0
2020-06-15 16:10:00+08:00,1.1,1.1,1.1,1.1,9500,0,0
2020-06-15 16:24:00+08:00,1.11,1.11,1.11,1.11,4000,0,0
2020-06-15 16:27:00+08:00,1.11,1.11,1.11,1.11,2000,0,0
2020-06-15 16:36:00+08:00,1.11,1.11,1.11,1.11,100,0,0
2020-06-15 16:38:00+08:00,1.11,1.11,1.11,1.11,1900,0,0
2020-06-15 16:40:00+08:00,1.11,1.11,1.11,1.11,2000,0,0
