Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 09:00:00+08:00,0.66,0.67,0.66,0.67,0,0,0
2020-06-09 09:02:00+08:00,0.67,0.67,0.67,0.67,22000,0,0
2020-06-09 09:03:00+08:00,0.67,0.67,0.67,0.67,12000,0,0
2020-06-09 09:05:00+08:00,0.67,0.67,0.67,0.67,3000,0,0
2020-06-09 09:06:00+08:00,0.665,0.665,0.665,0.665,10500,0,0
2020-06-09 09:07:00+08:00,0.665,0.665,0.665,0.665,10400,0,0
2020-06-09 09:08:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-09 09:09:00+08:00,0.67,0.67,0.665,0.665,46100,0,0
2020-06-09 09:11:00+08:00,0.665,0.665,0.665,0.665,12300,0,0
2020-06-09 09:12:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-09 09:15:00+08:00,0.665,0.665,0.665,0.665,160500,0,0
2020-06-09 09:16:00+08:00,0.665,0.665,0.665,0.665,16000,0,0
2020-06-09 09:18:00+08:00,0.665,0.665,0.66,0.66,25900,0,0
2020-06-09 09:19:00+08:00,0.66,0.66,0.66,0.66,92200,0,0
2020-06-09 09:21:00+08:00,0.66,0.66,0.66,0.66,12000,0,0
2020-06-09 09:23:00+08:00,0.66,0.66,0.66,0.66,13000,0,0
2020-06-09 09:27:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-09 09:28:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-09 09:29:00+08:00,0.66,0.66,0.66,0.66,8000,0,0
2020-06-09 09:30:00+08:00,0.66,0.665,0.66,0.665,176700,0,0
2020-06-09 09:31:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-09 09:36:00+08:00,0.66,0.66,0.66,0.66,104600,0,0
2020-06-09 09:39:00+08:00,0.665,0.665,0.665,0.665,50000,0,0
2020-06-09 09:40:00+08:00,0.665,0.665,0.665,0.665,135000,0,0
2020-06-09 09:41:00+08:00,0.665,0.665,0.665,0.665,70000,0,0
2020-06-09 09:42:00+08:00,0.665,0.665,0.665,0.665,10000,0,0
2020-06-09 09:47:00+08:00,0.665,0.665,0.665,0.665,1500,0,0
2020-06-09 09:50:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-09 09:51:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-09 09:52:00+08:00,0.665,0.665,0.665,0.665,10000,0,0
2020-06-09 09:54:00+08:00,0.665,0.665,0.665,0.665,113000,0,0
2020-06-09 09:55:00+08:00,0.665,0.665,0.665,0.665,61400,0,0
2020-06-09 09:56:00+08:00,0.67,0.67,0.67,0.67,70000,0,0
2020-06-09 09:57:00+08:00,0.67,0.67,0.665,0.665,50300,0,0
2020-06-09 10:00:00+08:00,0.67,0.67,0.67,0.67,99200,0,0
2020-06-09 10:01:00+08:00,0.67,0.675,0.67,0.675,8800,0,0
2020-06-09 10:03:00+08:00,0.675,0.675,0.675,0.675,5000,0,0
2020-06-09 10:04:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-09 10:05:00+08:00,0.675,0.675,0.675,0.675,10000,0,0
2020-06-09 10:06:00+08:00,0.67,0.67,0.67,0.67,125000,0,0
2020-06-09 10:07:00+08:00,0.67,0.67,0.67,0.67,18800,0,0
2020-06-09 10:09:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-09 10:11:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-09 10:12:00+08:00,0.67,0.67,0.67,0.67,25200,0,0
2020-06-09 10:13:00+08:00,0.67,0.67,0.67,0.67,100000,0,0
2020-06-09 10:14:00+08:00,0.675,0.675,0.675,0.675,2300,0,0
2020-06-09 10:15:00+08:00,0.675,0.675,0.675,0.675,100,0,0
2020-06-09 10:17:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-09 10:20:00+08:00,0.67,0.67,0.67,0.67,51000,0,0
2020-06-09 10:21:00+08:00,0.67,0.67,0.67,0.67,14800,0,0
