Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:06:00+08:00,1.34,1.34,1.34,1.34,0,0,0
2020-06-10 09:12:00+08:00,1.33,1.33,1.33,1.33,6200,0,0
2020-06-10 09:19:00+08:00,1.35,1.35,1.35,1.35,5500,0,0
2020-06-10 09:23:00+08:00,1.35,1.35,1.35,1.35,1300,0,0
2020-06-10 09:24:00+08:00,1.35,1.35,1.35,1.35,1500,0,0
2020-06-10 09:39:00+08:00,1.35,1.35,1.35,1.35,8000,0,0
2020-06-10 09:47:00+08:00,1.34,1.34,1.34,1.34,4000,0,0
2020-06-10 09:48:00+08:00,1.35,1.35,1.35,1.35,6400,0,0
2020-06-10 09:49:00+08:00,1.35,1.35,1.35,1.35,10500,0,0
2020-06-10 10:21:00+08:00,1.34,1.34,1.34,1.34,23000,0,0
2020-06-10 10:42:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 10:45:00+08:00,1.33,1.33,1.33,1.33,100,0,0
2020-06-10 11:00:00+08:00,1.33,1.33,1.33,1.33,5000,0,0
2020-06-10 11:04:00+08:00,1.33,1.33,1.33,1.33,4000,0,0
2020-06-10 11:08:00+08:00,1.34,1.34,1.34,1.34,15000,0,0
2020-06-10 11:09:00+08:00,1.34,1.34,1.34,1.34,3000,0,0
2020-06-10 11:10:00+08:00,1.34,1.34,1.34,1.34,7000,0,0
2020-06-10 11:11:00+08:00,1.33,1.33,1.33,1.33,2400,0,0
2020-06-10 11:24:00+08:00,1.33,1.33,1.33,1.33,6000,0,0
2020-06-10 11:29:00+08:00,1.33,1.33,1.33,1.33,35000,0,0
2020-06-10 11:36:00+08:00,1.34,1.34,1.34,1.34,5000,0,0
2020-06-10 11:44:00+08:00,1.33,1.33,1.33,1.33,4000,0,0
2020-06-10 12:10:00+08:00,1.34,1.34,1.34,1.34,5000,0,0
2020-06-10 14:32:00+08:00,1.34,1.34,1.34,1.34,3000,0,0
2020-06-10 14:41:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 14:52:00+08:00,1.34,1.34,1.34,1.34,10000,0,0
2020-06-10 14:58:00+08:00,1.34,1.34,1.34,1.34,2000,0,0
2020-06-10 15:03:00+08:00,1.34,1.34,1.34,1.34,3700,0,0
2020-06-10 15:15:00+08:00,1.33,1.33,1.33,1.33,33300,0,0
2020-06-10 15:19:00+08:00,1.33,1.33,1.33,1.33,25000,0,0
2020-06-10 15:20:00+08:00,1.33,1.33,1.32,1.32,10000,0,0
2020-06-10 15:27:00+08:00,1.32,1.32,1.32,1.32,100,0,0
2020-06-10 15:30:00+08:00,1.32,1.32,1.32,1.32,5000,0,0
2020-06-10 15:32:00+08:00,1.33,1.33,1.33,1.33,2000,0,0
2020-06-10 15:34:00+08:00,1.33,1.33,1.33,1.33,10000,0,0
2020-06-10 15:35:00+08:00,1.33,1.33,1.33,1.33,5000,0,0
2020-06-10 15:36:00+08:00,1.33,1.33,1.33,1.33,700,0,0
2020-06-10 15:46:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 15:50:00+08:00,1.33,1.33,1.33,1.33,5000,0,0
2020-06-10 15:54:00+08:00,1.34,1.34,1.34,1.34,20000,0,0
2020-06-10 16:02:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 16:14:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 16:28:00+08:00,1.33,1.33,1.33,1.33,5000,0,0
2020-06-10 16:33:00+08:00,1.34,1.34,1.34,1.34,19000,0,0
2020-06-10 16:34:00+08:00,1.34,1.34,1.34,1.34,1000,0,0
2020-06-10 16:38:00+08:00,1.34,1.34,1.34,1.34,10000,0,0
2020-06-10 16:40:00+08:00,1.34,1.34,1.34,1.34,3800,0,0
2020-06-10 16:42:00+08:00,1.34,1.34,1.34,1.34,10000,0,0
2020-06-10 16:50:00+08:00,1.34,1.34,1.34,1.34,30700,0,0
2020-06-10 16:53:00+08:00,1.34,1.34,1.34,1.34,4500,0,0
