Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-12 09:00:00+08:00,0.62,0.62,0.62,0.62,0,0,0
2020-06-12 09:01:00+08:00,0.62,0.62,0.62,0.62,2700,0,0
2020-06-12 09:04:00+08:00,0.615,0.615,0.615,0.615,11000,0,0
2020-06-12 09:05:00+08:00,0.615,0.615,0.615,0.615,10000,0,0
2020-06-12 09:06:00+08:00,0.615,0.615,0.615,0.615,58000,0,0
2020-06-12 09:07:00+08:00,0.615,0.62,0.615,0.62,116800,0,0
2020-06-12 09:12:00+08:00,0.615,0.615,0.615,0.615,300900,0,0
2020-06-12 09:13:00+08:00,0.615,0.615,0.615,0.615,15200,0,0
2020-06-12 09:14:00+08:00,0.62,0.62,0.615,0.615,108700,0,0
2020-06-12 09:21:00+08:00,0.615,0.615,0.615,0.615,100000,0,0
2020-06-12 09:25:00+08:00,0.62,0.62,0.62,0.62,10000,0,0
2020-06-12 09:26:00+08:00,0.615,0.615,0.615,0.615,33900,0,0
2020-06-12 09:27:00+08:00,0.62,0.62,0.62,0.62,51600,0,0
2020-06-12 09:35:00+08:00,0.625,0.625,0.625,0.625,1700,0,0
2020-06-12 09:37:00+08:00,0.625,0.625,0.625,0.625,10000,0,0
2020-06-12 09:42:00+08:00,0.625,0.625,0.625,0.625,5000,0,0
2020-06-12 09:45:00+08:00,0.625,0.625,0.625,0.625,7500,0,0
2020-06-12 09:49:00+08:00,0.625,0.625,0.625,0.625,7500,0,0
2020-06-12 10:02:00+08:00,0.625,0.625,0.625,0.625,20000,0,0
2020-06-12 10:13:00+08:00,0.625,0.625,0.625,0.625,10000,0,0
2020-06-12 10:14:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 10:20:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 10:34:00+08:00,0.625,0.625,0.625,0.625,10000,0,0
2020-06-12 10:46:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 10:48:00+08:00,0.63,0.63,0.63,0.63,20000,0,0
2020-06-12 10:49:00+08:00,0.63,0.63,0.63,0.63,18700,0,0
2020-06-12 11:06:00+08:00,0.64,0.64,0.64,0.64,1000,0,0
2020-06-12 11:12:00+08:00,0.635,0.635,0.635,0.635,10000,0,0
2020-06-12 11:14:00+08:00,0.635,0.635,0.635,0.635,2500,0,0
2020-06-12 12:17:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 12:19:00+08:00,0.63,0.63,0.63,0.63,48700,0,0
2020-06-12 12:27:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 14:30:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 14:33:00+08:00,0.635,0.635,0.635,0.635,50000,0,0
2020-06-12 14:43:00+08:00,0.63,0.63,0.63,0.63,10000,0,0
2020-06-12 15:13:00+08:00,0.63,0.63,0.63,0.63,5000,0,0
2020-06-12 15:29:00+08:00,0.635,0.635,0.635,0.635,2000,0,0
2020-06-12 15:38:00+08:00,0.63,0.63,0.63,0.63,5000,0,0
2020-06-12 15:39:00+08:00,0.63,0.63,0.63,0.63,104900,0,0
2020-06-12 15:45:00+08:00,0.635,0.635,0.635,0.635,1000,0,0
2020-06-12 16:08:00+08:00,0.63,0.63,0.63,0.63,39700,0,0
2020-06-12 16:14:00+08:00,0.63,0.63,0.625,0.625,227600,0,0
2020-06-12 16:17:00+08:00,0.63,0.63,0.63,0.63,5000,0,0
2020-06-12 16:21:00+08:00,0.63,0.635,0.63,0.635,36800,0,0
2020-06-12 16:30:00+08:00,0.63,0.63,0.63,0.63,4200,0,0
2020-06-12 16:31:00+08:00,0.63,0.63,0.63,0.63,5800,0,0
2020-06-12 16:34:00+08:00,0.635,0.635,0.635,0.635,5000,0,0
2020-06-12 16:42:00+08:00,0.635,0.64,0.635,0.64,149200,0,0
2020-06-12 16:50:00+08:00,0.625,0.625,0.625,0.625,20000,0,0
