Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,1.73,1.73,1.73,1.73,0,0,0
2020-06-11 09:01:00+08:00,1.73,1.73,1.72,1.72,10100,0,0
2020-06-11 09:05:00+08:00,1.71,1.71,1.71,1.71,35500,0,0
2020-06-11 09:06:00+08:00,1.71,1.71,1.71,1.71,10000,0,0
2020-06-11 09:07:00+08:00,1.71,1.71,1.71,1.71,10000,0,0
2020-06-11 09:10:00+08:00,1.71,1.71,1.71,1.71,10000,0,0
2020-06-11 09:11:00+08:00,1.71,1.71,1.71,1.71,800,0,0
2020-06-11 09:12:00+08:00,1.7,1.7,1.7,1.7,5000,0,0
2020-06-11 09:13:00+08:00,1.7,1.7,1.7,1.7,32900,0,0
2020-06-11 09:14:00+08:00,1.7,1.7,1.7,1.7,5000,0,0
2020-06-11 09:15:00+08:00,1.7,1.7,1.7,1.7,5000,0,0
2020-06-11 09:16:00+08:00,1.7,1.7,1.7,1.7,27500,0,0
2020-06-11 09:17:00+08:00,1.7,1.7,1.7,1.7,20000,0,0
2020-06-11 09:18:00+08:00,1.7,1.7,1.7,1.7,6000,0,0
2020-06-11 09:19:00+08:00,1.7,1.7,1.7,1.7,24200,0,0
2020-06-11 09:21:00+08:00,1.7,1.7,1.7,1.7,20000,0,0
2020-06-11 09:22:00+08:00,1.7,1.71,1.7,1.71,10100,0,0
2020-06-11 09:23:00+08:00,1.7,1.7,1.7,1.7,3000,0,0
2020-06-11 09:26:00+08:00,1.7,1.7,1.7,1.7,1000,0,0
2020-06-11 09:28:00+08:00,1.7,1.7,1.7,1.7,7000,0,0
2020-06-11 09:30:00+08:00,1.7,1.7,1.7,1.7,2800,0,0
2020-06-11 09:31:00+08:00,1.7,1.7,1.7,1.7,15600,0,0
2020-06-11 09:32:00+08:00,1.7,1.7,1.7,1.7,18000,0,0
2020-06-11 09:33:00+08:00,1.7,1.71,1.7,1.71,21200,0,0
2020-06-11 09:34:00+08:00,1.7,1.7,1.7,1.7,14400,0,0
2020-06-11 09:35:00+08:00,1.7,1.71,1.7,1.7,67700,0,0
2020-06-11 09:36:00+08:00,1.7,1.7,1.7,1.7,8400,0,0
2020-06-11 09:37:00+08:00,1.7,1.7,1.7,1.7,27500,0,0
2020-06-11 09:38:00+08:00,1.7,1.7,1.7,1.7,22100,0,0
2020-06-11 09:39:00+08:00,1.7,1.7,1.7,1.7,14700,0,0
2020-06-11 09:40:00+08:00,1.7,1.7,1.7,1.7,15300,0,0
2020-06-11 09:41:00+08:00,1.7,1.7,1.7,1.7,15700,0,0
2020-06-11 09:42:00+08:00,1.7,1.7,1.7,1.7,17700,0,0
2020-06-11 09:43:00+08:00,1.7,1.7,1.7,1.7,14100,0,0
2020-06-11 09:44:00+08:00,1.7,1.7,1.7,1.7,14200,0,0
2020-06-11 09:45:00+08:00,1.7,1.7,1.7,1.7,17100,0,0
2020-06-11 09:46:00+08:00,1.7,1.7,1.7,1.7,15400,0,0
2020-06-11 09:47:00+08:00,1.7,1.7,1.7,1.7,14100,0,0
2020-06-11 09:48:00+08:00,1.7,1.7,1.7,1.7,15400,0,0
2020-06-11 09:49:00+08:00,1.7,1.7,1.7,1.7,15800,0,0
2020-06-11 09:50:00+08:00,1.7,1.7,1.7,1.7,13000,0,0
2020-06-11 09:51:00+08:00,1.7,1.71,1.7,1.71,165000,0,0
2020-06-11 09:52:00+08:00,1.71,1.71,1.71,1.71,62300,0,0
2020-06-11 09:53:00+08:00,1.7,1.7,1.7,1.7,15000,0,0
2020-06-11 09:59:00+08:00,1.71,1.71,1.71,1.71,1500,0,0
2020-06-11 10:02:00+08:00,1.71,1.71,1.71,1.71,13000,0,0
2020-06-11 10:07:00+08:00,1.7,1.7,1.7,1.7,6000,0,0
2020-06-11 10:08:00+08:00,1.71,1.71,1.7,1.7,12000,0,0
2020-06-11 10:09:00+08:00,1.7,1.71,1.7,1.7,25000,0,0
2020-06-11 10:10:00+08:00,1.7,1.7,1.7,1.7,14500,0,0
2020-06-11 10:11:00+08:00,1.7,1.7,1.7,1.7,15400,0,0
2020-06-11 10:12:00+08:00,1.7,1.7,1.7,1.7,63200,0,0
2020-06-11 10:13:00+08:00,1.7,1.7,1.7,1.7,12000,0,0
2020-06-11 10:14:00+08:00,1.7,1.7,1.7,1.7,211800,0,0
