Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:00:00+08:00,2.46,2.46,2.46,2.46,0,0,0
2020-06-10 10:16:00+08:00,2.45,2.45,2.45,2.45,1000,0,0
2020-06-10 10:59:00+08:00,2.43,2.43,2.42,2.42,8000,0,0
2020-06-10 11:10:00+08:00,2.43,2.43,2.43,2.43,2000,0,0
2020-06-10 11:12:00+08:00,2.43,2.43,2.43,2.43,2000,0,0
2020-06-10 11:16:00+08:00,2.43,2.43,2.43,2.43,3000,0,0
2020-06-10 11:35:00+08:00,2.44,2.44,2.44,2.44,800,0,0
2020-06-10 11:40:00+08:00,2.43,2.43,2.43,2.43,1000,0,0
2020-06-10 12:26:00+08:00,2.43,2.43,2.43,2.43,9000,0,0
2020-06-10 14:34:00+08:00,2.43,2.43,2.43,2.43,6000,0,0
2020-06-10 14:41:00+08:00,2.42,2.42,2.42,2.42,1800,0,0
2020-06-10 14:45:00+08:00,2.43,2.43,2.43,2.43,14300,0,0
2020-06-10 14:48:00+08:00,2.43,2.43,2.43,2.43,400,0,0
2020-06-10 15:06:00+08:00,2.42,2.42,2.42,2.42,10000,0,0
2020-06-10 16:15:00+08:00,2.42,2.42,2.42,2.42,2000,0,0
2020-06-10 16:44:00+08:00,2.43,2.43,2.43,2.43,700,0,0
2020-06-10 16:50:00+08:00,2.43,2.43,2.43,2.43,900,0,0
