Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:00:00+08:00,0.09,0.09,0.09,0.09,0,0,0
2020-06-17 09:05:00+08:00,0.09,0.09,0.09,0.09,200000,0,0
2020-06-17 09:11:00+08:00,0.085,0.09,0.085,0.09,19000,0,0
2020-06-17 09:15:00+08:00,0.085,0.085,0.085,0.085,30000,0,0
2020-06-17 09:16:00+08:00,0.085,0.085,0.085,0.085,50000,0,0
2020-06-17 09:20:00+08:00,0.085,0.085,0.085,0.085,50000,0,0
2020-06-17 09:21:00+08:00,0.085,0.085,0.085,0.085,580000,0,0
2020-06-17 09:22:00+08:00,0.085,0.085,0.085,0.085,34600,0,0
2020-06-17 09:23:00+08:00,0.085,0.085,0.085,0.085,15500,0,0
2020-06-17 09:25:00+08:00,0.085,0.085,0.085,0.085,200000,0,0
2020-06-17 09:26:00+08:00,0.085,0.085,0.085,0.085,15000,0,0
2020-06-17 09:27:00+08:00,0.085,0.085,0.085,0.085,192000,0,0
2020-06-17 09:28:00+08:00,0.085,0.085,0.085,0.085,100000,0,0
2020-06-17 09:33:00+08:00,0.085,0.085,0.085,0.085,15000,0,0
2020-06-17 09:35:00+08:00,0.085,0.085,0.085,0.085,10000,0,0
2020-06-17 09:38:00+08:00,0.085,0.085,0.085,0.085,200000,0,0
2020-06-17 09:39:00+08:00,0.085,0.085,0.085,0.085,7500,0,0
2020-06-17 09:40:00+08:00,0.085,0.085,0.085,0.085,87500,0,0
2020-06-17 09:42:00+08:00,0.085,0.085,0.085,0.085,20000,0,0
2020-06-17 09:45:00+08:00,0.085,0.085,0.085,0.085,2500,0,0
2020-06-17 09:46:00+08:00,0.085,0.085,0.085,0.085,32500,0,0
2020-06-17 09:49:00+08:00,0.085,0.085,0.085,0.085,40000,0,0
2020-06-17 09:59:00+08:00,0.085,0.085,0.085,0.085,20000,0,0
2020-06-17 10:07:00+08:00,0.085,0.085,0.085,0.085,7500,0,0
2020-06-17 10:08:00+08:00,0.085,0.085,0.085,0.085,30000,0,0
2020-06-17 10:28:00+08:00,0.085,0.085,0.085,0.085,20000,0,0
2020-06-17 10:42:00+08:00,0.085,0.085,0.085,0.085,2700,0,0
2020-06-17 10:46:00+08:00,0.085,0.085,0.085,0.085,15000,0,0
2020-06-17 10:47:00+08:00,0.09,0.09,0.09,0.09,2800,0,0
2020-06-17 11:17:00+08:00,0.085,0.085,0.085,0.085,10000,0,0
2020-06-17 11:21:00+08:00,0.085,0.085,0.085,0.085,30000,0,0
2020-06-17 11:29:00+08:00,0.085,0.085,0.085,0.085,5000,0,0
2020-06-17 11:36:00+08:00,0.085,0.085,0.085,0.085,100000,0,0
2020-06-17 11:37:00+08:00,0.09,0.09,0.09,0.09,3422500,0,0
2020-06-17 11:39:00+08:00,0.095,0.095,0.095,0.095,2019100,0,0
2020-06-17 11:40:00+08:00,0.1,0.1,0.1,0.1,526000,0,0
2020-06-17 11:41:00+08:00,0.1,0.1,0.1,0.1,2078800,0,0
2020-06-17 11:42:00+08:00,0.1,0.105,0.1,0.105,775000,0,0
2020-06-17 11:43:00+08:00,0.105,0.105,0.1,0.1,346800,0,0
2020-06-17 11:44:00+08:00,0.1,0.1,0.1,0.1,1443000,0,0
2020-06-17 11:45:00+08:00,0.1,0.1,0.1,0.1,8500,0,0
2020-06-17 11:46:00+08:00,0.1,0.105,0.1,0.105,1260600,0,0
2020-06-17 11:47:00+08:00,0.105,0.11,0.105,0.105,2876900,0,0
2020-06-17 11:48:00+08:00,0.11,0.11,0.105,0.11,669000,0,0
2020-06-17 11:49:00+08:00,0.11,0.11,0.105,0.105,270000,0,0
2020-06-17 11:50:00+08:00,0.11,0.11,0.105,0.105,820800,0,0
2020-06-17 11:51:00+08:00,0.105,0.105,0.1,0.1,1220000,0,0
2020-06-17 11:52:00+08:00,0.1,0.1,0.095,0.1,733600,0,0
2020-06-17 11:53:00+08:00,0.1,0.1,0.1,0.1,1897000,0,0
2020-06-17 11:54:00+08:00,0.1,0.1,0.1,0.1,30000,0,0
2020-06-17 11:55:00+08:00,0.1,0.1,0.095,0.095,500000,0,0
2020-06-17 11:56:00+08:00,0.095,0.095,0.095,0.095,375000,0,0
2020-06-17 11:57:00+08:00,0.095,0.095,0.095,0.095,50000,0,0
2020-06-17 11:58:00+08:00,0.095,0.095,0.095,0.095,220000,0,0
2020-06-17 11:59:00+08:00,0.095,0.095,0.095,0.095,85000,0,0
2020-06-17 12:00:00+08:00,0.095,0.095,0.095,0.095,550100,0,0
2020-06-17 12:02:00+08:00,0.095,0.095,0.095,0.095,40000,0,0
2020-06-17 12:03:00+08:00,0.1,0.1,0.1,0.1,500000,0,0
2020-06-17 12:05:00+08:00,0.1,0.1,0.1,0.1,15000,0,0
2020-06-17 12:07:00+08:00,0.1,0.1,0.1,0.1,360000,0,0
2020-06-17 12:08:00+08:00,0.1,0.1,0.1,0.1,38000,0,0
2020-06-17 12:09:00+08:00,0.1,0.1,0.1,0.1,50000,0,0
2020-06-17 12:11:00+08:00,0.095,0.095,0.095,0.095,50400,0,0
2020-06-17 12:14:00+08:00,0.095,0.095,0.095,0.095,20000,0,0
2020-06-17 12:17:00+08:00,0.1,0.1,0.1,0.1,100000,0,0
2020-06-17 12:20:00+08:00,0.1,0.1,0.1,0.1,100000,0,0
2020-06-17 12:24:00+08:00,0.1,0.1,0.1,0.1,2200,0,0
2020-06-17 12:27:00+08:00,0.1,0.1,0.1,0.1,30000,0,0
2020-06-17 12:28:00+08:00,0.1,0.1,0.1,0.1,50000,0,0
2020-06-17 12:29:00+08:00,0.1,0.1,0.1,0.1,50000,0,0
2020-06-17 14:30:00+08:00,0.1,0.1,0.1,0.1,19000,0,0
2020-06-17 14:35:00+08:00,0.1,0.1,0.1,0.1,2000,0,0
2020-06-17 14:37:00+08:00,0.095,0.095,0.095,0.095,100000,0,0
2020-06-17 14:39:00+08:00,0.095,0.095,0.095,0.095,5000,0,0
2020-06-17 14:40:00+08:00,0.095,0.095,0.095,0.095,60000,0,0
2020-06-17 14:41:00+08:00,0.095,0.095,0.095,0.095,100000,0,0
2020-06-17 14:44:00+08:00,0.095,0.095,0.095,0.095,10000,0,0
