Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,4.88,4.88,4.88,4.88,0,0,0
2020-06-15 09:01:00+08:00,4.89,4.89,4.89,4.89,36000,0,0
2020-06-15 09:03:00+08:00,4.91,4.91,4.91,4.91,0,0,0
2020-06-15 09:05:00+08:00,4.91,4.91,4.87,4.87,69500,0,0
2020-06-15 09:06:00+08:00,4.88,4.89,4.87,4.87,23100,0,0
2020-06-15 09:07:00+08:00,4.86,4.87,4.85,4.85,11000,0,0
2020-06-15 09:08:00+08:00,4.85,4.85,4.82,4.82,22000,0,0
2020-06-15 09:09:00+08:00,4.82,4.82,4.8,4.8,9500,0,0
2020-06-15 09:10:00+08:00,4.8,4.8,4.8,4.8,1500,0,0
2020-06-15 09:11:00+08:00,4.8,4.81,4.8,4.81,9400,0,0
2020-06-15 09:12:00+08:00,4.82,4.82,4.82,4.82,600,0,0
2020-06-15 09:13:00+08:00,4.82,4.82,4.82,4.82,5300,0,0
2020-06-15 09:14:00+08:00,4.82,4.82,4.82,4.82,1100,0,0
2020-06-15 09:15:00+08:00,4.82,4.82,4.82,4.82,11900,0,0
2020-06-15 09:16:00+08:00,4.82,4.83,4.82,4.83,10100,0,0
2020-06-15 09:19:00+08:00,4.87,4.87,4.87,4.87,0,0,0
2020-06-15 09:26:00+08:00,4.87,4.87,4.86,4.86,198000,0,0
2020-06-15 09:27:00+08:00,4.87,4.87,4.87,4.87,2000,0,0
2020-06-15 09:28:00+08:00,4.87,4.88,4.87,4.88,4200,0,0
2020-06-15 09:30:00+08:00,4.9,4.9,4.9,4.9,100,0,0
2020-06-15 09:31:00+08:00,4.88,4.88,4.88,4.88,200,0,0
2020-06-15 09:34:00+08:00,4.88,4.88,4.88,4.88,200,0,0
2020-06-15 09:36:00+08:00,4.88,4.88,4.88,4.88,200,0,0
2020-06-15 09:39:00+08:00,4.86,4.86,4.86,4.86,1600,0,0
2020-06-15 09:40:00+08:00,4.87,4.87,4.87,4.87,500,0,0
2020-06-15 09:43:00+08:00,4.86,4.86,4.85,4.85,2600,0,0
2020-06-15 09:46:00+08:00,4.86,4.86,4.86,4.86,2000,0,0
2020-06-15 09:47:00+08:00,4.85,4.85,4.85,4.85,1000,0,0
2020-06-15 09:48:00+08:00,4.85,4.85,4.85,4.85,10200,0,0
2020-06-15 09:49:00+08:00,4.85,4.85,4.85,4.85,300,0,0
2020-06-15 09:50:00+08:00,4.85,4.85,4.85,4.85,1400,0,0
2020-06-15 09:52:00+08:00,4.85,4.85,4.85,4.85,5000,0,0
2020-06-15 09:54:00+08:00,4.85,4.85,4.85,4.85,800,0,0
2020-06-15 09:56:00+08:00,4.85,4.85,4.85,4.85,1000,0,0
2020-06-15 09:57:00+08:00,4.85,4.85,4.85,4.85,500,0,0
2020-06-15 09:58:00+08:00,4.83,4.83,4.83,4.83,11000,0,0
2020-06-15 09:59:00+08:00,4.83,4.83,4.83,4.83,800,0,0
2020-06-15 10:01:00+08:00,4.83,4.83,4.83,4.83,100,0,0
2020-06-15 10:03:00+08:00,4.83,4.83,4.83,4.83,500,0,0
2020-06-15 10:04:00+08:00,4.83,4.83,4.83,4.83,800,0,0
2020-06-15 10:07:00+08:00,4.83,4.83,4.83,4.83,5200,0,0
2020-06-15 10:08:00+08:00,4.84,4.84,4.84,4.84,2100,0,0
2020-06-15 10:11:00+08:00,4.85,4.85,4.85,4.85,2200,0,0
2020-06-15 10:16:00+08:00,4.83,4.83,4.83,4.83,7500,0,0
2020-06-15 10:18:00+08:00,4.82,4.82,4.82,4.82,3400,0,0
2020-06-15 10:19:00+08:00,4.81,4.81,4.81,4.81,800,0,0
2020-06-15 10:22:00+08:00,4.81,4.81,4.81,4.81,13700,0,0
2020-06-15 10:23:00+08:00,4.8,4.81,4.78,4.78,78200,0,0
2020-06-15 10:24:00+08:00,4.79,4.79,4.78,4.78,8900,0,0
2020-06-15 10:25:00+08:00,4.78,4.78,4.77,4.77,19700,0,0
2020-06-15 10:26:00+08:00,4.77,4.77,4.77,4.77,1100,0,0
2020-06-15 10:27:00+08:00,4.78,4.78,4.78,4.78,5000,0,0
2020-06-15 10:28:00+08:00,4.79,4.79,4.78,4.79,1700,0,0
2020-06-15 10:30:00+08:00,4.8,4.8,4.8,4.8,500,0,0
2020-06-15 10:32:00+08:00,4.8,4.8,4.8,4.8,5000,0,0
2020-06-15 10:33:00+08:00,4.8,4.8,4.8,4.8,2000,0,0
2020-06-15 10:37:00+08:00,4.8,4.8,4.8,4.8,2800,0,0
2020-06-15 10:39:00+08:00,4.8,4.8,4.8,4.8,2800,0,0
2020-06-15 10:40:00+08:00,4.8,4.8,4.8,4.8,4000,0,0
2020-06-15 10:41:00+08:00,4.8,4.82,4.8,4.82,1100,0,0
2020-06-15 10:45:00+08:00,4.82,4.82,4.82,4.82,3200,0,0
2020-06-15 10:47:00+08:00,4.83,4.83,4.83,4.83,1000,0,0
2020-06-15 10:49:00+08:00,4.83,4.83,4.83,4.83,1000,0,0
2020-06-15 10:55:00+08:00,4.8,4.8,4.8,4.8,800,0,0
2020-06-15 10:56:00+08:00,4.8,4.8,4.8,4.8,600,0,0
2020-06-15 10:57:00+08:00,4.8,4.8,4.8,4.8,5700,0,0
2020-06-15 10:58:00+08:00,4.81,4.81,4.81,4.81,3000,0,0
2020-06-15 10:59:00+08:00,4.81,4.81,4.8,4.81,5100,0,0
2020-06-15 11:00:00+08:00,4.8,4.8,4.8,4.8,7600,0,0
2020-06-15 11:03:00+08:00,4.8,4.8,4.8,4.8,2900,0,0
2020-06-15 11:05:00+08:00,4.79,4.79,4.79,4.79,5100,0,0
2020-06-15 11:06:00+08:00,4.79,4.79,4.79,4.79,6600,0,0
2020-06-15 11:07:00+08:00,4.79,4.79,4.78,4.79,8900,0,0
2020-06-15 11:09:00+08:00,4.8,4.8,4.8,4.8,2000,0,0
2020-06-15 11:11:00+08:00,4.8,4.8,4.8,4.8,100,0,0
2020-06-15 11:13:00+08:00,4.8,4.8,4.8,4.8,600,0,0
2020-06-15 11:15:00+08:00,4.79,4.79,4.79,4.79,1000,0,0
2020-06-15 11:16:00+08:00,4.79,4.79,4.79,4.79,500,0,0
2020-06-15 11:17:00+08:00,4.78,4.79,4.78,4.79,21200,0,0
2020-06-15 11:18:00+08:00,4.78,4.78,4.73,4.73,78100,0,0
2020-06-15 11:19:00+08:00,4.75,4.75,4.75,4.75,3800,0,0
2020-06-15 11:20:00+08:00,4.75,4.75,4.75,4.75,1000,0,0
2020-06-15 11:22:00+08:00,4.78,4.78,4.75,4.75,6200,0,0
2020-06-15 11:24:00+08:00,4.75,4.75,4.75,4.75,4400,0,0
2020-06-15 11:29:00+08:00,4.76,4.76,4.76,4.76,500,0,0
2020-06-15 11:30:00+08:00,4.76,4.76,4.76,4.76,2300,0,0
2020-06-15 11:31:00+08:00,4.75,4.76,4.75,4.75,1600,0,0
2020-06-15 11:32:00+08:00,4.76,4.77,4.76,4.77,1900,0,0
2020-06-15 11:33:00+08:00,4.77,4.77,4.77,4.77,1100,0,0
2020-06-15 11:34:00+08:00,4.77,4.77,4.77,4.77,1000,0,0
2020-06-15 11:35:00+08:00,4.76,4.76,4.76,4.76,1900,0,0
2020-06-15 11:37:00+08:00,4.76,4.76,4.75,4.75,14000,0,0
2020-06-15 11:38:00+08:00,4.75,4.76,4.74,4.74,7900,0,0
2020-06-15 11:39:00+08:00,4.74,4.74,4.72,4.72,17500,0,0
2020-06-15 11:40:00+08:00,4.72,4.72,4.72,4.72,200,0,0
2020-06-15 11:41:00+08:00,4.72,4.72,4.72,4.72,1000,0,0
2020-06-15 11:42:00+08:00,4.72,4.72,4.72,4.72,10000,0,0
2020-06-15 11:43:00+08:00,4.72,4.72,4.72,4.72,1300,0,0
2020-06-15 11:44:00+08:00,4.73,4.73,4.73,4.73,2100,0,0
2020-06-15 11:46:00+08:00,4.73,4.73,4.73,4.73,1100,0,0
2020-06-15 11:47:00+08:00,4.74,4.74,4.74,4.74,500,0,0
2020-06-15 11:49:00+08:00,4.75,4.75,4.75,4.75,1400,0,0
2020-06-15 11:50:00+08:00,4.75,4.75,4.74,4.74,6800,0,0
2020-06-15 11:58:00+08:00,4.75,4.75,4.75,4.75,2000,0,0
2020-06-15 11:59:00+08:00,4.76,4.76,4.76,4.76,500,0,0
2020-06-15 12:00:00+08:00,4.75,4.76,4.75,4.76,3000,0,0
2020-06-15 12:01:00+08:00,4.75,4.75,4.75,4.75,3000,0,0
2020-06-15 12:03:00+08:00,4.75,4.75,4.75,4.75,2600,0,0
2020-06-15 12:04:00+08:00,4.75,4.75,4.75,4.75,3000,0,0
2020-06-15 12:06:00+08:00,4.75,4.75,4.75,4.75,1800,0,0
2020-06-15 12:07:00+08:00,4.75,4.75,4.75,4.75,600,0,0
2020-06-15 12:08:00+08:00,4.75,4.75,4.75,4.75,7300,0,0
2020-06-15 12:10:00+08:00,4.75,4.75,4.75,4.75,7000,0,0
2020-06-15 12:11:00+08:00,4.75,4.75,4.75,4.75,2800,0,0
2020-06-15 12:12:00+08:00,4.75,4.75,4.75,4.75,1800,0,0
2020-06-15 12:13:00+08:00,4.75,4.75,4.75,4.75,1900,0,0
2020-06-15 12:14:00+08:00,4.75,4.75,4.75,4.75,300,0,0
2020-06-15 12:15:00+08:00,4.75,4.75,4.75,4.75,1000,0,0
2020-06-15 12:16:00+08:00,4.75,4.75,4.75,4.75,600,0,0
2020-06-15 12:18:00+08:00,4.75,4.75,4.75,4.75,2000,0,0
2020-06-15 12:21:00+08:00,4.75,4.75,4.75,4.75,1000,0,0
2020-06-15 12:23:00+08:00,4.76,4.76,4.76,4.76,1000,0,0
2020-06-15 12:24:00+08:00,4.75,4.75,4.75,4.75,5000,0,0
2020-06-15 12:26:00+08:00,4.75,4.75,4.75,4.75,9400,0,0
2020-06-15 12:27:00+08:00,4.74,4.74,4.74,4.74,1300,0,0
2020-06-15 12:29:00+08:00,4.74,4.74,4.74,4.74,1200,0,0
2020-06-15 14:30:00+08:00,4.72,4.72,4.71,4.71,94400,0,0
2020-06-15 14:31:00+08:00,4.7,4.7,4.68,4.68,31500,0,0
2020-06-15 14:32:00+08:00,4.68,4.68,4.68,4.68,16200,0,0
2020-06-15 14:33:00+08:00,4.66,4.66,4.66,4.66,14900,0,0
2020-06-15 14:34:00+08:00,4.65,4.65,4.62,4.62,50200,0,0
2020-06-15 14:35:00+08:00,4.62,4.62,4.6,4.6,7500,0,0
2020-06-15 14:36:00+08:00,4.6,4.6,4.55,4.55,90000,0,0
2020-06-15 14:37:00+08:00,4.54,4.55,4.54,4.55,6000,0,0
2020-06-15 14:38:00+08:00,4.54,4.54,4.51,4.51,16200,0,0
2020-06-15 14:39:00+08:00,4.51,4.51,4.48,4.48,72300,0,0
2020-06-15 14:40:00+08:00,4.47,4.48,4.46,4.48,34000,0,0
2020-06-15 14:41:00+08:00,4.46,4.49,4.46,4.48,33800,0,0
2020-06-15 14:42:00+08:00,4.5,4.51,4.5,4.51,28500,0,0
2020-06-15 14:43:00+08:00,4.51,4.54,4.51,4.54,4900,0,0
2020-06-15 14:44:00+08:00,4.54,4.54,4.54,4.54,1000,0,0
2020-06-15 14:45:00+08:00,4.56,4.56,4.56,4.56,1100,0,0
2020-06-15 14:46:00+08:00,4.58,4.58,4.56,4.58,6600,0,0
2020-06-15 14:47:00+08:00,4.58,4.58,4.56,4.56,38600,0,0
2020-06-15 14:48:00+08:00,4.56,4.56,4.56,4.56,500,0,0
2020-06-15 14:49:00+08:00,4.6,4.6,4.6,4.6,9100,0,0
2020-06-15 14:50:00+08:00,4.6,4.6,4.57,4.57,5700,0,0
2020-06-15 14:51:00+08:00,4.6,4.6,4.6,4.6,1700,0,0
2020-06-15 14:52:00+08:00,4.6,4.65,4.6,4.65,1500,0,0
2020-06-15 14:53:00+08:00,4.65,4.65,4.64,4.64,8100,0,0
2020-06-15 14:54:00+08:00,4.64,4.65,4.64,4.64,13000,0,0
2020-06-15 14:56:00+08:00,4.65,4.66,4.64,4.64,11900,0,0
2020-06-15 14:57:00+08:00,4.66,4.66,4.63,4.63,14200,0,0
2020-06-15 14:58:00+08:00,4.62,4.63,4.62,4.62,18000,0,0
2020-06-15 14:59:00+08:00,4.62,4.62,4.62,4.62,1600,0,0
2020-06-15 15:00:00+08:00,4.63,4.63,4.62,4.62,4200,0,0
2020-06-15 15:01:00+08:00,4.62,4.62,4.62,4.62,4800,0,0
2020-06-15 15:04:00+08:00,4.61,4.62,4.61,4.62,30700,0,0
2020-06-15 15:05:00+08:00,4.62,4.62,4.62,4.62,7000,0,0
2020-06-15 15:08:00+08:00,4.6,4.6,4.6,4.6,112300,0,0
2020-06-15 15:09:00+08:00,4.6,4.61,4.6,4.61,31500,0,0
2020-06-15 15:10:00+08:00,4.61,4.61,4.61,4.61,17000,0,0
2020-06-15 15:12:00+08:00,4.62,4.63,4.62,4.63,1800,0,0
2020-06-15 15:13:00+08:00,4.63,4.63,4.62,4.62,4300,0,0
2020-06-15 15:16:00+08:00,4.62,4.62,4.61,4.61,2000,0,0
2020-06-15 15:17:00+08:00,4.61,4.62,4.61,4.62,23800,0,0
2020-06-15 15:18:00+08:00,4.62,4.62,4.62,4.62,1900,0,0
2020-06-15 15:20:00+08:00,4.62,4.62,4.62,4.62,2000,0,0
2020-06-15 15:21:00+08:00,4.62,4.64,4.62,4.64,23300,0,0
2020-06-15 15:22:00+08:00,4.62,4.62,4.61,4.61,1800,0,0
2020-06-15 15:24:00+08:00,4.62,4.62,4.62,4.62,24000,0,0
2020-06-15 15:25:00+08:00,4.62,4.62,4.62,4.62,6000,0,0
2020-06-15 15:27:00+08:00,4.62,4.62,4.62,4.62,200,0,0
2020-06-15 15:29:00+08:00,4.62,4.62,4.62,4.62,3000,0,0
2020-06-15 15:30:00+08:00,4.62,4.62,4.62,4.62,23800,0,0
2020-06-15 15:31:00+08:00,4.62,4.62,4.62,4.62,1200,0,0
2020-06-15 15:32:00+08:00,4.62,4.63,4.62,4.63,33100,0,0
2020-06-15 15:33:00+08:00,4.63,4.64,4.63,4.64,16000,0,0
2020-06-15 15:34:00+08:00,4.64,4.64,4.64,4.64,1000,0,0
2020-06-15 15:35:00+08:00,4.64,4.65,4.64,4.65,5900,0,0
2020-06-15 15:38:00+08:00,4.65,4.65,4.65,4.65,4300,0,0
