Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 14:34:00+08:00,0.115,0.115,0.115,0.115,0,0,0
2020-06-17 14:48:00+08:00,0.115,0.115,0.115,0.115,65000,0,0
2020-06-17 14:49:00+08:00,0.12,0.125,0.12,0.125,62000,0,0
2020-06-17 14:50:00+08:00,0.125,0.125,0.125,0.125,100,0,0
2020-06-17 14:52:00+08:00,0.125,0.125,0.125,0.125,10000,0,0
2020-06-17 14:53:00+08:00,0.125,0.125,0.125,0.125,100,0,0
2020-06-17 14:58:00+08:00,0.125,0.125,0.125,0.125,5000,0,0
2020-06-17 14:59:00+08:00,0.125,0.125,0.125,0.125,75000,0,0
2020-06-17 15:02:00+08:00,0.125,0.125,0.125,0.125,10000,0,0
2020-06-17 15:04:00+08:00,0.125,0.125,0.125,0.125,126500,0,0
2020-06-17 15:06:00+08:00,0.13,0.13,0.13,0.13,100,0,0
2020-06-17 15:11:00+08:00,0.125,0.125,0.125,0.125,3500,0,0
2020-06-17 15:15:00+08:00,0.125,0.125,0.125,0.125,20000,0,0
2020-06-17 15:19:00+08:00,0.125,0.125,0.125,0.125,57000,0,0
2020-06-17 15:23:00+08:00,0.125,0.125,0.125,0.125,8800,0,0
2020-06-17 15:26:00+08:00,0.13,0.13,0.13,0.13,220000,0,0
2020-06-17 15:27:00+08:00,0.13,0.14,0.13,0.14,52000,0,0
2020-06-17 15:29:00+08:00,0.13,0.13,0.13,0.13,20000,0,0
2020-06-17 15:31:00+08:00,0.13,0.13,0.13,0.13,10000,0,0
2020-06-17 15:32:00+08:00,0.13,0.13,0.13,0.13,2000,0,0
2020-06-17 15:36:00+08:00,0.13,0.13,0.13,0.13,300,0,0
2020-06-17 15:37:00+08:00,0.13,0.13,0.13,0.13,20700,0,0
2020-06-17 15:43:00+08:00,0.13,0.13,0.13,0.13,10000,0,0
2020-06-17 15:53:00+08:00,0.125,0.125,0.125,0.125,200000,0,0
2020-06-17 16:09:00+08:00,0.125,0.125,0.125,0.125,14200,0,0
2020-06-17 16:13:00+08:00,0.125,0.125,0.125,0.125,30000,0,0
2020-06-17 16:14:00+08:00,0.125,0.125,0.125,0.125,30800,0,0
2020-06-17 16:43:00+08:00,0.125,0.125,0.125,0.125,19200,0,0
2020-06-17 16:44:00+08:00,0.125,0.125,0.125,0.125,10000,0,0
2020-06-17 16:50:00+08:00,0.125,0.125,0.125,0.125,800,0,0
