Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 10:06:00+08:00,0.27,0.27,0.27,0.27,0,0,0
2020-06-15 10:52:00+08:00,0.27,0.27,0.27,0.27,10000,0,0
2020-06-15 11:00:00+08:00,0.27,0.27,0.27,0.27,3000,0,0
2020-06-15 11:03:00+08:00,0.265,0.265,0.265,0.265,30000,0,0
2020-06-15 11:05:00+08:00,0.26,0.26,0.26,0.26,14000,0,0
2020-06-15 11:06:00+08:00,0.26,0.26,0.26,0.26,24000,0,0
2020-06-15 11:11:00+08:00,0.26,0.26,0.26,0.26,40000,0,0
2020-06-15 11:12:00+08:00,0.26,0.26,0.26,0.26,36000,0,0
2020-06-15 11:36:00+08:00,0.26,0.26,0.26,0.26,47000,0,0
2020-06-15 11:37:00+08:00,0.26,0.26,0.26,0.26,70000,0,0
2020-06-15 12:08:00+08:00,0.26,0.26,0.26,0.26,3000,0,0
2020-06-15 14:30:00+08:00,0.26,0.26,0.26,0.26,35000,0,0
2020-06-15 15:00:00+08:00,0.26,0.26,0.26,0.26,9500,0,0
2020-06-15 15:04:00+08:00,0.265,0.265,0.265,0.265,0,0,0
2020-06-15 15:13:00+08:00,0.265,0.265,0.265,0.265,376600,0,0
2020-06-15 15:41:00+08:00,0.265,0.265,0.265,0.265,5000,0,0
2020-06-15 15:43:00+08:00,0.265,0.265,0.265,0.265,6600,0,0
2020-06-15 16:27:00+08:00,0.26,0.26,0.26,0.26,36700,0,0
2020-06-15 16:31:00+08:00,0.265,0.265,0.265,0.265,1000,0,0
2020-06-15 16:36:00+08:00,0.26,0.26,0.26,0.26,5000,0,0
2020-06-15 16:37:00+08:00,0.265,0.265,0.255,0.255,33900,0,0
2020-06-15 16:38:00+08:00,0.26,0.26,0.26,0.26,900,0,0
2020-06-15 16:39:00+08:00,0.25,0.255,0.25,0.255,20300,0,0
2020-06-15 16:40:00+08:00,0.265,0.265,0.265,0.265,100,0,0
2020-06-15 16:50:00+08:00,0.255,0.255,0.255,0.255,20000,0,0
