Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,0.835,0.835,0.835,0.835,0,0,0
2020-06-11 09:01:00+08:00,0.835,0.835,0.835,0.835,9400,0,0
2020-06-11 09:02:00+08:00,0.835,0.835,0.835,0.835,5000,0,0
2020-06-11 09:04:00+08:00,0.835,0.835,0.835,0.835,399600,0,0
2020-06-11 09:05:00+08:00,0.835,0.835,0.835,0.835,15000,0,0
2020-06-11 09:06:00+08:00,0.835,0.84,0.835,0.84,160000,0,0
2020-06-11 09:07:00+08:00,0.835,0.835,0.835,0.835,58800,0,0
2020-06-11 09:08:00+08:00,0.84,0.84,0.835,0.835,54500,0,0
2020-06-11 09:09:00+08:00,0.84,0.85,0.84,0.85,992600,0,0
2020-06-11 09:10:00+08:00,0.85,0.85,0.845,0.845,440900,0,0
2020-06-11 09:11:00+08:00,0.85,0.855,0.85,0.855,1672100,0,0
2020-06-11 09:12:00+08:00,0.855,0.855,0.85,0.855,907400,0,0
2020-06-11 09:13:00+08:00,0.855,0.855,0.85,0.85,628500,0,0
2020-06-11 09:14:00+08:00,0.845,0.845,0.84,0.845,292600,0,0
2020-06-11 09:15:00+08:00,0.845,0.845,0.84,0.845,21000,0,0
2020-06-11 09:16:00+08:00,0.84,0.845,0.84,0.845,131500,0,0
2020-06-11 09:17:00+08:00,0.845,0.845,0.84,0.84,62000,0,0
2020-06-11 09:18:00+08:00,0.845,0.845,0.845,0.845,32000,0,0
2020-06-11 09:19:00+08:00,0.845,0.845,0.845,0.845,260000,0,0
2020-06-11 09:20:00+08:00,0.845,0.845,0.845,0.845,216000,0,0
2020-06-11 09:21:00+08:00,0.845,0.845,0.845,0.845,44000,0,0
2020-06-11 09:22:00+08:00,0.845,0.845,0.845,0.845,71600,0,0
2020-06-11 09:24:00+08:00,0.84,0.845,0.84,0.845,20000,0,0
2020-06-11 09:25:00+08:00,0.845,0.845,0.845,0.845,3000,0,0
2020-06-11 09:26:00+08:00,0.845,0.845,0.845,0.845,5000,0,0
2020-06-11 09:27:00+08:00,0.845,0.845,0.84,0.84,8400,0,0
2020-06-11 09:28:00+08:00,0.845,0.845,0.845,0.845,1500,0,0
2020-06-11 09:29:00+08:00,0.845,0.845,0.845,0.845,58000,0,0
2020-06-11 09:33:00+08:00,0.84,0.845,0.84,0.845,283400,0,0
2020-06-11 09:34:00+08:00,0.845,0.845,0.845,0.845,100,0,0
2020-06-11 09:35:00+08:00,0.845,0.845,0.845,0.845,45600,0,0
2020-06-11 09:36:00+08:00,0.845,0.845,0.845,0.845,25300,0,0
2020-06-11 09:39:00+08:00,0.84,0.845,0.84,0.845,4000,0,0
2020-06-11 09:40:00+08:00,0.84,0.84,0.835,0.835,735000,0,0
2020-06-11 09:41:00+08:00,0.835,0.835,0.825,0.825,468900,0,0
2020-06-11 09:42:00+08:00,0.825,0.83,0.825,0.825,37700,0,0
2020-06-11 09:43:00+08:00,0.825,0.83,0.825,0.825,889500,0,0
2020-06-11 09:44:00+08:00,0.83,0.83,0.83,0.83,161000,0,0
2020-06-11 09:45:00+08:00,0.83,0.83,0.825,0.83,53400,0,0
2020-06-11 09:46:00+08:00,0.83,0.83,0.825,0.83,121200,0,0
2020-06-11 09:47:00+08:00,0.83,0.83,0.83,0.83,40500,0,0
2020-06-11 09:53:00+08:00,0.83,0.83,0.83,0.83,88900,0,0
2020-06-11 09:54:00+08:00,0.83,0.83,0.83,0.83,108000,0,0
2020-06-11 09:55:00+08:00,0.83,0.83,0.83,0.83,2500,0,0
2020-06-11 09:58:00+08:00,0.83,0.83,0.83,0.83,14000,0,0
2020-06-11 09:59:00+08:00,0.83,0.83,0.825,0.825,8000,0,0
2020-06-11 10:00:00+08:00,0.825,0.83,0.825,0.83,18000,0,0
2020-06-11 10:01:00+08:00,0.83,0.83,0.83,0.83,15000,0,0
2020-06-11 10:02:00+08:00,0.83,0.83,0.83,0.83,15000,0,0
2020-06-11 10:03:00+08:00,0.83,0.83,0.83,0.83,55000,0,0
2020-06-11 10:04:00+08:00,0.83,0.83,0.83,0.83,2500,0,0
2020-06-11 10:06:00+08:00,0.83,0.83,0.83,0.83,50000,0,0
2020-06-11 10:07:00+08:00,0.83,0.835,0.83,0.83,24500,0,0
2020-06-11 10:08:00+08:00,0.83,0.83,0.83,0.83,20000,0,0
2020-06-11 10:11:00+08:00,0.825,0.825,0.82,0.82,560200,0,0
2020-06-11 10:13:00+08:00,0.82,0.82,0.82,0.82,8000,0,0
2020-06-11 10:14:00+08:00,0.82,0.82,0.82,0.82,475800,0,0
2020-06-11 10:15:00+08:00,0.82,0.82,0.82,0.82,29000,0,0
2020-06-11 10:16:00+08:00,0.82,0.82,0.82,0.82,46000,0,0
2020-06-11 10:17:00+08:00,0.82,0.82,0.82,0.82,31500,0,0
2020-06-11 10:18:00+08:00,0.82,0.82,0.82,0.82,10000,0,0
2020-06-11 10:19:00+08:00,0.82,0.82,0.82,0.82,65000,0,0
2020-06-11 10:20:00+08:00,0.82,0.82,0.82,0.82,18500,0,0
2020-06-11 10:21:00+08:00,0.82,0.82,0.815,0.815,200,0,0
2020-06-11 10:22:00+08:00,0.82,0.82,0.82,0.82,46000,0,0
2020-06-11 10:23:00+08:00,0.82,0.82,0.82,0.82,36000,0,0
2020-06-11 10:24:00+08:00,0.82,0.82,0.82,0.82,6000,0,0
2020-06-11 10:25:00+08:00,0.82,0.82,0.82,0.82,24300,0,0
2020-06-11 10:29:00+08:00,0.82,0.82,0.82,0.82,25000,0,0
2020-06-11 10:31:00+08:00,0.82,0.82,0.82,0.82,5000,0,0
2020-06-11 10:32:00+08:00,0.82,0.82,0.82,0.82,1000,0,0
2020-06-11 10:33:00+08:00,0.82,0.82,0.82,0.82,141900,0,0
2020-06-11 10:36:00+08:00,0.82,0.82,0.82,0.82,10000,0,0
2020-06-11 10:37:00+08:00,0.825,0.825,0.825,0.825,1200,0,0
2020-06-11 10:39:00+08:00,0.82,0.82,0.82,0.82,8000,0,0
2020-06-11 10:40:00+08:00,0.82,0.82,0.82,0.82,22000,0,0
2020-06-11 10:41:00+08:00,0.82,0.82,0.82,0.82,115000,0,0
2020-06-11 10:42:00+08:00,0.82,0.82,0.82,0.82,35000,0,0
2020-06-11 10:45:00+08:00,0.82,0.82,0.82,0.82,72400,0,0
2020-06-11 10:46:00+08:00,0.82,0.82,0.815,0.815,536400,0,0
2020-06-11 10:47:00+08:00,0.815,0.815,0.815,0.815,4400,0,0
2020-06-11 10:48:00+08:00,0.815,0.815,0.815,0.815,20000,0,0
2020-06-11 10:53:00+08:00,0.815,0.815,0.815,0.815,5000,0,0
2020-06-11 10:54:00+08:00,0.815,0.815,0.815,0.815,2000,0,0
2020-06-11 11:00:00+08:00,0.815,0.815,0.81,0.81,394300,0,0
2020-06-11 11:01:00+08:00,0.81,0.81,0.81,0.81,10000,0,0
2020-06-11 11:02:00+08:00,0.81,0.815,0.81,0.815,34000,0,0
2020-06-11 11:03:00+08:00,0.815,0.815,0.815,0.815,5000,0,0
2020-06-11 11:05:00+08:00,0.815,0.815,0.815,0.815,142900,0,0
2020-06-11 11:06:00+08:00,0.815,0.815,0.815,0.815,136500,0,0
2020-06-11 11:07:00+08:00,0.815,0.815,0.815,0.815,39300,0,0
2020-06-11 11:08:00+08:00,0.815,0.815,0.815,0.815,100,0,0
2020-06-11 11:12:00+08:00,0.815,0.815,0.815,0.815,62000,0,0
2020-06-11 11:13:00+08:00,0.815,0.815,0.815,0.815,10200,0,0
2020-06-11 11:16:00+08:00,0.815,0.815,0.815,0.815,10000,0,0
2020-06-11 11:17:00+08:00,0.815,0.815,0.815,0.815,2000,0,0
2020-06-11 11:23:00+08:00,0.815,0.815,0.815,0.815,20000,0,0
2020-06-11 11:24:00+08:00,0.815,0.815,0.815,0.815,2000,0,0
2020-06-11 11:25:00+08:00,0.815,0.815,0.815,0.815,10000,0,0
2020-06-11 11:31:00+08:00,0.81,0.81,0.805,0.81,858600,0,0
2020-06-11 11:32:00+08:00,0.81,0.81,0.81,0.81,2000,0,0
2020-06-11 11:33:00+08:00,0.81,0.81,0.81,0.81,10000,0,0
2020-06-11 11:36:00+08:00,0.81,0.81,0.81,0.81,5000,0,0
2020-06-11 11:37:00+08:00,0.81,0.81,0.81,0.81,7000,0,0
2020-06-11 11:38:00+08:00,0.81,0.81,0.81,0.81,18000,0,0
2020-06-11 11:40:00+08:00,0.805,0.805,0.805,0.805,8000,0,0
2020-06-11 11:41:00+08:00,0.805,0.81,0.805,0.81,137000,0,0
2020-06-11 11:42:00+08:00,0.81,0.81,0.81,0.81,6000,0,0
2020-06-11 11:43:00+08:00,0.81,0.81,0.81,0.81,15000,0,0
2020-06-11 11:44:00+08:00,0.81,0.81,0.81,0.81,141800,0,0
2020-06-11 11:45:00+08:00,0.81,0.81,0.81,0.81,100000,0,0
2020-06-11 11:48:00+08:00,0.81,0.81,0.81,0.81,10000,0,0
2020-06-11 11:50:00+08:00,0.81,0.81,0.81,0.81,22500,0,0
2020-06-11 11:52:00+08:00,0.81,0.81,0.81,0.81,14600,0,0
2020-06-11 11:53:00+08:00,0.81,0.81,0.81,0.81,4500,0,0
2020-06-11 11:55:00+08:00,0.81,0.815,0.81,0.815,30800,0,0
2020-06-11 11:56:00+08:00,0.81,0.81,0.81,0.81,15700,0,0
2020-06-11 11:57:00+08:00,0.81,0.81,0.81,0.81,43100,0,0
2020-06-11 11:58:00+08:00,0.81,0.81,0.81,0.81,4200,0,0
2020-06-11 11:59:00+08:00,0.81,0.81,0.81,0.81,400,0,0
2020-06-11 12:00:00+08:00,0.81,0.81,0.81,0.81,20000,0,0
2020-06-11 12:01:00+08:00,0.81,0.81,0.81,0.81,97900,0,0
2020-06-11 12:06:00+08:00,0.81,0.81,0.81,0.81,20000,0,0
2020-06-11 12:08:00+08:00,0.81,0.81,0.81,0.81,50000,0,0
2020-06-11 12:09:00+08:00,0.81,0.81,0.805,0.805,199800,0,0
