Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,0.525,0.53,0.525,0.53,0,0,0
2020-06-15 09:01:00+08:00,0.53,0.53,0.53,0.53,30000,0,0
2020-06-15 09:02:00+08:00,0.53,0.53,0.53,0.53,10000,0,0
2020-06-15 09:04:00+08:00,0.53,0.53,0.53,0.53,41900,0,0
2020-06-15 09:05:00+08:00,0.525,0.53,0.525,0.525,256400,0,0
2020-06-15 09:06:00+08:00,0.525,0.525,0.525,0.525,60000,0,0
2020-06-15 09:07:00+08:00,0.525,0.525,0.525,0.525,65000,0,0
2020-06-15 09:08:00+08:00,0.525,0.525,0.525,0.525,5000,0,0
2020-06-15 09:09:00+08:00,0.525,0.525,0.52,0.52,11000,0,0
2020-06-15 09:12:00+08:00,0.52,0.52,0.52,0.52,90000,0,0
2020-06-15 09:13:00+08:00,0.52,0.52,0.52,0.52,353700,0,0
2020-06-15 09:15:00+08:00,0.52,0.52,0.52,0.52,300,0,0
2020-06-15 09:16:00+08:00,0.52,0.52,0.52,0.52,24700,0,0
2020-06-15 09:18:00+08:00,0.52,0.52,0.52,0.52,25300,0,0
2020-06-15 09:19:00+08:00,0.52,0.52,0.52,0.52,0,0,0
2020-06-15 09:21:00+08:00,0.515,0.515,0.515,0.515,1091900,0,0
2020-06-15 09:22:00+08:00,0.515,0.515,0.515,0.515,45000,0,0
2020-06-15 09:26:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-15 09:27:00+08:00,0.52,0.52,0.52,0.52,6000,0,0
2020-06-15 09:28:00+08:00,0.52,0.52,0.52,0.52,21000,0,0
2020-06-15 09:29:00+08:00,0.52,0.52,0.52,0.52,7500,0,0
2020-06-15 09:30:00+08:00,0.52,0.52,0.52,0.52,19500,0,0
2020-06-15 09:31:00+08:00,0.52,0.52,0.52,0.52,42900,0,0
2020-06-15 09:40:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-15 09:41:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-15 09:42:00+08:00,0.52,0.52,0.52,0.52,73800,0,0
2020-06-15 09:43:00+08:00,0.52,0.52,0.52,0.52,1400,0,0
2020-06-15 09:45:00+08:00,0.52,0.52,0.52,0.52,2000,0,0
2020-06-15 09:51:00+08:00,0.52,0.52,0.52,0.52,19000,0,0
2020-06-15 09:55:00+08:00,0.52,0.52,0.52,0.52,50000,0,0
2020-06-15 09:56:00+08:00,0.52,0.52,0.52,0.52,25000,0,0
2020-06-15 09:58:00+08:00,0.525,0.525,0.525,0.525,20000,0,0
2020-06-15 10:28:00+08:00,0.525,0.525,0.525,0.525,157100,0,0
2020-06-15 10:30:00+08:00,0.525,0.525,0.525,0.525,1700,0,0
2020-06-15 10:34:00+08:00,0.525,0.525,0.525,0.525,21100,0,0
2020-06-15 10:35:00+08:00,0.525,0.525,0.52,0.52,200000,0,0
2020-06-15 10:42:00+08:00,0.525,0.53,0.525,0.53,28000,0,0
2020-06-15 10:43:00+08:00,0.53,0.53,0.53,0.53,4000,0,0
2020-06-15 10:44:00+08:00,0.53,0.53,0.53,0.53,10000,0,0
2020-06-15 10:52:00+08:00,0.525,0.525,0.525,0.525,5000,0,0
2020-06-15 10:53:00+08:00,0.525,0.525,0.525,0.525,6000,0,0
2020-06-15 10:54:00+08:00,0.525,0.53,0.52,0.53,8000,0,0
2020-06-15 10:55:00+08:00,0.525,0.525,0.525,0.525,1000,0,0
2020-06-15 10:57:00+08:00,0.525,0.525,0.525,0.525,40000,0,0
2020-06-15 10:59:00+08:00,0.52,0.52,0.52,0.52,200000,0,0
2020-06-15 11:00:00+08:00,0.52,0.52,0.52,0.52,51000,0,0
2020-06-15 11:03:00+08:00,0.52,0.52,0.52,0.52,6500,0,0
2020-06-15 11:05:00+08:00,0.52,0.52,0.52,0.52,6800,0,0
2020-06-15 11:08:00+08:00,0.515,0.515,0.515,0.515,500,0,0
2020-06-15 11:09:00+08:00,0.52,0.52,0.515,0.515,18000,0,0
2020-06-15 11:17:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-15 11:21:00+08:00,0.52,0.52,0.52,0.52,31000,0,0
2020-06-15 11:22:00+08:00,0.52,0.52,0.52,0.52,5000,0,0
2020-06-15 11:39:00+08:00,0.515,0.515,0.515,0.515,19000,0,0
2020-06-15 11:41:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-15 11:42:00+08:00,0.515,0.515,0.515,0.515,1500,0,0
2020-06-15 11:45:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-15 11:46:00+08:00,0.515,0.515,0.515,0.515,7000,0,0
2020-06-15 11:47:00+08:00,0.52,0.52,0.52,0.52,6000,0,0
2020-06-15 11:49:00+08:00,0.515,0.515,0.515,0.515,90800,0,0
2020-06-15 11:52:00+08:00,0.515,0.515,0.515,0.515,2500,0,0
2020-06-15 11:53:00+08:00,0.515,0.515,0.515,0.515,4600,0,0
2020-06-15 11:58:00+08:00,0.515,0.515,0.515,0.515,341100,0,0
2020-06-15 12:00:00+08:00,0.515,0.515,0.515,0.515,200,0,0
2020-06-15 12:01:00+08:00,0.515,0.515,0.515,0.515,70800,0,0
2020-06-15 12:02:00+08:00,0.515,0.515,0.515,0.515,1700,0,0
2020-06-15 12:03:00+08:00,0.515,0.515,0.51,0.51,130300,0,0
2020-06-15 12:04:00+08:00,0.51,0.51,0.51,0.51,29700,0,0
2020-06-15 12:06:00+08:00,0.51,0.51,0.51,0.51,10000,0,0
2020-06-15 12:07:00+08:00,0.51,0.51,0.51,0.51,15500,0,0
2020-06-15 12:09:00+08:00,0.51,0.51,0.51,0.51,8600,0,0
2020-06-15 12:10:00+08:00,0.51,0.51,0.51,0.51,11200,0,0
2020-06-15 12:11:00+08:00,0.51,0.51,0.51,0.51,1000,0,0
2020-06-15 12:12:00+08:00,0.51,0.51,0.51,0.51,13300,0,0
2020-06-15 12:13:00+08:00,0.505,0.505,0.505,0.505,100,0,0
2020-06-15 12:14:00+08:00,0.505,0.51,0.505,0.51,37800,0,0
2020-06-15 14:30:00+08:00,0.51,0.51,0.505,0.505,144200,0,0
2020-06-15 14:31:00+08:00,0.505,0.505,0.505,0.505,70000,0,0
2020-06-15 14:32:00+08:00,0.51,0.51,0.51,0.51,8000,0,0
2020-06-15 14:33:00+08:00,0.505,0.505,0.505,0.505,15000,0,0
2020-06-15 14:34:00+08:00,0.505,0.505,0.505,0.505,172900,0,0
2020-06-15 14:37:00+08:00,0.5,0.5,0.5,0.5,70100,0,0
2020-06-15 14:38:00+08:00,0.5,0.505,0.5,0.505,59000,0,0
2020-06-15 14:39:00+08:00,0.5,0.5,0.5,0.5,250000,0,0
2020-06-15 14:41:00+08:00,0.505,0.505,0.5,0.5,55000,0,0
2020-06-15 14:42:00+08:00,0.5,0.505,0.5,0.5,132000,0,0
2020-06-15 14:43:00+08:00,0.5,0.505,0.5,0.5,93800,0,0
2020-06-15 14:44:00+08:00,0.5,0.5,0.5,0.5,10000,0,0
2020-06-15 14:46:00+08:00,0.5,0.5,0.5,0.5,20000,0,0
2020-06-15 14:47:00+08:00,0.5,0.5,0.5,0.5,254100,0,0
2020-06-15 14:49:00+08:00,0.5,0.5,0.5,0.5,10000,0,0
2020-06-15 14:51:00+08:00,0.5,0.5,0.5,0.5,38000,0,0
2020-06-15 14:52:00+08:00,0.5,0.5,0.5,0.5,33000,0,0
2020-06-15 14:53:00+08:00,0.495,0.495,0.495,0.495,12000,0,0
2020-06-15 14:54:00+08:00,0.495,0.495,0.495,0.495,25800,0,0
2020-06-15 14:56:00+08:00,0.495,0.495,0.495,0.495,4000,0,0
2020-06-15 15:01:00+08:00,0.495,0.495,0.495,0.495,10000,0,0
2020-06-15 15:03:00+08:00,0.495,0.495,0.495,0.495,10000,0,0
2020-06-15 15:09:00+08:00,0.5,0.5,0.5,0.5,141900,0,0
2020-06-15 15:17:00+08:00,0.5,0.5,0.5,0.5,18200,0,0
2020-06-15 15:18:00+08:00,0.495,0.495,0.495,0.495,800,0,0
2020-06-15 15:20:00+08:00,0.495,0.495,0.495,0.495,5300,0,0
2020-06-15 15:24:00+08:00,0.495,0.495,0.495,0.495,35000,0,0
