Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 15:01:00+08:00,2.32,2.32,2.32,2.32,0,0,0
2020-06-22 15:03:00+08:00,2.32,2.32,2.32,2.32,40000,0,0
2020-06-22 16:28:00+08:00,2.33,2.33,2.33,2.33,89000,0,0
2020-06-22 16:30:00+08:00,2.33,2.33,2.26,2.33,110100,0,0
2020-06-22 16:31:00+08:00,2.25,2.33,2.2,2.2,57000,0,0
2020-06-22 16:32:00+08:00,2.2,2.22,2.2,2.22,4100,0,0
2020-06-22 16:33:00+08:00,2.23,2.23,2.23,2.23,38000,0,0
2020-06-22 16:34:00+08:00,2.2,2.2,2.2,2.2,1000,0,0
2020-06-22 16:35:00+08:00,2.2,2.2,2.15,2.15,3300,0,0
2020-06-22 16:36:00+08:00,2.17,2.17,2.16,2.17,8300,0,0
2020-06-22 16:37:00+08:00,2.17,2.33,2.16,2.16,58100,0,0
2020-06-22 16:38:00+08:00,2.17,2.17,2.17,2.17,1200,0,0
2020-06-22 16:39:00+08:00,2.16,2.16,2.15,2.15,5300,0,0
2020-06-22 16:41:00+08:00,2.19,2.25,2.19,2.25,40000,0,0
2020-06-22 16:43:00+08:00,2.16,2.16,2.15,2.15,5000,0,0
2020-06-22 16:44:00+08:00,2.15,2.15,2.15,2.15,2000,0,0
2020-06-22 16:50:00+08:00,2.14,2.14,2.14,2.14,2000,0,0
