Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-12 09:00:00+08:00,0.705,0.705,0.705,0.705,0,0,0
2020-06-12 09:55:00+08:00,0.74,0.74,0.74,0.74,1300,0,0
2020-06-12 11:33:00+08:00,0.725,0.725,0.725,0.725,1000,0,0
2020-06-12 12:09:00+08:00,0.725,0.725,0.725,0.725,12000,0,0
2020-06-12 12:20:00+08:00,0.72,0.72,0.72,0.72,4000,0,0
2020-06-12 15:15:00+08:00,0.72,0.72,0.72,0.72,10100,0,0
2020-06-12 15:26:00+08:00,0.715,0.715,0.715,0.715,2000,0,0
2020-06-12 15:27:00+08:00,0.715,0.715,0.715,0.715,3700,0,0
2020-06-12 15:44:00+08:00,0.71,0.71,0.71,0.71,11000,0,0
2020-06-12 15:55:00+08:00,0.71,0.71,0.71,0.71,4900,0,0
2020-06-12 15:57:00+08:00,0.715,0.715,0.715,0.715,20000,0,0
2020-06-12 16:24:00+08:00,0.71,0.71,0.71,0.71,100,0,0
2020-06-12 16:54:00+08:00,0.71,0.71,0.71,0.71,1000,0,0
