Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-16 09:00:00+08:00,0.51,0.51,0.51,0.51,0,0,0
2020-06-16 09:01:00+08:00,0.515,0.515,0.515,0.515,12000,0,0
2020-06-16 09:03:00+08:00,0.525,0.525,0.525,0.525,20000,0,0
2020-06-16 09:07:00+08:00,0.53,0.53,0.53,0.53,40800,0,0
2020-06-16 09:09:00+08:00,0.53,0.53,0.53,0.53,20000,0,0
2020-06-16 09:10:00+08:00,0.53,0.53,0.53,0.53,21000,0,0
2020-06-16 09:11:00+08:00,0.53,0.53,0.53,0.53,10000,0,0
2020-06-16 09:18:00+08:00,0.53,0.53,0.53,0.53,5000,0,0
2020-06-16 09:20:00+08:00,0.53,0.53,0.53,0.53,5000,0,0
2020-06-16 09:30:00+08:00,0.53,0.53,0.525,0.525,400,0,0
2020-06-16 09:31:00+08:00,0.525,0.525,0.525,0.525,99800,0,0
2020-06-16 09:48:00+08:00,0.525,0.525,0.525,0.525,500,0,0
2020-06-16 10:40:00+08:00,0.525,0.525,0.525,0.525,5500,0,0
2020-06-16 10:44:00+08:00,0.525,0.525,0.525,0.525,10000,0,0
2020-06-16 10:45:00+08:00,0.525,0.525,0.525,0.525,900,0,0
2020-06-16 10:54:00+08:00,0.525,0.525,0.525,0.525,9700,0,0
2020-06-16 11:03:00+08:00,0.525,0.525,0.525,0.525,800,0,0
2020-06-16 11:37:00+08:00,0.525,0.525,0.525,0.525,10000,0,0
2020-06-16 11:44:00+08:00,0.52,0.52,0.52,0.52,2000,0,0
2020-06-16 11:48:00+08:00,0.515,0.515,0.515,0.515,9000,0,0
2020-06-16 12:17:00+08:00,0.52,0.52,0.52,0.52,1900,0,0
2020-06-16 14:33:00+08:00,0.52,0.52,0.52,0.52,8000,0,0
2020-06-16 14:42:00+08:00,0.52,0.52,0.52,0.52,100,0,0
2020-06-16 14:44:00+08:00,0.52,0.52,0.52,0.52,19100,0,0
2020-06-16 14:45:00+08:00,0.52,0.52,0.52,0.52,700,0,0
2020-06-16 14:46:00+08:00,0.52,0.52,0.52,0.52,200,0,0
2020-06-16 14:57:00+08:00,0.515,0.515,0.515,0.515,10000,0,0
2020-06-16 15:00:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-16 15:08:00+08:00,0.515,0.515,0.515,0.515,2300,0,0
2020-06-16 15:18:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-16 15:43:00+08:00,0.515,0.52,0.515,0.52,34900,0,0
2020-06-16 15:44:00+08:00,0.52,0.52,0.52,0.52,15000,0,0
2020-06-16 15:53:00+08:00,0.52,0.52,0.52,0.52,200,0,0
2020-06-16 16:02:00+08:00,0.52,0.52,0.52,0.52,24800,0,0
2020-06-16 16:04:00+08:00,0.52,0.52,0.52,0.52,200,0,0
2020-06-16 16:23:00+08:00,0.52,0.52,0.52,0.52,10000,0,0
2020-06-16 16:33:00+08:00,0.52,0.52,0.52,0.52,5000,0,0
2020-06-16 16:37:00+08:00,0.52,0.52,0.52,0.52,20000,0,0
2020-06-16 16:42:00+08:00,0.52,0.52,0.52,0.52,5000,0,0
2020-06-16 16:44:00+08:00,0.52,0.52,0.52,0.52,19800,0,0
