Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 11:01:00+08:00,3.75,3.75,3.75,3.75,0,0,0
2020-06-09 11:02:00+08:00,3.75,3.75,3.75,3.75,3000,0,0
2020-06-09 11:06:00+08:00,3.75,3.75,3.75,3.75,2000,0,0
2020-06-09 11:15:00+08:00,3.75,3.75,3.75,3.75,12700,0,0
2020-06-09 11:16:00+08:00,3.75,3.75,3.75,3.75,2300,0,0
2020-06-09 11:17:00+08:00,3.74,3.74,3.74,3.74,10000,0,0
2020-06-09 11:20:00+08:00,3.75,3.75,3.75,3.75,1200,0,0
2020-06-09 11:21:00+08:00,3.75,3.75,3.75,3.75,2000,0,0
2020-06-09 11:26:00+08:00,3.74,3.74,3.74,3.74,1000,0,0
2020-06-09 11:48:00+08:00,3.74,3.74,3.74,3.74,10000,0,0
2020-06-09 12:03:00+08:00,3.73,3.73,3.73,3.73,19000,0,0
2020-06-09 12:24:00+08:00,3.73,3.73,3.73,3.73,4000,0,0
2020-06-09 14:30:00+08:00,3.73,3.73,3.73,3.73,6900,0,0
2020-06-09 14:43:00+08:00,3.76,3.76,3.76,3.76,9800,0,0
2020-06-09 14:46:00+08:00,3.76,3.76,3.76,3.76,1900,0,0
2020-06-09 15:01:00+08:00,3.77,3.77,3.77,3.77,1600,0,0
2020-06-09 15:06:00+08:00,3.78,3.78,3.78,3.78,20000,0,0
2020-06-09 15:14:00+08:00,3.79,3.79,3.79,3.79,5000,0,0
2020-06-09 15:22:00+08:00,3.8,3.8,3.8,3.8,3000,0,0
2020-06-09 15:36:00+08:00,3.83,3.83,3.83,3.83,1000,0,0
2020-06-09 15:47:00+08:00,3.83,3.83,3.83,3.83,4000,0,0
2020-06-09 16:10:00+08:00,3.85,3.85,3.85,3.85,2000,0,0
2020-06-09 16:32:00+08:00,3.82,3.82,3.82,3.82,2000,0,0
2020-06-09 16:35:00+08:00,3.81,3.81,3.81,3.81,1000,0,0
2020-06-09 16:50:00+08:00,3.8,3.8,3.8,3.8,3000,0,0
