Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,0.32,0.325,0.32,0.32,0,0,0
2020-06-15 09:01:00+08:00,0.32,0.32,0.32,0.32,100,0,0
2020-06-15 09:02:00+08:00,0.345,0.345,0.345,0.345,0,0,0
2020-06-15 09:09:00+08:00,0.32,0.32,0.32,0.32,40200,0,0
2020-06-15 09:22:00+08:00,0.32,0.32,0.32,0.32,5400,0,0
2020-06-15 09:47:00+08:00,0.32,0.32,0.32,0.32,4600,0,0
2020-06-15 09:51:00+08:00,0.32,0.32,0.32,0.32,400,0,0
2020-06-15 15:20:00+08:00,0.31,0.31,0.31,0.31,24900,0,0
2020-06-15 15:23:00+08:00,0.31,0.31,0.31,0.31,50000,0,0
2020-06-15 15:31:00+08:00,0.31,0.31,0.31,0.31,10000,0,0
2020-06-15 15:49:00+08:00,0.31,0.31,0.31,0.31,5000,0,0
2020-06-15 16:03:00+08:00,0.31,0.31,0.31,0.31,13100,0,0
2020-06-15 16:54:00+08:00,0.31,0.31,0.31,0.31,400,0,0
