Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:52:00+08:00,2.6,2.6,2.6,2.6,0,0,0
2020-06-17 10:08:00+08:00,2.6,2.6,2.6,2.6,20000,0,0
2020-06-17 10:39:00+08:00,2.6,2.6,2.6,2.6,2000,0,0
2020-06-17 10:41:00+08:00,2.6,2.6,2.6,2.6,22000,0,0
2020-06-17 10:47:00+08:00,2.6,2.6,2.6,2.6,8000,0,0
2020-06-17 11:08:00+08:00,2.59,2.59,2.59,2.59,1000,0,0
2020-06-17 11:10:00+08:00,2.59,2.59,2.59,2.59,1000,0,0
2020-06-17 11:13:00+08:00,2.59,2.59,2.59,2.59,5000,0,0
2020-06-17 11:19:00+08:00,2.59,2.59,2.59,2.59,5000,0,0
2020-06-17 11:25:00+08:00,2.6,2.6,2.6,2.6,5000,0,0
2020-06-17 11:33:00+08:00,2.6,2.6,2.6,2.6,3000,0,0
2020-06-17 11:41:00+08:00,2.6,2.6,2.6,2.6,10000,0,0
2020-06-17 11:42:00+08:00,2.59,2.59,2.59,2.59,1500,0,0
2020-06-17 11:57:00+08:00,2.6,2.6,2.6,2.6,10000,0,0
2020-06-17 14:30:00+08:00,2.6,2.6,2.6,2.6,8000,0,0
2020-06-17 14:31:00+08:00,2.6,2.6,2.6,2.6,14000,0,0
2020-06-17 14:39:00+08:00,2.6,2.6,2.6,2.6,2200,0,0
2020-06-17 14:40:00+08:00,2.6,2.6,2.6,2.6,27800,0,0
2020-06-17 14:41:00+08:00,2.6,2.6,2.6,2.6,50000,0,0
2020-06-17 14:44:00+08:00,2.6,2.6,2.6,2.6,40000,0,0
2020-06-17 14:51:00+08:00,2.6,2.6,2.6,2.6,19500,0,0
2020-06-17 14:52:00+08:00,2.6,2.6,2.6,2.6,53900,0,0
2020-06-17 14:56:00+08:00,2.61,2.61,2.61,2.61,7400,0,0
2020-06-17 15:04:00+08:00,2.6,2.6,2.6,2.6,11500,0,0
2020-06-17 15:14:00+08:00,2.59,2.59,2.59,2.59,1000,0,0
2020-06-17 15:26:00+08:00,2.6,2.6,2.6,2.6,50000,0,0
2020-06-17 16:04:00+08:00,2.6,2.6,2.6,2.6,8600,0,0
2020-06-17 16:07:00+08:00,2.6,2.6,2.6,2.6,7000,0,0
2020-06-17 16:09:00+08:00,2.6,2.6,2.6,2.6,5000,0,0
2020-06-17 16:15:00+08:00,2.6,2.6,2.6,2.6,5000,0,0
2020-06-17 16:17:00+08:00,2.59,2.59,2.59,2.59,1800,0,0
2020-06-17 16:43:00+08:00,2.6,2.6,2.6,2.6,15000,0,0
2020-06-17 16:44:00+08:00,2.59,2.59,2.59,2.59,10000,0,0
2020-06-17 16:50:00+08:00,2.6,2.6,2.6,2.6,76000,0,0
2020-06-17 16:52:00+08:00,2.6,2.6,2.6,2.6,100000,0,0
