Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,0.23,0.23,0.23,0.23,0,0,0
2020-06-15 09:01:00+08:00,0.23,0.23,0.23,0.23,59000,0,0
2020-06-15 09:02:00+08:00,0.225,0.225,0.225,0.225,0,0,0
2020-06-15 09:05:00+08:00,0.225,0.225,0.215,0.215,216800,0,0
2020-06-15 09:09:00+08:00,0.215,0.215,0.215,0.215,10000,0,0
2020-06-15 09:21:00+08:00,0.215,0.215,0.215,0.215,4000,0,0
2020-06-15 09:29:00+08:00,0.215,0.215,0.215,0.215,81000,0,0
2020-06-15 09:31:00+08:00,0.215,0.215,0.215,0.215,20400,0,0
2020-06-15 09:38:00+08:00,0.215,0.215,0.215,0.215,1000,0,0
2020-06-15 09:42:00+08:00,0.22,0.22,0.22,0.22,5000,0,0
2020-06-15 09:43:00+08:00,0.22,0.22,0.22,0.22,15000,0,0
2020-06-15 09:45:00+08:00,0.22,0.22,0.22,0.22,25000,0,0
2020-06-15 09:51:00+08:00,0.22,0.22,0.22,0.22,10000,0,0
2020-06-15 09:53:00+08:00,0.22,0.22,0.22,0.22,300,0,0
2020-06-15 09:56:00+08:00,0.22,0.22,0.22,0.22,11000,0,0
2020-06-15 10:01:00+08:00,0.22,0.22,0.22,0.22,10000,0,0
2020-06-15 10:02:00+08:00,0.22,0.22,0.22,0.22,48700,0,0
2020-06-15 10:12:00+08:00,0.22,0.22,0.22,0.22,50000,0,0
2020-06-15 10:13:00+08:00,0.22,0.22,0.22,0.22,30000,0,0
2020-06-15 10:16:00+08:00,0.22,0.22,0.22,0.22,1000,0,0
2020-06-15 10:17:00+08:00,0.22,0.22,0.22,0.22,30000,0,0
2020-06-15 10:24:00+08:00,0.22,0.22,0.22,0.22,13000,0,0
2020-06-15 10:27:00+08:00,0.215,0.215,0.215,0.215,6000,0,0
2020-06-15 10:43:00+08:00,0.215,0.215,0.215,0.215,10000,0,0
2020-06-15 10:46:00+08:00,0.22,0.22,0.22,0.22,10000,0,0
2020-06-15 10:47:00+08:00,0.22,0.22,0.22,0.22,1000,0,0
2020-06-15 10:51:00+08:00,0.215,0.215,0.215,0.215,20000,0,0
2020-06-15 10:56:00+08:00,0.215,0.215,0.215,0.215,10000,0,0
