Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,0.26,0.26,0.26,0.26,0,0,0
2020-06-22 09:28:00+08:00,0.255,0.26,0.255,0.26,20000,0,0
2020-06-22 09:48:00+08:00,0.255,0.255,0.255,0.255,5000,0,0
2020-06-22 09:57:00+08:00,0.25,0.25,0.25,0.25,5000,0,0
2020-06-22 10:02:00+08:00,0.25,0.25,0.25,0.25,3000,0,0
2020-06-22 10:40:00+08:00,0.25,0.25,0.25,0.25,1000,0,0
2020-06-22 11:05:00+08:00,0.25,0.25,0.25,0.25,35500,0,0
2020-06-22 11:08:00+08:00,0.25,0.25,0.25,0.25,14500,0,0
2020-06-22 11:29:00+08:00,0.25,0.25,0.25,0.25,2500,0,0
2020-06-22 11:38:00+08:00,0.25,0.25,0.25,0.25,83000,0,0
2020-06-22 12:09:00+08:00,0.25,0.25,0.25,0.25,6000,0,0
2020-06-22 14:34:00+08:00,0.25,0.25,0.25,0.25,16000,0,0
2020-06-22 15:36:00+08:00,0.25,0.25,0.25,0.25,100000,0,0
2020-06-22 15:53:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-22 16:01:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-22 16:11:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-22 16:21:00+08:00,0.25,0.25,0.25,0.25,30000,0,0
2020-06-22 16:32:00+08:00,0.25,0.25,0.25,0.25,50000,0,0
2020-06-22 16:33:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-22 16:43:00+08:00,0.255,0.255,0.255,0.255,79000,0,0
2020-06-22 16:50:00+08:00,0.255,0.255,0.255,0.255,4500,0,0
2020-06-22 16:51:00+08:00,0.255,0.255,0.255,0.255,8500,0,0
