Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 09:29:00+08:00,0.73,0.73,0.73,0.73,0,0,0
2020-06-09 09:33:00+08:00,0.73,0.73,0.73,0.73,5000,0,0
2020-06-09 09:44:00+08:00,0.73,0.73,0.73,0.73,3000,0,0
2020-06-09 09:48:00+08:00,0.73,0.73,0.73,0.73,5000,0,0
2020-06-09 10:04:00+08:00,0.74,0.74,0.74,0.74,500,0,0
2020-06-09 10:05:00+08:00,0.735,0.735,0.735,0.735,1500,0,0
2020-06-09 10:12:00+08:00,0.735,0.735,0.735,0.735,400,0,0
2020-06-09 10:20:00+08:00,0.74,0.74,0.735,0.735,11100,0,0
2020-06-09 11:28:00+08:00,0.735,0.735,0.735,0.735,5500,0,0
2020-06-09 11:46:00+08:00,0.735,0.735,0.735,0.735,10000,0,0
2020-06-09 12:23:00+08:00,0.735,0.735,0.735,0.735,4000,0,0
2020-06-09 15:07:00+08:00,0.73,0.73,0.73,0.73,4000,0,0
2020-06-09 15:12:00+08:00,0.73,0.73,0.73,0.73,8000,0,0
2020-06-09 15:19:00+08:00,0.73,0.73,0.73,0.73,37900,0,0
2020-06-09 16:20:00+08:00,0.735,0.735,0.735,0.735,5000,0,0
2020-06-09 16:21:00+08:00,0.735,0.735,0.735,0.735,5000,0,0
2020-06-09 16:35:00+08:00,0.74,0.74,0.74,0.74,200,0,0
2020-06-09 16:56:00+08:00,0.74,0.74,0.74,0.74,1000,0,0
