Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,0.045,0.045,0.045,0.045,0,0,0
2020-06-11 09:44:00+08:00,0.04,0.04,0.04,0.04,20000,0,0
2020-06-11 10:16:00+08:00,0.04,0.04,0.04,0.04,250000,0,0
2020-06-11 10:25:00+08:00,0.045,0.045,0.045,0.045,1000,0,0
2020-06-11 11:03:00+08:00,0.04,0.04,0.04,0.04,6600,0,0
2020-06-11 11:20:00+08:00,0.045,0.045,0.045,0.045,50000,0,0
2020-06-11 11:30:00+08:00,0.04,0.04,0.04,0.04,40000,0,0
2020-06-11 11:32:00+08:00,0.04,0.04,0.04,0.04,5963800,0,0
2020-06-11 11:36:00+08:00,0.04,0.04,0.04,0.04,760000,0,0
2020-06-11 11:40:00+08:00,0.04,0.04,0.04,0.04,100000,0,0
2020-06-11 11:42:00+08:00,0.04,0.04,0.04,0.04,144000,0,0
2020-06-11 11:48:00+08:00,0.04,0.04,0.04,0.04,75000,0,0
2020-06-11 11:57:00+08:00,0.035,0.035,0.035,0.035,100,0,0
2020-06-11 11:58:00+08:00,0.04,0.04,0.04,0.04,1000,0,0
2020-06-11 12:01:00+08:00,0.04,0.04,0.04,0.04,350000,0,0
2020-06-11 12:03:00+08:00,0.035,0.035,0.035,0.035,100,0,0
2020-06-11 12:14:00+08:00,0.04,0.04,0.04,0.04,1000000,0,0
2020-06-11 12:15:00+08:00,0.04,0.04,0.04,0.04,500000,0,0
2020-06-11 12:16:00+08:00,0.04,0.04,0.04,0.04,1050000,0,0
2020-06-11 12:17:00+08:00,0.04,0.04,0.04,0.04,756000,0,0
2020-06-11 12:20:00+08:00,0.04,0.04,0.04,0.04,100000,0,0
2020-06-11 14:38:00+08:00,0.04,0.04,0.04,0.04,100000,0,0
2020-06-11 14:55:00+08:00,0.035,0.035,0.035,0.035,100,0,0
2020-06-11 16:00:00+08:00,0.035,0.035,0.035,0.035,5000,0,0
2020-06-11 16:23:00+08:00,0.04,0.04,0.04,0.04,7700,0,0
2020-06-11 16:50:00+08:00,0.04,0.04,0.04,0.04,180000,0,0
2020-06-11 16:53:00+08:00,0.04,0.04,0.04,0.04,10000,0,0
