Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:10:00+08:00,1.53,1.53,1.53,1.53,0,0,0
2020-06-10 09:15:00+08:00,1.54,1.54,1.54,1.54,2800,0,0
2020-06-10 09:16:00+08:00,1.54,1.54,1.54,1.54,400,0,0
2020-06-10 09:17:00+08:00,1.54,1.54,1.54,1.54,300,0,0
2020-06-10 09:18:00+08:00,1.54,1.54,1.54,1.54,200,0,0
2020-06-10 09:19:00+08:00,1.54,1.54,1.54,1.54,19200,0,0
2020-06-10 09:24:00+08:00,1.55,1.55,1.55,1.55,1500,0,0
2020-06-10 09:26:00+08:00,1.55,1.55,1.55,1.55,1000,0,0
2020-06-10 09:27:00+08:00,1.56,1.56,1.56,1.56,500,0,0
2020-06-10 09:32:00+08:00,1.56,1.56,1.56,1.56,2000,0,0
2020-06-10 09:34:00+08:00,1.56,1.56,1.56,1.56,900,0,0
2020-06-10 09:35:00+08:00,1.56,1.56,1.56,1.56,500,0,0
2020-06-10 09:43:00+08:00,1.56,1.56,1.56,1.56,1300,0,0
2020-06-10 09:49:00+08:00,1.56,1.56,1.56,1.56,100,0,0
2020-06-10 09:50:00+08:00,1.56,1.56,1.56,1.56,400,0,0
2020-06-10 09:51:00+08:00,1.56,1.56,1.56,1.56,800,0,0
2020-06-10 09:52:00+08:00,1.56,1.56,1.56,1.56,100,0,0
2020-06-10 10:08:00+08:00,1.55,1.55,1.55,1.55,2000,0,0
2020-06-10 10:09:00+08:00,1.55,1.55,1.55,1.55,3000,0,0
2020-06-10 10:13:00+08:00,1.55,1.55,1.55,1.55,1800,0,0
2020-06-10 10:14:00+08:00,1.55,1.55,1.55,1.55,1300,0,0
2020-06-10 10:25:00+08:00,1.55,1.55,1.55,1.55,3700,0,0
2020-06-10 10:26:00+08:00,1.55,1.55,1.55,1.55,500,0,0
2020-06-10 11:11:00+08:00,1.54,1.54,1.54,1.54,800,0,0
2020-06-10 11:40:00+08:00,1.54,1.54,1.54,1.54,40100,0,0
2020-06-10 11:41:00+08:00,1.54,1.54,1.54,1.54,17300,0,0
2020-06-10 12:23:00+08:00,1.54,1.54,1.54,1.54,5000,0,0
2020-06-10 14:30:00+08:00,1.55,1.55,1.55,1.55,1000,0,0
2020-06-10 14:35:00+08:00,1.56,1.56,1.56,1.56,200,0,0
2020-06-10 14:36:00+08:00,1.56,1.56,1.56,1.56,800,0,0
2020-06-10 15:29:00+08:00,1.55,1.55,1.55,1.55,8000,0,0
2020-06-10 15:34:00+08:00,1.55,1.55,1.54,1.54,15600,0,0
2020-06-10 15:35:00+08:00,1.55,1.55,1.55,1.55,900,0,0
2020-06-10 15:49:00+08:00,1.55,1.55,1.55,1.55,500,0,0
2020-06-10 15:50:00+08:00,1.55,1.55,1.55,1.55,200,0,0
2020-06-10 15:56:00+08:00,1.55,1.55,1.55,1.55,300,0,0
2020-06-10 15:57:00+08:00,1.55,1.55,1.54,1.54,10600,0,0
2020-06-10 15:59:00+08:00,1.55,1.55,1.55,1.55,100,0,0
2020-06-10 16:00:00+08:00,1.55,1.55,1.55,1.55,100,0,0
2020-06-10 16:04:00+08:00,1.55,1.55,1.55,1.55,5000,0,0
2020-06-10 16:10:00+08:00,1.55,1.55,1.55,1.55,600,0,0
2020-06-10 16:11:00+08:00,1.55,1.55,1.55,1.55,500,0,0
2020-06-10 16:20:00+08:00,1.55,1.55,1.55,1.55,200,0,0
2020-06-10 16:21:00+08:00,1.55,1.55,1.55,1.55,500,0,0
2020-06-10 16:29:00+08:00,1.55,1.55,1.55,1.55,18000,0,0
2020-06-10 16:43:00+08:00,1.56,1.56,1.56,1.56,10000,0,0
2020-06-10 16:44:00+08:00,1.56,1.56,1.56,1.56,700,0,0
2020-06-10 16:50:00+08:00,1.55,1.55,1.55,1.55,800,0,0
