Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 09:00:00+08:00,0.335,0.335,0.335,0.335,0,0,0
2020-06-09 09:09:00+08:00,0.335,0.335,0.335,0.335,10000,0,0
2020-06-09 09:28:00+08:00,0.325,0.325,0.325,0.325,10000,0,0
2020-06-09 09:43:00+08:00,0.325,0.325,0.325,0.325,20000,0,0
2020-06-09 09:46:00+08:00,0.325,0.325,0.325,0.325,5000,0,0
2020-06-09 10:16:00+08:00,0.325,0.325,0.325,0.325,4500,0,0
2020-06-09 10:24:00+08:00,0.325,0.325,0.325,0.325,5000,0,0
2020-06-09 10:46:00+08:00,0.325,0.325,0.325,0.325,10000,0,0
2020-06-09 11:00:00+08:00,0.325,0.325,0.325,0.325,10000,0,0
2020-06-09 11:41:00+08:00,0.325,0.325,0.325,0.325,21000,0,0
2020-06-09 12:06:00+08:00,0.325,0.325,0.325,0.325,30000,0,0
2020-06-09 12:13:00+08:00,0.32,0.32,0.32,0.32,2800,0,0
2020-06-09 12:16:00+08:00,0.325,0.325,0.325,0.325,6000,0,0
2020-06-09 14:36:00+08:00,0.325,0.325,0.325,0.325,2000,0,0
2020-06-09 14:38:00+08:00,0.33,0.335,0.33,0.335,131000,0,0
2020-06-09 14:39:00+08:00,0.335,0.335,0.335,0.335,25000,0,0
2020-06-09 14:44:00+08:00,0.335,0.335,0.335,0.335,50000,0,0
2020-06-09 14:46:00+08:00,0.335,0.335,0.335,0.335,18000,0,0
2020-06-09 14:55:00+08:00,0.335,0.335,0.335,0.335,35000,0,0
2020-06-09 15:00:00+08:00,0.335,0.335,0.335,0.335,2000,0,0
2020-06-09 15:03:00+08:00,0.335,0.335,0.335,0.335,11000,0,0
2020-06-09 15:06:00+08:00,0.335,0.335,0.335,0.335,50000,0,0
2020-06-09 15:07:00+08:00,0.335,0.335,0.335,0.335,2000,0,0
2020-06-09 15:24:00+08:00,0.33,0.33,0.33,0.33,2000,0,0
2020-06-09 15:49:00+08:00,0.33,0.33,0.33,0.33,18000,0,0
2020-06-09 15:55:00+08:00,0.325,0.325,0.325,0.325,30000,0,0
2020-06-09 15:57:00+08:00,0.325,0.325,0.325,0.325,8000,0,0
2020-06-09 16:13:00+08:00,0.325,0.325,0.325,0.325,3000,0,0
2020-06-09 16:22:00+08:00,0.325,0.325,0.325,0.325,40000,0,0
2020-06-09 16:42:00+08:00,0.325,0.325,0.325,0.325,3000,0,0
2020-06-09 16:50:00+08:00,0.325,0.325,0.325,0.325,8100,0,0
2020-06-09 16:56:00+08:00,0.325,0.325,0.325,0.325,13900,0,0
