Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:07:00+08:00,1.02,1.02,1.02,1.02,0,0,0
2020-06-11 09:09:00+08:00,1.03,1.03,1.03,1.03,7000,0,0
2020-06-11 09:12:00+08:00,1.03,1.03,1.03,1.03,3000,0,0
2020-06-11 09:38:00+08:00,1.03,1.03,1.03,1.03,4100,0,0
2020-06-11 09:39:00+08:00,1.03,1.03,1.03,1.03,6000,0,0
2020-06-11 09:40:00+08:00,1.03,1.03,1.03,1.03,100,0,0
2020-06-11 09:46:00+08:00,1.03,1.03,1.03,1.03,5500,0,0
2020-06-11 09:49:00+08:00,1.03,1.03,1.03,1.03,300,0,0
2020-06-11 09:51:00+08:00,1.03,1.03,1.03,1.03,1000,0,0
2020-06-11 10:18:00+08:00,1.03,1.03,1.03,1.03,1000,0,0
2020-06-11 10:21:00+08:00,1.03,1.03,1.03,1.03,8000,0,0
2020-06-11 10:22:00+08:00,1.03,1.03,1.03,1.03,1200,0,0
2020-06-11 10:52:00+08:00,1.02,1.02,1.02,1.02,21000,0,0
2020-06-11 11:07:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-11 11:25:00+08:00,1.02,1.02,1.02,1.02,7000,0,0
2020-06-11 11:30:00+08:00,1.02,1.02,1.02,1.02,20000,0,0
2020-06-11 11:41:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-11 11:42:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-11 11:43:00+08:00,1.02,1.02,1.02,1.02,50000,0,0
2020-06-11 11:44:00+08:00,1.02,1.02,1.02,1.02,13000,0,0
2020-06-11 11:45:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-11 11:46:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-11 12:03:00+08:00,1.02,1.02,1.02,1.02,5300,0,0
2020-06-11 12:06:00+08:00,1.02,1.02,1.02,1.02,700,0,0
2020-06-11 12:09:00+08:00,1.02,1.02,1.02,1.02,300,0,0
2020-06-11 12:19:00+08:00,1.02,1.02,1.01,1.01,4400,0,0
2020-06-11 12:24:00+08:00,1.02,1.02,1.02,1.02,3500,0,0
2020-06-11 14:40:00+08:00,1.01,1.01,1.01,1.01,10000,0,0
2020-06-11 14:43:00+08:00,1.01,1.01,1.01,1.01,12000,0,0
2020-06-11 14:45:00+08:00,1.01,1.01,1.01,1.01,50000,0,0
2020-06-11 14:49:00+08:00,1.01,1.01,1.01,1.01,50000,0,0
2020-06-11 14:51:00+08:00,1.01,1.01,1.01,1.01,5000,0,0
2020-06-11 14:57:00+08:00,1.01,1.01,1.01,1.01,4100,0,0
2020-06-11 14:58:00+08:00,1.01,1.01,1.01,1.01,900,0,0
2020-06-11 15:09:00+08:00,1.01,1.01,1.01,1.01,1900,0,0
2020-06-11 15:26:00+08:00,1.01,1.01,1.01,1.01,9900,0,0
2020-06-11 15:27:00+08:00,1.01,1.01,1.01,1.01,300,0,0
2020-06-11 15:28:00+08:00,1.01,1.01,1.01,1.01,400,0,0
2020-06-11 15:29:00+08:00,1.01,1.01,1.01,1.01,300,0,0
2020-06-11 15:30:00+08:00,1.01,1.01,1.0,1.01,10400,0,0
2020-06-11 15:31:00+08:00,1.01,1.01,1.01,1.01,200,0,0
2020-06-11 15:32:00+08:00,1.01,1.01,1.01,1.01,3200,0,0
2020-06-11 15:33:00+08:00,1.0,1.01,1.0,1.01,700,0,0
2020-06-11 15:35:00+08:00,1.01,1.01,1.01,1.01,500,0,0
2020-06-11 15:36:00+08:00,1.01,1.01,1.01,1.01,2000,0,0
2020-06-11 15:37:00+08:00,1.01,1.01,1.01,1.01,30000,0,0
2020-06-11 15:38:00+08:00,1.01,1.01,1.01,1.01,10000,0,0
2020-06-11 15:39:00+08:00,1.01,1.01,1.01,1.01,5500,0,0
2020-06-11 15:40:00+08:00,1.01,1.01,1.01,1.01,500,0,0
2020-06-11 15:41:00+08:00,1.01,1.01,1.01,1.01,500,0,0
2020-06-11 15:42:00+08:00,1.01,1.01,1.01,1.01,500,0,0
2020-06-11 15:43:00+08:00,1.01,1.01,1.01,1.01,2800,0,0
2020-06-11 15:52:00+08:00,1.01,1.01,1.01,1.01,10000,0,0
2020-06-11 15:58:00+08:00,1.01,1.01,1.01,1.01,12600,0,0
2020-06-11 16:11:00+08:00,1.01,1.01,1.01,1.01,3500,0,0
2020-06-11 16:14:00+08:00,1.01,1.01,1.01,1.01,16900,0,0
2020-06-11 16:19:00+08:00,1.01,1.01,1.01,1.01,11400,0,0
2020-06-11 16:20:00+08:00,1.01,1.01,1.01,1.01,6500,0,0
2020-06-11 16:21:00+08:00,1.01,1.01,1.01,1.01,500,0,0
2020-06-11 16:22:00+08:00,1.01,1.01,1.01,1.01,3000,0,0
2020-06-11 16:23:00+08:00,1.01,1.01,1.01,1.01,2000,0,0
2020-06-11 16:42:00+08:00,1.01,1.01,1.01,1.01,2000,0,0
2020-06-11 16:43:00+08:00,1.0,1.0,1.0,1.0,1100,0,0
2020-06-11 16:50:00+08:00,1.0,1.0,1.0,1.0,15000,0,0
2020-06-11 16:54:00+08:00,1.0,1.0,1.0,1.0,100000,0,0
