Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:01:00+08:00,0.395,0.395,0.395,0.395,0,0,0
2020-06-10 09:10:00+08:00,0.395,0.395,0.395,0.395,5000,0,0
2020-06-10 09:11:00+08:00,0.395,0.395,0.395,0.395,10000,0,0
2020-06-10 09:12:00+08:00,0.39,0.39,0.39,0.39,25000,0,0
2020-06-10 09:15:00+08:00,0.39,0.39,0.39,0.39,10000,0,0
2020-06-10 09:26:00+08:00,0.395,0.395,0.395,0.395,14000,0,0
2020-06-10 09:28:00+08:00,0.395,0.395,0.395,0.395,5000,0,0
2020-06-10 09:40:00+08:00,0.39,0.39,0.39,0.39,8000,0,0
2020-06-10 09:45:00+08:00,0.39,0.39,0.39,0.39,53800,0,0
2020-06-10 09:59:00+08:00,0.395,0.395,0.395,0.395,5000,0,0
2020-06-10 10:00:00+08:00,0.395,0.395,0.395,0.395,17000,0,0
2020-06-10 10:28:00+08:00,0.39,0.39,0.39,0.39,7300,0,0
2020-06-10 11:02:00+08:00,0.395,0.395,0.395,0.395,30000,0,0
2020-06-10 11:34:00+08:00,0.39,0.39,0.39,0.39,2500,0,0
2020-06-10 11:45:00+08:00,0.39,0.39,0.39,0.39,2000,0,0
2020-06-10 12:27:00+08:00,0.39,0.39,0.39,0.39,7600,0,0
2020-06-10 14:30:00+08:00,0.39,0.39,0.39,0.39,16000,0,0
2020-06-10 14:45:00+08:00,0.39,0.39,0.39,0.39,19000,0,0
2020-06-10 15:55:00+08:00,0.39,0.39,0.39,0.39,7500,0,0
2020-06-10 16:32:00+08:00,0.39,0.39,0.39,0.39,3000,0,0
2020-06-10 16:35:00+08:00,0.39,0.39,0.39,0.39,11100,0,0
2020-06-10 16:39:00+08:00,0.39,0.39,0.39,0.39,35000,0,0
