Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 09:00:00+08:00,0.87,0.87,0.87,0.87,0,0,0
2020-06-09 09:01:00+08:00,0.865,0.88,0.865,0.88,72100,0,0
2020-06-09 09:03:00+08:00,0.88,0.88,0.88,0.88,10000,0,0
2020-06-09 09:04:00+08:00,0.88,0.88,0.88,0.88,5000,0,0
2020-06-09 09:05:00+08:00,0.88,0.88,0.875,0.875,75000,0,0
2020-06-09 09:06:00+08:00,0.875,0.875,0.875,0.875,33400,0,0
2020-06-09 09:07:00+08:00,0.875,0.875,0.87,0.87,131800,0,0
2020-06-09 09:08:00+08:00,0.87,0.87,0.87,0.87,136900,0,0
2020-06-09 09:09:00+08:00,0.87,0.87,0.87,0.87,6500,0,0
2020-06-09 09:11:00+08:00,0.87,0.87,0.865,0.865,46000,0,0
2020-06-09 09:12:00+08:00,0.865,0.865,0.865,0.865,1000,0,0
2020-06-09 09:15:00+08:00,0.865,0.865,0.86,0.86,10000,0,0
2020-06-09 09:16:00+08:00,0.86,0.86,0.86,0.86,12000,0,0
2020-06-09 09:17:00+08:00,0.865,0.865,0.86,0.86,18000,0,0
2020-06-09 09:18:00+08:00,0.86,0.86,0.86,0.86,1000,0,0
2020-06-09 09:22:00+08:00,0.86,0.86,0.86,0.86,25000,0,0
2020-06-09 09:23:00+08:00,0.86,0.86,0.86,0.86,5000,0,0
2020-06-09 09:26:00+08:00,0.86,0.86,0.86,0.86,2500,0,0
2020-06-09 09:27:00+08:00,0.855,0.855,0.855,0.855,74000,0,0
2020-06-09 09:28:00+08:00,0.855,0.855,0.855,0.855,5000,0,0
2020-06-09 09:29:00+08:00,0.85,0.85,0.85,0.85,51500,0,0
2020-06-09 09:33:00+08:00,0.85,0.85,0.85,0.85,20000,0,0
2020-06-09 09:34:00+08:00,0.85,0.85,0.85,0.85,26000,0,0
2020-06-09 09:35:00+08:00,0.85,0.85,0.85,0.85,4000,0,0
2020-06-09 09:39:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 09:40:00+08:00,0.855,0.855,0.855,0.855,60800,0,0
2020-06-09 09:50:00+08:00,0.86,0.86,0.86,0.86,15000,0,0
2020-06-09 09:51:00+08:00,0.86,0.86,0.86,0.86,30000,0,0
2020-06-09 09:54:00+08:00,0.86,0.86,0.86,0.86,22500,0,0
2020-06-09 09:55:00+08:00,0.86,0.86,0.86,0.86,7000,0,0
2020-06-09 09:57:00+08:00,0.86,0.86,0.86,0.86,25000,0,0
2020-06-09 10:01:00+08:00,0.855,0.855,0.855,0.855,600,0,0
2020-06-09 10:02:00+08:00,0.86,0.86,0.86,0.86,25000,0,0
2020-06-09 10:03:00+08:00,0.86,0.86,0.86,0.86,24800,0,0
2020-06-09 10:04:00+08:00,0.86,0.86,0.86,0.86,20000,0,0
2020-06-09 10:05:00+08:00,0.86,0.86,0.86,0.86,5200,0,0
2020-06-09 10:09:00+08:00,0.86,0.86,0.86,0.86,22100,0,0
2020-06-09 10:11:00+08:00,0.865,0.865,0.865,0.865,1500,0,0
2020-06-09 10:14:00+08:00,0.865,0.865,0.865,0.865,10000,0,0
2020-06-09 10:24:00+08:00,0.865,0.865,0.865,0.865,5000,0,0
2020-06-09 10:28:00+08:00,0.86,0.86,0.86,0.86,5000,0,0
2020-06-09 10:29:00+08:00,0.86,0.86,0.86,0.86,10000,0,0
2020-06-09 10:37:00+08:00,0.86,0.86,0.86,0.86,10000,0,0
2020-06-09 10:39:00+08:00,0.865,0.865,0.86,0.86,48000,0,0
2020-06-09 10:49:00+08:00,0.86,0.86,0.86,0.86,6000,0,0
2020-06-09 10:50:00+08:00,0.855,0.855,0.855,0.855,3000,0,0
2020-06-09 11:10:00+08:00,0.86,0.86,0.86,0.86,3000,0,0
2020-06-09 11:11:00+08:00,0.86,0.86,0.86,0.86,10000,0,0
2020-06-09 11:13:00+08:00,0.855,0.855,0.855,0.855,25000,0,0
2020-06-09 11:14:00+08:00,0.86,0.86,0.86,0.86,5000,0,0
2020-06-09 11:15:00+08:00,0.86,0.86,0.86,0.86,6500,0,0
2020-06-09 11:16:00+08:00,0.855,0.855,0.855,0.855,5000,0,0
2020-06-09 11:19:00+08:00,0.855,0.855,0.855,0.855,11500,0,0
2020-06-09 11:25:00+08:00,0.86,0.86,0.86,0.86,50000,0,0
2020-06-09 11:27:00+08:00,0.86,0.86,0.86,0.86,10000,0,0
2020-06-09 11:29:00+08:00,0.86,0.86,0.86,0.86,2000,0,0
2020-06-09 11:30:00+08:00,0.86,0.86,0.86,0.86,27000,0,0
2020-06-09 11:31:00+08:00,0.86,0.86,0.86,0.86,500,0,0
2020-06-09 11:32:00+08:00,0.86,0.86,0.86,0.86,9500,0,0
2020-06-09 11:36:00+08:00,0.86,0.86,0.86,0.86,15500,0,0
2020-06-09 11:44:00+08:00,0.86,0.86,0.86,0.86,1100,0,0
2020-06-09 12:02:00+08:00,0.86,0.86,0.86,0.86,500,0,0
2020-06-09 12:05:00+08:00,0.86,0.86,0.86,0.86,30000,0,0
2020-06-09 12:13:00+08:00,0.86,0.86,0.86,0.86,900,0,0
2020-06-09 12:14:00+08:00,0.86,0.86,0.86,0.86,1000,0,0
2020-06-09 12:20:00+08:00,0.855,0.855,0.855,0.855,109100,0,0
2020-06-09 12:22:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 12:27:00+08:00,0.855,0.855,0.855,0.855,12000,0,0
2020-06-09 14:30:00+08:00,0.855,0.855,0.855,0.855,29000,0,0
2020-06-09 14:32:00+08:00,0.855,0.855,0.855,0.855,2000,0,0
2020-06-09 14:36:00+08:00,0.86,0.86,0.86,0.86,50000,0,0
2020-06-09 14:38:00+08:00,0.855,0.855,0.855,0.855,109200,0,0
2020-06-09 14:49:00+08:00,0.855,0.855,0.855,0.855,30000,0,0
2020-06-09 14:51:00+08:00,0.855,0.855,0.855,0.855,3000,0,0
2020-06-09 14:53:00+08:00,0.855,0.855,0.855,0.855,18900,0,0
2020-06-09 14:54:00+08:00,0.855,0.855,0.855,0.855,25600,0,0
2020-06-09 14:56:00+08:00,0.855,0.855,0.855,0.855,14400,0,0
2020-06-09 14:58:00+08:00,0.855,0.855,0.855,0.855,17000,0,0
2020-06-09 15:00:00+08:00,0.855,0.855,0.855,0.855,15000,0,0
2020-06-09 15:06:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 15:08:00+08:00,0.855,0.855,0.855,0.855,25000,0,0
2020-06-09 15:25:00+08:00,0.855,0.855,0.855,0.855,6000,0,0
2020-06-09 15:33:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 15:35:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 15:36:00+08:00,0.855,0.855,0.855,0.855,10000,0,0
2020-06-09 15:50:00+08:00,0.855,0.855,0.855,0.855,15000,0,0
2020-06-09 16:00:00+08:00,0.855,0.855,0.855,0.855,30000,0,0
2020-06-09 16:01:00+08:00,0.85,0.85,0.85,0.85,178400,0,0
2020-06-09 16:05:00+08:00,0.85,0.85,0.85,0.85,20000,0,0
2020-06-09 16:08:00+08:00,0.845,0.845,0.845,0.845,29000,0,0
2020-06-09 16:12:00+08:00,0.85,0.85,0.85,0.85,11700,0,0
2020-06-09 16:20:00+08:00,0.845,0.845,0.845,0.845,27500,0,0
2020-06-09 16:25:00+08:00,0.845,0.845,0.845,0.845,13000,0,0
2020-06-09 16:30:00+08:00,0.845,0.845,0.845,0.845,10000,0,0
2020-06-09 16:32:00+08:00,0.845,0.845,0.845,0.845,14700,0,0
2020-06-09 16:37:00+08:00,0.845,0.845,0.845,0.845,2100,0,0
2020-06-09 16:38:00+08:00,0.845,0.845,0.845,0.845,3900,0,0
2020-06-09 16:44:00+08:00,0.845,0.845,0.845,0.845,6600,0,0
2020-06-09 16:50:00+08:00,0.845,0.845,0.845,0.845,1200,0,0
2020-06-09 16:51:00+08:00,0.845,0.845,0.845,0.845,2200,0,0
