Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,0.91,0.91,0.91,0.91,0,0,0
2020-06-22 09:01:00+08:00,0.91,0.91,0.91,0.91,17100,0,0
2020-06-22 09:04:00+08:00,0.915,0.925,0.915,0.925,149100,0,0
2020-06-22 09:05:00+08:00,0.925,0.93,0.925,0.93,78200,0,0
2020-06-22 09:06:00+08:00,0.935,0.94,0.935,0.94,87900,0,0
2020-06-22 09:07:00+08:00,0.945,0.945,0.94,0.945,92000,0,0
2020-06-22 09:08:00+08:00,0.94,0.94,0.935,0.935,42000,0,0
2020-06-22 09:09:00+08:00,0.935,0.935,0.935,0.935,8400,0,0
2020-06-22 09:10:00+08:00,0.935,0.935,0.925,0.925,34000,0,0
2020-06-22 09:11:00+08:00,0.93,0.93,0.925,0.925,22000,0,0
2020-06-22 09:12:00+08:00,0.935,0.935,0.925,0.925,5100,0,0
2020-06-22 09:13:00+08:00,0.935,0.935,0.935,0.935,100,0,0
2020-06-22 09:15:00+08:00,0.935,0.935,0.935,0.935,20000,0,0
2020-06-22 09:16:00+08:00,0.935,0.935,0.935,0.935,18300,0,0
2020-06-22 09:19:00+08:00,0.94,0.94,0.94,0.94,100,0,0
2020-06-22 09:22:00+08:00,0.935,0.935,0.935,0.935,25700,0,0
2020-06-22 09:23:00+08:00,0.935,0.94,0.935,0.94,6000,0,0
2020-06-22 09:25:00+08:00,0.94,0.94,0.935,0.935,28600,0,0
2020-06-22 09:26:00+08:00,0.935,0.935,0.935,0.935,21000,0,0
2020-06-22 09:27:00+08:00,0.935,0.935,0.935,0.935,7000,0,0
2020-06-22 09:28:00+08:00,0.935,0.935,0.935,0.935,4000,0,0
2020-06-22 09:29:00+08:00,0.935,0.935,0.935,0.935,15000,0,0
2020-06-22 09:31:00+08:00,0.935,0.935,0.935,0.935,1500,0,0
2020-06-22 09:33:00+08:00,0.935,0.935,0.935,0.935,9100,0,0
2020-06-22 09:34:00+08:00,0.935,0.935,0.935,0.935,4900,0,0
2020-06-22 09:35:00+08:00,0.935,0.935,0.935,0.935,3000,0,0
2020-06-22 09:36:00+08:00,0.93,0.93,0.93,0.93,27900,0,0
2020-06-22 09:37:00+08:00,0.93,0.93,0.93,0.93,8000,0,0
2020-06-22 09:38:00+08:00,0.93,0.93,0.93,0.93,55100,0,0
2020-06-22 09:39:00+08:00,0.925,0.93,0.925,0.925,23100,0,0
2020-06-22 09:40:00+08:00,0.925,0.925,0.925,0.925,10000,0,0
2020-06-22 09:41:00+08:00,0.925,0.925,0.925,0.925,11000,0,0
2020-06-22 09:42:00+08:00,0.925,0.925,0.925,0.925,9000,0,0
2020-06-22 09:45:00+08:00,0.925,0.925,0.925,0.925,2000,0,0
