Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:05:00+08:00,1.24,1.24,1.24,1.24,0,0,0
2020-06-10 09:18:00+08:00,1.25,1.25,1.25,1.25,1000,0,0
2020-06-10 10:13:00+08:00,1.28,1.28,1.28,1.28,2000,0,0
2020-06-10 10:14:00+08:00,1.29,1.29,1.29,1.29,4000,0,0
2020-06-10 10:41:00+08:00,1.29,1.29,1.29,1.29,8900,0,0
2020-06-10 10:46:00+08:00,1.29,1.29,1.29,1.29,12000,0,0
2020-06-10 10:49:00+08:00,1.29,1.29,1.29,1.29,300,0,0
2020-06-10 10:51:00+08:00,1.29,1.29,1.29,1.29,4700,0,0
2020-06-10 10:52:00+08:00,1.3,1.3,1.3,1.3,3000,0,0
2020-06-10 10:53:00+08:00,1.3,1.3,1.3,1.3,7000,0,0
2020-06-10 10:57:00+08:00,1.29,1.29,1.29,1.29,10000,0,0
2020-06-10 10:58:00+08:00,1.29,1.29,1.29,1.29,5700,0,0
2020-06-10 10:59:00+08:00,1.29,1.29,1.29,1.29,4300,0,0
2020-06-10 11:00:00+08:00,1.29,1.29,1.29,1.29,16000,0,0
2020-06-10 11:03:00+08:00,1.29,1.29,1.29,1.29,300,0,0
2020-06-10 11:09:00+08:00,1.28,1.28,1.28,1.28,7900,0,0
2020-06-10 11:13:00+08:00,1.29,1.29,1.29,1.29,10000,0,0
2020-06-10 11:32:00+08:00,1.29,1.29,1.29,1.29,4000,0,0
2020-06-10 11:36:00+08:00,1.29,1.29,1.29,1.29,2000,0,0
2020-06-10 11:37:00+08:00,1.29,1.29,1.29,1.29,10000,0,0
2020-06-10 11:41:00+08:00,1.29,1.29,1.29,1.29,5000,0,0
2020-06-10 11:42:00+08:00,1.29,1.29,1.29,1.29,1000,0,0
2020-06-10 11:47:00+08:00,1.29,1.29,1.29,1.29,9600,0,0
2020-06-10 11:50:00+08:00,1.29,1.3,1.29,1.3,4800,0,0
2020-06-10 11:55:00+08:00,1.29,1.29,1.29,1.29,1000,0,0
2020-06-10 11:59:00+08:00,1.29,1.29,1.29,1.29,1200,0,0
2020-06-10 12:00:00+08:00,1.29,1.29,1.29,1.29,19000,0,0
2020-06-10 12:05:00+08:00,1.29,1.29,1.29,1.29,10000,0,0
2020-06-10 12:17:00+08:00,1.29,1.29,1.29,1.29,10100,0,0
2020-06-10 14:30:00+08:00,1.29,1.3,1.29,1.3,64900,0,0
2020-06-10 14:31:00+08:00,1.3,1.31,1.3,1.31,5100,0,0
2020-06-10 14:32:00+08:00,1.31,1.31,1.31,1.31,3000,0,0
2020-06-10 14:34:00+08:00,1.31,1.31,1.31,1.31,9900,0,0
2020-06-10 14:35:00+08:00,1.32,1.32,1.32,1.32,10000,0,0
2020-06-10 14:36:00+08:00,1.32,1.33,1.32,1.33,41000,0,0
2020-06-10 14:37:00+08:00,1.33,1.33,1.32,1.32,5700,0,0
2020-06-10 14:38:00+08:00,1.34,1.35,1.34,1.35,48800,0,0
2020-06-10 14:45:00+08:00,1.33,1.33,1.32,1.32,30700,0,0
2020-06-10 14:46:00+08:00,1.32,1.32,1.32,1.32,900,0,0
2020-06-10 14:48:00+08:00,1.31,1.31,1.31,1.31,3200,0,0
2020-06-10 14:50:00+08:00,1.31,1.31,1.31,1.31,3100,0,0
2020-06-10 14:55:00+08:00,1.31,1.31,1.31,1.31,5000,0,0
2020-06-10 15:09:00+08:00,1.31,1.31,1.31,1.31,7000,0,0
2020-06-10 15:10:00+08:00,1.31,1.31,1.31,1.31,500,0,0
2020-06-10 15:11:00+08:00,1.32,1.32,1.32,1.32,9500,0,0
2020-06-10 15:16:00+08:00,1.32,1.32,1.3,1.3,16800,0,0
2020-06-10 15:17:00+08:00,1.3,1.3,1.3,1.3,12200,0,0
2020-06-10 15:20:00+08:00,1.3,1.31,1.3,1.31,8000,0,0
2020-06-10 15:21:00+08:00,1.31,1.31,1.31,1.31,5000,0,0
2020-06-10 15:26:00+08:00,1.32,1.32,1.32,1.32,10000,0,0
2020-06-10 15:28:00+08:00,1.32,1.32,1.32,1.32,5000,0,0
2020-06-10 15:31:00+08:00,1.32,1.32,1.32,1.32,25000,0,0
2020-06-10 15:32:00+08:00,1.32,1.32,1.32,1.32,10000,0,0
