Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:01:00+08:00,4.65,4.65,4.65,4.65,0,0,0
2020-06-22 09:08:00+08:00,4.62,4.62,4.62,4.62,600,0,0
2020-06-22 09:11:00+08:00,4.6,4.6,4.6,4.6,1000,0,0
2020-06-22 09:12:00+08:00,4.6,4.6,4.6,4.6,1100,0,0
2020-06-22 09:13:00+08:00,4.61,4.61,4.61,4.61,200,0,0
2020-06-22 09:14:00+08:00,4.62,4.62,4.62,4.62,1300,0,0
2020-06-22 09:17:00+08:00,4.62,4.62,4.62,4.62,400,0,0
2020-06-22 09:29:00+08:00,4.64,4.64,4.64,4.64,100,0,0
2020-06-22 09:30:00+08:00,4.64,4.64,4.64,4.64,200,0,0
2020-06-22 09:32:00+08:00,4.64,4.64,4.64,4.64,5900,0,0
2020-06-22 09:33:00+08:00,4.62,4.63,4.62,4.63,700,0,0
2020-06-22 09:40:00+08:00,4.63,4.63,4.62,4.62,1100,0,0
2020-06-22 09:45:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 09:56:00+08:00,4.62,4.62,4.62,4.62,1000,0,0
2020-06-22 09:57:00+08:00,4.62,4.62,4.62,4.62,200,0,0
2020-06-22 10:01:00+08:00,4.62,4.62,4.62,4.62,4300,0,0
2020-06-22 10:04:00+08:00,4.63,4.63,4.62,4.62,6500,0,0
2020-06-22 10:05:00+08:00,4.62,4.62,4.62,4.62,5500,0,0
2020-06-22 10:06:00+08:00,4.62,4.62,4.62,4.62,300,0,0
2020-06-22 10:07:00+08:00,4.62,4.62,4.62,4.62,1600,0,0
2020-06-22 10:16:00+08:00,4.63,4.63,4.62,4.62,13100,0,0
2020-06-22 10:21:00+08:00,4.62,4.62,4.62,4.62,1100,0,0
2020-06-22 10:24:00+08:00,4.62,4.62,4.62,4.62,4500,0,0
2020-06-22 10:26:00+08:00,4.62,4.62,4.62,4.62,47900,0,0
2020-06-22 10:44:00+08:00,4.63,4.63,4.63,4.63,4000,0,0
2020-06-22 10:47:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 10:48:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 10:51:00+08:00,4.63,4.63,4.63,4.63,200,0,0
2020-06-22 10:52:00+08:00,4.64,4.64,4.64,4.64,100,0,0
2020-06-22 10:54:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 10:55:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 10:56:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 10:57:00+08:00,4.64,4.64,4.64,4.64,100,0,0
2020-06-22 10:58:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 11:01:00+08:00,4.64,4.64,4.63,4.63,200,0,0
2020-06-22 11:05:00+08:00,4.63,4.64,4.63,4.64,200,0,0
2020-06-22 11:07:00+08:00,4.63,4.63,4.63,4.63,300,0,0
2020-06-22 11:08:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:10:00+08:00,4.62,4.62,4.62,4.62,200,0,0
2020-06-22 11:11:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:12:00+08:00,4.62,4.62,4.62,4.62,300,0,0
2020-06-22 11:14:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:16:00+08:00,4.62,4.62,4.62,4.62,400,0,0
2020-06-22 11:19:00+08:00,4.62,4.63,4.62,4.63,800,0,0
2020-06-22 11:21:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:22:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 11:26:00+08:00,4.62,4.62,4.62,4.62,200,0,0
2020-06-22 11:27:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 11:28:00+08:00,4.62,4.62,4.62,4.62,500,0,0
2020-06-22 11:30:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:32:00+08:00,4.62,4.63,4.62,4.62,41300,0,0
2020-06-22 11:33:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 11:35:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 11:37:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 11:40:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 11:41:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:42:00+08:00,4.62,4.62,4.62,4.62,2200,0,0
2020-06-22 11:43:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:46:00+08:00,4.62,4.62,4.62,4.62,600,0,0
2020-06-22 11:49:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:51:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:52:00+08:00,4.63,4.63,4.63,4.63,100,0,0
2020-06-22 11:54:00+08:00,4.62,4.62,4.62,4.62,100,0,0
2020-06-22 11:56:00+08:00,4.62,4.63,4.62,4.62,10300,0,0
2020-06-22 11:57:00+08:00,4.61,4.61,4.61,4.61,20000,0,0
2020-06-22 11:58:00+08:00,4.62,4.62,4.61,4.61,49100,0,0
2020-06-22 12:00:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 12:01:00+08:00,4.62,4.62,4.62,4.62,11300,0,0
2020-06-22 12:02:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 12:04:00+08:00,4.61,4.61,4.61,4.61,600,0,0
2020-06-22 12:06:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 12:08:00+08:00,4.61,4.62,4.61,4.62,1300,0,0
2020-06-22 12:10:00+08:00,4.62,4.62,4.61,4.61,200,0,0
2020-06-22 12:12:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 12:13:00+08:00,4.61,4.61,4.61,4.61,800,0,0
2020-06-22 12:14:00+08:00,4.61,4.61,4.61,4.61,100,0,0
2020-06-22 12:16:00+08:00,4.61,4.61,4.61,4.61,31000,0,0
2020-06-22 12:17:00+08:00,4.6,4.6,4.6,4.6,9200,0,0
2020-06-22 12:21:00+08:00,4.59,4.59,4.59,4.59,100,0,0
2020-06-22 12:25:00+08:00,4.59,4.59,4.58,4.58,500,0,0
2020-06-22 12:27:00+08:00,4.58,4.58,4.58,4.58,500,0,0
2020-06-22 12:28:00+08:00,4.58,4.59,4.58,4.59,1200,0,0
2020-06-22 14:30:00+08:00,4.59,4.59,4.59,4.59,2000,0,0
2020-06-22 14:31:00+08:00,4.59,4.59,4.59,4.59,4800,0,0
2020-06-22 14:32:00+08:00,4.59,4.59,4.59,4.59,600,0,0
2020-06-22 14:33:00+08:00,4.6,4.61,4.6,4.6,53000,0,0
2020-06-22 14:34:00+08:00,4.6,4.6,4.6,4.6,6600,0,0
2020-06-22 14:59:00+08:00,4.59,4.59,4.59,4.59,51200,0,0
2020-06-22 15:06:00+08:00,4.6,4.6,4.6,4.6,3000,0,0
2020-06-22 15:07:00+08:00,4.6,4.61,4.6,4.61,77900,0,0
2020-06-22 15:08:00+08:00,4.6,4.61,4.6,4.6,35200,0,0
2020-06-22 15:09:00+08:00,4.59,4.59,4.59,4.59,60500,0,0
2020-06-22 15:10:00+08:00,4.59,4.59,4.59,4.59,110000,0,0
2020-06-22 15:11:00+08:00,4.59,4.59,4.59,4.59,23400,0,0
2020-06-22 15:18:00+08:00,4.58,4.58,4.58,4.58,30000,0,0
2020-06-22 15:19:00+08:00,4.58,4.58,4.58,4.58,5100,0,0
2020-06-22 15:22:00+08:00,4.58,4.58,4.58,4.58,2000,0,0
2020-06-22 15:23:00+08:00,4.58,4.58,4.58,4.58,21200,0,0
2020-06-22 15:24:00+08:00,4.59,4.6,4.59,4.6,33900,0,0
2020-06-22 15:25:00+08:00,4.59,4.59,4.59,4.59,24800,0,0
2020-06-22 15:26:00+08:00,4.59,4.59,4.59,4.59,17600,0,0
2020-06-22 15:29:00+08:00,4.59,4.61,4.59,4.61,111600,0,0
2020-06-22 15:35:00+08:00,4.59,4.59,4.59,4.59,4300,0,0
2020-06-22 15:36:00+08:00,4.59,4.59,4.59,4.59,2200,0,0
2020-06-22 15:37:00+08:00,4.59,4.59,4.59,4.59,5300,0,0
2020-06-22 15:40:00+08:00,4.58,4.59,4.58,4.59,5500,0,0
2020-06-22 15:41:00+08:00,4.59,4.59,4.59,4.59,4500,0,0
2020-06-22 15:42:00+08:00,4.59,4.59,4.59,4.59,4500,0,0
2020-06-22 15:43:00+08:00,4.58,4.58,4.58,4.58,4000,0,0
2020-06-22 15:50:00+08:00,4.58,4.58,4.58,4.58,5000,0,0
2020-06-22 15:51:00+08:00,4.58,4.58,4.58,4.58,700,0,0
2020-06-22 15:52:00+08:00,4.58,4.58,4.58,4.58,200,0,0
2020-06-22 15:53:00+08:00,4.58,4.58,4.58,4.58,200,0,0
2020-06-22 15:54:00+08:00,4.58,4.58,4.58,4.58,200,0,0
2020-06-22 15:55:00+08:00,4.58,4.58,4.58,4.58,200,0,0
2020-06-22 15:56:00+08:00,4.58,4.58,4.58,4.58,9600,0,0
2020-06-22 15:57:00+08:00,4.58,4.58,4.58,4.58,100,0,0
2020-06-22 15:58:00+08:00,4.58,4.58,4.58,4.58,20300,0,0
2020-06-22 15:59:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:01:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:02:00+08:00,4.58,4.58,4.58,4.58,10700,0,0
2020-06-22 16:03:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:04:00+08:00,4.58,4.59,4.58,4.59,3400,0,0
2020-06-22 16:05:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:06:00+08:00,4.59,4.59,4.59,4.59,24200,0,0
2020-06-22 16:07:00+08:00,4.59,4.59,4.59,4.59,200,0,0
2020-06-22 16:08:00+08:00,4.59,4.59,4.59,4.59,200,0,0
2020-06-22 16:09:00+08:00,4.59,4.59,4.59,4.59,300,0,0
2020-06-22 16:10:00+08:00,4.6,4.6,4.6,4.6,24400,0,0
2020-06-22 16:11:00+08:00,4.6,4.6,4.6,4.6,116300,0,0
2020-06-22 16:13:00+08:00,4.59,4.59,4.59,4.59,100,0,0
2020-06-22 16:14:00+08:00,4.59,4.59,4.59,4.59,200,0,0
2020-06-22 16:15:00+08:00,4.59,4.59,4.59,4.59,11500,0,0
2020-06-22 16:17:00+08:00,4.59,4.59,4.58,4.59,17600,0,0
2020-06-22 16:18:00+08:00,4.58,4.58,4.58,4.58,400,0,0
2020-06-22 16:19:00+08:00,4.58,4.58,4.58,4.58,100,0,0
2020-06-22 16:20:00+08:00,4.58,4.58,4.58,4.58,400,0,0
2020-06-22 16:21:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:22:00+08:00,4.58,4.58,4.58,4.58,300,0,0
2020-06-22 16:23:00+08:00,4.58,4.58,4.58,4.58,400,0,0
2020-06-22 16:24:00+08:00,4.58,4.59,4.58,4.59,40500,0,0
2020-06-22 16:25:00+08:00,4.59,4.59,4.59,4.59,300,0,0
2020-06-22 16:26:00+08:00,4.59,4.59,4.59,4.59,400,0,0
2020-06-22 16:27:00+08:00,4.59,4.59,4.59,4.59,500,0,0
2020-06-22 16:29:00+08:00,4.59,4.59,4.59,4.59,400,0,0
2020-06-22 16:30:00+08:00,4.59,4.62,4.59,4.62,133700,0,0
2020-06-22 16:31:00+08:00,4.57,4.57,4.57,4.57,300,0,0
2020-06-22 16:32:00+08:00,4.57,4.57,4.57,4.57,100,0,0
2020-06-22 16:33:00+08:00,4.57,4.58,4.57,4.58,600,0,0
2020-06-22 16:34:00+08:00,4.57,4.57,4.57,4.57,100,0,0
2020-06-22 16:35:00+08:00,4.57,4.58,4.57,4.58,6400,0,0
2020-06-22 16:36:00+08:00,4.57,4.57,4.57,4.57,600,0,0
2020-06-22 16:37:00+08:00,4.57,4.57,4.57,4.57,500,0,0
2020-06-22 16:38:00+08:00,4.57,4.57,4.57,4.57,500,0,0
2020-06-22 16:39:00+08:00,4.57,4.58,4.57,4.58,400,0,0
2020-06-22 16:40:00+08:00,4.58,4.58,4.58,4.58,5400,0,0
2020-06-22 16:41:00+08:00,4.58,4.58,4.58,4.58,6000,0,0
2020-06-22 16:44:00+08:00,4.59,4.59,4.59,4.59,1000,0,0
2020-06-22 16:50:00+08:00,4.59,4.59,4.59,4.59,139900,0,0
