Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,1.08,1.08,1.08,1.08,0,0,0
2020-06-11 09:40:00+08:00,1.07,1.07,1.07,1.07,2000,0,0
2020-06-11 09:56:00+08:00,1.08,1.08,1.08,1.08,5600,0,0
2020-06-11 10:32:00+08:00,1.07,1.07,1.07,1.07,8000,0,0
2020-06-11 11:15:00+08:00,1.06,1.06,1.06,1.06,92000,0,0
2020-06-11 11:21:00+08:00,1.06,1.06,1.06,1.06,25000,0,0
2020-06-11 11:28:00+08:00,1.06,1.06,1.06,1.06,9300,0,0
2020-06-11 11:29:00+08:00,1.06,1.06,1.06,1.06,11700,0,0
2020-06-11 11:30:00+08:00,1.06,1.06,1.06,1.06,35000,0,0
2020-06-11 11:31:00+08:00,1.06,1.06,1.06,1.06,15000,0,0
2020-06-11 11:41:00+08:00,1.06,1.06,1.06,1.06,3500,0,0
2020-06-11 12:17:00+08:00,1.05,1.05,1.04,1.04,216000,0,0
2020-06-11 12:18:00+08:00,1.04,1.04,1.04,1.04,10000,0,0
2020-06-11 12:21:00+08:00,1.04,1.04,1.04,1.04,186000,0,0
2020-06-11 12:22:00+08:00,1.03,1.03,1.03,1.03,73300,0,0
2020-06-11 12:26:00+08:00,1.03,1.03,1.03,1.03,76400,0,0
2020-06-11 12:27:00+08:00,1.03,1.03,1.03,1.03,58000,0,0
2020-06-11 14:30:00+08:00,1.03,1.03,1.03,1.03,21300,0,0
2020-06-11 15:39:00+08:00,1.02,1.02,1.02,1.02,56000,0,0
2020-06-11 16:02:00+08:00,1.02,1.02,1.02,1.02,1900,0,0
2020-06-11 16:07:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-11 16:09:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-11 16:11:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-11 16:21:00+08:00,1.02,1.02,1.02,1.02,2500,0,0
2020-06-11 16:26:00+08:00,1.02,1.02,1.02,1.02,80000,0,0
2020-06-11 16:31:00+08:00,1.02,1.02,1.02,1.02,66500,0,0
2020-06-11 16:32:00+08:00,1.02,1.02,1.02,1.02,6000,0,0
2020-06-11 16:36:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-11 16:42:00+08:00,1.02,1.02,1.02,1.02,4000,0,0
2020-06-11 16:50:00+08:00,1.01,1.01,1.01,1.01,14000,0,0
2020-06-11 16:53:00+08:00,1.01,1.01,1.01,1.01,25000,0,0
2020-06-11 16:56:00+08:00,1.01,1.01,1.01,1.01,10000,0,0
2020-06-11 16:57:00+08:00,1.01,1.01,1.01,1.01,20000,0,0
2020-06-11 16:58:00+08:00,1.01,1.01,1.01,1.01,1443700,0,0
2020-06-11 16:59:00+08:00,1.01,1.01,1.01,1.01,20000,0,0
