Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:06:00+08:00,0.365,0.365,0.365,0.365,0,0,0
2020-06-10 09:08:00+08:00,0.365,0.365,0.365,0.365,10000,0,0
2020-06-10 09:09:00+08:00,0.365,0.365,0.365,0.365,10000,0,0
2020-06-10 09:10:00+08:00,0.365,0.365,0.365,0.365,5000,0,0
2020-06-10 09:11:00+08:00,0.365,0.365,0.365,0.365,5000,0,0
2020-06-10 09:15:00+08:00,0.365,0.365,0.365,0.365,200,0,0
2020-06-10 09:18:00+08:00,0.365,0.37,0.365,0.37,38000,0,0
2020-06-10 09:20:00+08:00,0.365,0.365,0.365,0.365,5000,0,0
2020-06-10 09:21:00+08:00,0.37,0.37,0.37,0.37,8000,0,0
2020-06-10 09:23:00+08:00,0.37,0.37,0.37,0.37,2000,0,0
2020-06-10 09:26:00+08:00,0.37,0.37,0.37,0.37,5000,0,0
2020-06-10 09:29:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
2020-06-10 09:37:00+08:00,0.375,0.375,0.375,0.375,20000,0,0
2020-06-10 09:39:00+08:00,0.375,0.375,0.375,0.375,2000,0,0
2020-06-10 09:50:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
2020-06-10 10:02:00+08:00,0.37,0.37,0.37,0.37,20000,0,0
2020-06-10 10:09:00+08:00,0.37,0.37,0.37,0.37,10000,0,0
2020-06-10 10:27:00+08:00,0.37,0.37,0.37,0.37,11000,0,0
2020-06-10 10:33:00+08:00,0.365,0.365,0.365,0.365,100,0,0
2020-06-10 10:49:00+08:00,0.365,0.365,0.365,0.365,1300,0,0
2020-06-10 10:53:00+08:00,0.365,0.365,0.365,0.365,27500,0,0
2020-06-10 10:56:00+08:00,0.365,0.365,0.365,0.365,5400,0,0
2020-06-10 11:01:00+08:00,0.365,0.365,0.365,0.365,20000,0,0
2020-06-10 11:17:00+08:00,0.365,0.365,0.365,0.365,10000,0,0
2020-06-10 11:20:00+08:00,0.37,0.37,0.37,0.37,1000,0,0
2020-06-10 11:21:00+08:00,0.375,0.375,0.375,0.375,28000,0,0
2020-06-10 11:26:00+08:00,0.375,0.375,0.375,0.375,5000,0,0
2020-06-10 11:32:00+08:00,0.375,0.375,0.375,0.375,30000,0,0
2020-06-10 11:35:00+08:00,0.375,0.375,0.375,0.375,26000,0,0
2020-06-10 11:46:00+08:00,0.375,0.375,0.375,0.375,8000,0,0
2020-06-10 11:47:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
2020-06-10 11:55:00+08:00,0.375,0.375,0.375,0.375,14000,0,0
2020-06-10 12:05:00+08:00,0.37,0.37,0.37,0.37,1000,0,0
2020-06-10 12:14:00+08:00,0.375,0.375,0.375,0.375,26000,0,0
2020-06-10 12:26:00+08:00,0.375,0.375,0.375,0.375,13000,0,0
2020-06-10 14:41:00+08:00,0.375,0.375,0.375,0.375,25000,0,0
2020-06-10 16:08:00+08:00,0.37,0.37,0.37,0.37,1500,0,0
2020-06-10 16:14:00+08:00,0.37,0.375,0.37,0.375,30000,0,0
2020-06-10 16:30:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
2020-06-10 16:33:00+08:00,0.375,0.375,0.375,0.375,8000,0,0
2020-06-10 16:50:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
2020-06-10 16:53:00+08:00,0.375,0.375,0.375,0.375,10000,0,0
