Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,2.86,2.86,2.84,2.85,0,0,0
2020-06-22 09:01:00+08:00,2.85,2.9,2.85,2.9,123800,0,0
2020-06-22 09:04:00+08:00,2.88,2.88,2.88,2.88,482100,0,0
2020-06-22 09:05:00+08:00,2.88,2.91,2.88,2.91,31600,0,0
2020-06-22 09:06:00+08:00,2.9,2.9,2.89,2.9,17400,0,0
2020-06-22 09:07:00+08:00,2.9,2.92,2.9,2.92,79600,0,0
2020-06-22 09:08:00+08:00,2.93,2.94,2.93,2.94,48400,0,0
2020-06-22 09:09:00+08:00,2.95,2.96,2.94,2.95,155300,0,0
2020-06-22 09:10:00+08:00,2.95,2.98,2.95,2.98,137800,0,0
2020-06-22 09:11:00+08:00,2.97,2.98,2.97,2.98,100800,0,0
2020-06-22 09:12:00+08:00,2.98,2.99,2.98,2.99,77600,0,0
2020-06-22 09:13:00+08:00,2.99,3.0,2.98,3.0,309800,0,0
2020-06-22 09:14:00+08:00,3.01,3.01,3.0,3.0,88800,0,0
2020-06-22 09:15:00+08:00,3.0,3.0,2.98,2.99,87500,0,0
2020-06-22 09:16:00+08:00,2.98,2.99,2.96,2.96,83900,0,0
2020-06-22 09:17:00+08:00,2.96,2.98,2.95,2.98,47900,0,0
2020-06-22 09:18:00+08:00,2.97,2.98,2.97,2.98,9500,0,0
2020-06-22 09:19:00+08:00,2.98,2.98,2.98,2.98,28000,0,0
2020-06-22 09:20:00+08:00,2.98,2.99,2.98,2.98,14600,0,0
2020-06-22 09:21:00+08:00,2.98,2.98,2.95,2.95,82800,0,0
2020-06-22 09:22:00+08:00,2.94,2.94,2.94,2.94,8500,0,0
2020-06-22 09:23:00+08:00,2.95,2.96,2.95,2.95,71900,0,0
2020-06-22 09:24:00+08:00,2.96,2.97,2.96,2.96,35600,0,0
2020-06-22 09:25:00+08:00,2.95,2.96,2.95,2.96,37700,0,0
