Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,1.85,1.85,1.85,1.85,0,0,0
2020-06-22 09:04:00+08:00,1.85,1.85,1.85,1.85,5000,0,0
2020-06-22 09:08:00+08:00,1.86,1.86,1.86,1.86,2000,0,0
2020-06-22 09:10:00+08:00,1.85,1.85,1.85,1.85,23000,0,0
2020-06-22 09:11:00+08:00,1.84,1.84,1.84,1.84,14000,0,0
2020-06-22 09:12:00+08:00,1.84,1.84,1.82,1.82,1200,0,0
2020-06-22 09:13:00+08:00,1.83,1.83,1.83,1.83,100,0,0
2020-06-22 09:15:00+08:00,1.84,1.84,1.84,1.84,4000,0,0
2020-06-22 09:16:00+08:00,1.84,1.84,1.84,1.84,4500,0,0
2020-06-22 09:17:00+08:00,1.84,1.84,1.84,1.84,100,0,0
2020-06-22 09:25:00+08:00,1.85,1.85,1.85,1.85,20000,0,0
2020-06-22 09:27:00+08:00,1.84,1.84,1.84,1.84,10000,0,0
2020-06-22 09:30:00+08:00,1.84,1.84,1.84,1.84,51900,0,0
2020-06-22 09:31:00+08:00,1.83,1.83,1.83,1.83,2000,0,0
2020-06-22 09:35:00+08:00,1.84,1.84,1.84,1.84,6000,0,0
2020-06-22 09:46:00+08:00,1.84,1.84,1.84,1.84,7000,0,0
2020-06-22 09:53:00+08:00,1.84,1.84,1.84,1.84,33200,0,0
2020-06-22 09:54:00+08:00,1.84,1.84,1.84,1.84,2500,0,0
2020-06-22 09:57:00+08:00,1.84,1.84,1.84,1.84,3300,0,0
2020-06-22 09:58:00+08:00,1.84,1.84,1.84,1.84,4700,0,0
2020-06-22 10:02:00+08:00,1.84,1.84,1.84,1.84,5000,0,0
2020-06-22 10:06:00+08:00,1.84,1.84,1.84,1.84,5000,0,0
2020-06-22 10:07:00+08:00,1.85,1.85,1.85,1.85,5900,0,0
2020-06-22 10:10:00+08:00,1.85,1.86,1.85,1.86,45700,0,0
2020-06-22 10:11:00+08:00,1.86,1.87,1.86,1.87,16600,0,0
2020-06-22 10:12:00+08:00,1.86,1.86,1.86,1.86,9900,0,0
2020-06-22 10:29:00+08:00,1.86,1.86,1.86,1.86,7100,0,0
2020-06-22 10:31:00+08:00,1.86,1.86,1.86,1.86,500,0,0
2020-06-22 10:40:00+08:00,1.85,1.85,1.85,1.85,5000,0,0
2020-06-22 10:41:00+08:00,1.85,1.85,1.85,1.85,4000,0,0
2020-06-22 10:44:00+08:00,1.86,1.86,1.85,1.85,2000,0,0
2020-06-22 10:45:00+08:00,1.86,1.86,1.86,1.86,5500,0,0
2020-06-22 10:47:00+08:00,1.87,1.87,1.87,1.87,10000,0,0
2020-06-22 10:50:00+08:00,1.86,1.86,1.86,1.86,1000,0,0
2020-06-22 10:54:00+08:00,1.86,1.86,1.86,1.86,4700,0,0
2020-06-22 10:56:00+08:00,1.86,1.86,1.86,1.86,200,0,0
2020-06-22 10:57:00+08:00,1.86,1.86,1.86,1.86,3300,0,0
2020-06-22 11:00:00+08:00,1.86,1.86,1.86,1.86,700,0,0
2020-06-22 11:01:00+08:00,1.87,1.87,1.87,1.87,23200,0,0
2020-06-22 11:02:00+08:00,1.87,1.87,1.87,1.87,6000,0,0
2020-06-22 11:04:00+08:00,1.87,1.88,1.87,1.88,27200,0,0
2020-06-22 11:05:00+08:00,1.88,1.88,1.88,1.88,6000,0,0
2020-06-22 11:06:00+08:00,1.88,1.88,1.88,1.88,5000,0,0
2020-06-22 11:07:00+08:00,1.88,1.88,1.88,1.88,3000,0,0
