Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,8.76,8.76,8.76,8.76,0,0,0
2020-06-15 09:04:00+08:00,8.76,8.76,8.76,8.76,0,0,0
2020-06-15 09:09:00+08:00,8.75,8.75,8.75,8.75,1700,0,0
2020-06-15 09:11:00+08:00,8.71,8.71,8.71,8.71,2100,0,0
2020-06-15 09:12:00+08:00,8.71,8.71,8.71,8.71,100,0,0
2020-06-15 09:13:00+08:00,8.7,8.7,8.7,8.7,1400,0,0
2020-06-15 09:15:00+08:00,8.68,8.68,8.67,8.67,1100,0,0
2020-06-15 09:24:00+08:00,8.67,8.67,8.67,8.67,400,0,0
2020-06-15 09:35:00+08:00,8.61,8.61,8.61,8.61,400,0,0
2020-06-15 09:57:00+08:00,8.67,8.67,8.67,8.67,100,0,0
2020-06-15 10:19:00+08:00,8.67,8.67,8.67,8.67,100,0,0
2020-06-15 10:48:00+08:00,8.67,8.67,8.67,8.67,100,0,0
2020-06-15 11:09:00+08:00,8.7,8.7,8.7,8.7,7100,0,0
2020-06-15 11:10:00+08:00,8.7,8.7,8.7,8.7,200,0,0
2020-06-15 11:21:00+08:00,8.69,8.69,8.69,8.69,100,0,0
2020-06-15 11:22:00+08:00,8.69,8.69,8.69,8.69,900,0,0
2020-06-15 11:23:00+08:00,8.69,8.69,8.69,8.69,200,0,0
2020-06-15 11:30:00+08:00,8.7,8.76,8.7,8.76,14100,0,0
2020-06-15 11:31:00+08:00,8.7,8.7,8.7,8.7,1200,0,0
2020-06-15 11:33:00+08:00,8.69,8.69,8.69,8.69,300,0,0
2020-06-15 11:34:00+08:00,8.69,8.69,8.69,8.69,700,0,0
2020-06-15 11:35:00+08:00,8.69,8.69,8.69,8.69,700,0,0
2020-06-15 11:36:00+08:00,8.69,8.7,8.69,8.7,6800,0,0
2020-06-15 11:40:00+08:00,8.69,8.69,8.69,8.69,0,0,0
2020-06-15 11:44:00+08:00,8.68,8.68,8.68,8.68,40800,0,0
2020-06-15 11:58:00+08:00,8.7,8.7,8.7,8.7,500,0,0
2020-06-15 12:01:00+08:00,8.69,8.69,8.69,8.69,1300,0,0
2020-06-15 12:11:00+08:00,8.69,8.69,8.68,8.68,7000,0,0
2020-06-15 12:13:00+08:00,8.7,8.7,8.7,8.7,1300,0,0
2020-06-15 12:20:00+08:00,8.69,8.69,8.69,8.69,1300,0,0
2020-06-15 12:21:00+08:00,8.69,8.69,8.69,8.69,1400,0,0
2020-06-15 12:29:00+08:00,8.69,8.69,8.69,8.69,1800,0,0
2020-06-15 14:30:00+08:00,8.69,8.69,8.68,8.68,10200,0,0
2020-06-15 14:31:00+08:00,8.63,8.63,8.62,8.62,2500,0,0
2020-06-15 14:33:00+08:00,8.62,8.62,8.6,8.6,3800,0,0
2020-06-15 14:34:00+08:00,8.55,8.55,8.55,8.55,2900,0,0
2020-06-15 14:35:00+08:00,8.52,8.52,8.52,8.52,1900,0,0
2020-06-15 14:36:00+08:00,8.52,8.52,8.52,8.52,2600,0,0
2020-06-15 14:37:00+08:00,8.5,8.5,8.5,8.5,200,0,0
2020-06-15 14:40:00+08:00,8.5,8.5,8.5,8.5,400,0,0
2020-06-15 14:41:00+08:00,8.5,8.5,8.5,8.5,1000,0,0
2020-06-15 14:42:00+08:00,8.45,8.49,8.45,8.49,1900,0,0
2020-06-15 14:46:00+08:00,8.49,8.49,8.49,8.49,600,0,0
