Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:20:00+08:00,0.25,0.25,0.25,0.25,0,0,0
2020-06-11 09:28:00+08:00,0.25,0.25,0.25,0.25,300000,0,0
2020-06-11 09:32:00+08:00,0.25,0.25,0.25,0.25,4000,0,0
2020-06-11 09:34:00+08:00,0.25,0.25,0.25,0.25,20000,0,0
2020-06-11 09:57:00+08:00,0.25,0.25,0.25,0.25,2000,0,0
2020-06-11 10:08:00+08:00,0.25,0.25,0.25,0.25,3800,0,0
2020-06-11 10:24:00+08:00,0.25,0.25,0.25,0.25,20000,0,0
2020-06-11 11:11:00+08:00,0.25,0.255,0.25,0.255,25500,0,0
2020-06-11 11:21:00+08:00,0.25,0.25,0.25,0.25,10700,0,0
2020-06-11 11:40:00+08:00,0.25,0.25,0.25,0.25,25000,0,0
2020-06-11 11:49:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-11 12:03:00+08:00,0.245,0.245,0.245,0.245,310000,0,0
2020-06-11 12:19:00+08:00,0.25,0.25,0.25,0.25,5000,0,0
2020-06-11 12:22:00+08:00,0.245,0.245,0.245,0.245,1000,0,0
2020-06-11 12:23:00+08:00,0.245,0.245,0.245,0.245,9000,0,0
2020-06-11 14:30:00+08:00,0.245,0.245,0.245,0.245,70000,0,0
2020-06-11 14:35:00+08:00,0.24,0.24,0.24,0.24,21700,0,0
2020-06-11 14:50:00+08:00,0.24,0.24,0.24,0.24,25000,0,0
2020-06-11 14:59:00+08:00,0.245,0.245,0.245,0.245,40000,0,0
2020-06-11 15:37:00+08:00,0.24,0.24,0.24,0.24,30000,0,0
2020-06-11 15:49:00+08:00,0.245,0.245,0.245,0.245,18800,0,0
2020-06-11 16:00:00+08:00,0.25,0.25,0.25,0.25,2000,0,0
2020-06-11 16:16:00+08:00,0.25,0.25,0.25,0.25,3000,0,0
2020-06-11 16:30:00+08:00,0.245,0.245,0.245,0.245,18000,0,0
2020-06-11 16:36:00+08:00,0.25,0.25,0.25,0.25,10000,0,0
2020-06-11 16:50:00+08:00,0.255,0.255,0.255,0.255,100000,0,0
2020-06-11 16:55:00+08:00,0.255,0.255,0.255,0.255,20000,0,0
