Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,0.465,0.465,0.465,0.465,0,0,0
2020-06-22 09:14:00+08:00,0.465,0.465,0.465,0.465,300,0,0
2020-06-22 09:31:00+08:00,0.46,0.46,0.46,0.46,40000,0,0
2020-06-22 10:22:00+08:00,0.46,0.46,0.46,0.46,5700,0,0
2020-06-22 10:43:00+08:00,0.465,0.465,0.465,0.465,100,0,0
2020-06-22 11:48:00+08:00,0.46,0.46,0.46,0.46,30000,0,0
2020-06-22 11:49:00+08:00,0.46,0.46,0.46,0.46,2000,0,0
2020-06-22 14:30:00+08:00,0.465,0.465,0.465,0.465,100,0,0
2020-06-22 14:50:00+08:00,0.46,0.46,0.46,0.46,20300,0,0
2020-06-22 15:04:00+08:00,0.46,0.46,0.46,0.46,2000,0,0
2020-06-22 15:55:00+08:00,0.455,0.455,0.455,0.455,2700,0,0
2020-06-22 16:24:00+08:00,0.455,0.455,0.455,0.455,10000,0,0
2020-06-22 16:28:00+08:00,0.455,0.455,0.455,0.455,9000,0,0
2020-06-22 16:39:00+08:00,0.455,0.455,0.455,0.455,9500,0,0
2020-06-22 16:50:00+08:00,0.46,0.46,0.46,0.46,100,0,0
2020-06-22 16:57:00+08:00,0.46,0.46,0.46,0.46,1000,0,0
