Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 10:31:00+08:00,0.82,0.82,0.82,0.82,0,0,0
2020-06-17 15:06:00+08:00,0.825,0.825,0.825,0.825,14000,0,0
2020-06-17 15:36:00+08:00,0.82,0.82,0.82,0.82,6000,0,0
2020-06-17 15:39:00+08:00,0.82,0.82,0.82,0.82,400,0,0
2020-06-17 15:42:00+08:00,0.82,0.82,0.82,0.82,200,0,0
2020-06-17 16:03:00+08:00,0.82,0.82,0.82,0.82,500,0,0
2020-06-17 16:10:00+08:00,0.825,0.825,0.825,0.825,1400,0,0
2020-06-17 16:12:00+08:00,0.82,0.82,0.82,0.82,3900,0,0
2020-06-17 16:13:00+08:00,0.82,0.82,0.82,0.82,5000,0,0
2020-06-17 16:51:00+08:00,0.82,0.82,0.82,0.82,8600,0,0
