Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:00:00+08:00,0.595,0.595,0.595,0.595,0,0,0
2020-06-22 09:10:00+08:00,0.59,0.59,0.59,0.59,20000,0,0
2020-06-22 09:13:00+08:00,0.59,0.59,0.59,0.59,30000,0,0
2020-06-22 09:20:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 09:31:00+08:00,0.585,0.585,0.585,0.585,1000,0,0
2020-06-22 09:32:00+08:00,0.585,0.585,0.585,0.585,9300,0,0
2020-06-22 09:33:00+08:00,0.585,0.585,0.585,0.585,10100,0,0
2020-06-22 09:34:00+08:00,0.585,0.585,0.585,0.585,11800,0,0
2020-06-22 09:36:00+08:00,0.585,0.585,0.585,0.585,10100,0,0
2020-06-22 09:38:00+08:00,0.585,0.585,0.585,0.585,16600,0,0
2020-06-22 09:39:00+08:00,0.585,0.585,0.585,0.585,3400,0,0
2020-06-22 09:40:00+08:00,0.585,0.585,0.585,0.585,4400,0,0
2020-06-22 09:55:00+08:00,0.585,0.585,0.585,0.585,5000,0,0
2020-06-22 10:44:00+08:00,0.585,0.585,0.585,0.585,6000,0,0
2020-06-22 10:59:00+08:00,0.59,0.59,0.59,0.59,900,0,0
2020-06-22 11:00:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 11:01:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 11:02:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 11:03:00+08:00,0.59,0.59,0.59,0.59,19000,0,0
2020-06-22 11:04:00+08:00,0.59,0.59,0.59,0.59,15000,0,0
2020-06-22 11:06:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 11:07:00+08:00,0.59,0.59,0.59,0.59,5000,0,0
2020-06-22 11:38:00+08:00,0.59,0.59,0.59,0.59,11100,0,0
2020-06-22 11:52:00+08:00,0.595,0.595,0.595,0.595,10000,0,0
2020-06-22 11:55:00+08:00,0.595,0.595,0.595,0.595,18000,0,0
2020-06-22 14:30:00+08:00,0.595,0.595,0.59,0.59,10100,0,0
2020-06-22 14:32:00+08:00,0.59,0.59,0.59,0.59,11300,0,0
2020-06-22 15:12:00+08:00,0.59,0.59,0.59,0.59,4800,0,0
2020-06-22 15:31:00+08:00,0.585,0.585,0.585,0.585,200,0,0
2020-06-22 15:58:00+08:00,0.59,0.59,0.59,0.59,9800,0,0
2020-06-22 16:13:00+08:00,0.59,0.59,0.59,0.59,10000,0,0
2020-06-22 16:28:00+08:00,0.59,0.59,0.59,0.59,6000,0,0
2020-06-22 16:44:00+08:00,0.585,0.585,0.585,0.585,3700,0,0
2020-06-22 16:50:00+08:00,0.585,0.585,0.585,0.585,5000,0,0
