Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:00:00+08:00,0.675,0.675,0.675,0.675,0,0,0
2020-06-10 09:02:00+08:00,0.675,0.675,0.675,0.675,0,0,0
2020-06-10 09:05:00+08:00,0.67,0.67,0.67,0.67,65000,0,0
2020-06-10 09:06:00+08:00,0.67,0.67,0.67,0.67,3000,0,0
2020-06-10 09:07:00+08:00,0.67,0.67,0.67,0.67,48500,0,0
2020-06-10 09:09:00+08:00,0.665,0.665,0.665,0.665,32000,0,0
2020-06-10 09:10:00+08:00,0.66,0.66,0.66,0.66,2000,0,0
2020-06-10 09:11:00+08:00,0.66,0.66,0.66,0.66,20000,0,0
2020-06-10 09:14:00+08:00,0.655,0.655,0.655,0.655,0,0,0
2020-06-10 09:15:00+08:00,0.65,0.65,0.65,0.65,321700,0,0
2020-06-10 09:16:00+08:00,0.65,0.65,0.65,0.65,12000,0,0
2020-06-10 09:17:00+08:00,0.65,0.65,0.65,0.65,13100,0,0
2020-06-10 09:18:00+08:00,0.65,0.65,0.65,0.65,10000,0,0
2020-06-10 09:20:00+08:00,0.65,0.65,0.65,0.65,2300,0,0
2020-06-10 09:21:00+08:00,0.655,0.655,0.655,0.655,14400,0,0
2020-06-10 09:23:00+08:00,0.655,0.655,0.655,0.655,6400,0,0
2020-06-10 09:28:00+08:00,0.655,0.655,0.655,0.655,3600,0,0
2020-06-10 09:33:00+08:00,0.655,0.655,0.655,0.655,5000,0,0
2020-06-10 09:37:00+08:00,0.655,0.66,0.655,0.66,10600,0,0
2020-06-10 09:39:00+08:00,0.66,0.66,0.66,0.66,3800,0,0
2020-06-10 09:40:00+08:00,0.66,0.66,0.66,0.66,900,0,0
2020-06-10 09:41:00+08:00,0.66,0.66,0.66,0.66,3600,0,0
2020-06-10 09:42:00+08:00,0.66,0.66,0.66,0.66,45000,0,0
2020-06-10 09:43:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-10 09:46:00+08:00,0.66,0.66,0.66,0.66,2000,0,0
2020-06-10 09:48:00+08:00,0.66,0.66,0.66,0.66,30000,0,0
2020-06-10 09:49:00+08:00,0.66,0.66,0.66,0.66,3500,0,0
2020-06-10 09:51:00+08:00,0.66,0.665,0.66,0.665,6700,0,0
2020-06-10 09:52:00+08:00,0.66,0.66,0.66,0.66,8000,0,0
2020-06-10 10:07:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-10 10:19:00+08:00,0.67,0.67,0.67,0.67,10000,0,0
2020-06-10 10:42:00+08:00,0.675,0.675,0.675,0.675,5300,0,0
2020-06-10 10:45:00+08:00,0.675,0.675,0.675,0.675,4700,0,0
2020-06-10 10:54:00+08:00,0.67,0.67,0.67,0.67,10000,0,0
2020-06-10 10:58:00+08:00,0.67,0.67,0.67,0.67,29200,0,0
2020-06-10 11:08:00+08:00,0.67,0.67,0.67,0.67,400,0,0
2020-06-10 11:10:00+08:00,0.67,0.67,0.67,0.67,400,0,0
2020-06-10 11:11:00+08:00,0.67,0.67,0.67,0.67,9700,0,0
2020-06-10 11:30:00+08:00,0.665,0.665,0.665,0.665,9000,0,0
2020-06-10 11:32:00+08:00,0.665,0.665,0.665,0.665,100,0,0
