Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 09:19:00+08:00,3.66,3.66,3.66,3.66,0,0,0
2020-06-22 09:29:00+08:00,3.67,3.67,3.67,3.67,2000,0,0
2020-06-22 09:30:00+08:00,3.62,3.62,3.62,3.62,5000,0,0
2020-06-22 09:31:00+08:00,3.63,3.63,3.63,3.63,1000,0,0
2020-06-22 09:45:00+08:00,3.63,3.63,3.63,3.63,2500,0,0
2020-06-22 09:50:00+08:00,3.63,3.63,3.63,3.63,1300,0,0
2020-06-22 09:56:00+08:00,3.62,3.62,3.62,3.62,3000,0,0
2020-06-22 09:58:00+08:00,3.62,3.62,3.62,3.62,1200,0,0
2020-06-22 10:13:00+08:00,3.62,3.62,3.62,3.62,3000,0,0
2020-06-22 10:14:00+08:00,3.62,3.62,3.62,3.62,1300,0,0
2020-06-22 11:07:00+08:00,3.63,3.63,3.63,3.63,5000,0,0
2020-06-22 11:14:00+08:00,3.64,3.64,3.64,3.64,900,0,0
2020-06-22 11:32:00+08:00,3.63,3.63,3.63,3.63,2700,0,0
2020-06-22 11:36:00+08:00,3.64,3.64,3.64,3.64,1000,0,0
2020-06-22 11:41:00+08:00,3.64,3.64,3.64,3.64,1100,0,0
2020-06-22 12:19:00+08:00,3.66,3.66,3.66,3.66,4000,0,0
2020-06-22 14:30:00+08:00,3.66,3.66,3.66,3.66,800,0,0
2020-06-22 14:32:00+08:00,3.65,3.65,3.65,3.65,600,0,0
2020-06-22 14:33:00+08:00,3.65,3.65,3.65,3.65,2000,0,0
2020-06-22 14:35:00+08:00,3.65,3.65,3.65,3.65,200,0,0
2020-06-22 14:43:00+08:00,3.65,3.65,3.65,3.65,1600,0,0
2020-06-22 14:46:00+08:00,3.65,3.65,3.65,3.65,2000,0,0
2020-06-22 14:50:00+08:00,3.65,3.65,3.65,3.65,900,0,0
2020-06-22 15:05:00+08:00,3.66,3.66,3.66,3.66,100,0,0
2020-06-22 15:09:00+08:00,3.66,3.66,3.66,3.66,200,0,0
2020-06-22 15:14:00+08:00,3.66,3.67,3.66,3.67,800,0,0
2020-06-22 15:17:00+08:00,3.67,3.67,3.67,3.67,100,0,0
2020-06-22 15:18:00+08:00,3.65,3.65,3.65,3.65,100,0,0
2020-06-22 15:24:00+08:00,3.66,3.66,3.66,3.66,100,0,0
2020-06-22 15:25:00+08:00,3.65,3.65,3.65,3.65,1000,0,0
2020-06-22 15:27:00+08:00,3.66,3.66,3.66,3.66,400,0,0
2020-06-22 15:30:00+08:00,3.66,3.66,3.66,3.66,2100,0,0
2020-06-22 15:32:00+08:00,3.66,3.66,3.66,3.66,800,0,0
2020-06-22 15:45:00+08:00,3.66,3.66,3.66,3.66,1000,0,0
2020-06-22 15:49:00+08:00,3.67,3.67,3.67,3.67,100,0,0
2020-06-22 15:52:00+08:00,3.67,3.67,3.67,3.67,5300,0,0
2020-06-22 16:07:00+08:00,3.69,3.69,3.69,3.69,5600,0,0
2020-06-22 16:08:00+08:00,3.72,3.72,3.72,3.72,100,0,0
2020-06-22 16:10:00+08:00,3.72,3.72,3.72,3.72,100,0,0
2020-06-22 16:12:00+08:00,3.72,3.72,3.72,3.72,500,0,0
2020-06-22 16:17:00+08:00,3.71,3.72,3.71,3.72,10200,0,0
2020-06-22 16:18:00+08:00,3.72,3.72,3.72,3.72,2500,0,0
2020-06-22 16:20:00+08:00,3.74,3.74,3.74,3.74,1400,0,0
2020-06-22 16:22:00+08:00,3.74,3.74,3.73,3.73,900,0,0
2020-06-22 16:23:00+08:00,3.73,3.74,3.71,3.71,5500,0,0
2020-06-22 16:24:00+08:00,3.72,3.72,3.72,3.72,2000,0,0
2020-06-22 16:25:00+08:00,3.71,3.71,3.69,3.69,4400,0,0
2020-06-22 16:32:00+08:00,3.71,3.73,3.71,3.73,300,0,0
2020-06-22 16:33:00+08:00,3.73,3.73,3.73,3.73,1800,0,0
2020-06-22 16:35:00+08:00,3.72,3.72,3.72,3.72,2600,0,0
2020-06-22 16:37:00+08:00,3.74,3.74,3.74,3.74,4600,0,0
2020-06-22 16:38:00+08:00,3.72,3.72,3.72,3.72,500,0,0
2020-06-22 16:39:00+08:00,3.74,3.74,3.74,3.74,2000,0,0
2020-06-22 16:42:00+08:00,3.73,3.73,3.7,3.7,2600,0,0
2020-06-22 16:43:00+08:00,3.71,3.72,3.7,3.7,2400,0,0
2020-06-22 16:44:00+08:00,3.69,3.69,3.67,3.67,1000,0,0
2020-06-22 16:50:00+08:00,3.67,3.67,3.67,3.67,1300,0,0
