Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:05:00+08:00,3.75,3.75,3.75,3.75,0,0,0
2020-06-11 09:08:00+08:00,3.75,3.75,3.75,3.75,400,0,0
2020-06-11 09:13:00+08:00,3.76,3.76,3.76,3.76,3000,0,0
2020-06-11 09:14:00+08:00,3.76,3.76,3.76,3.76,2800,0,0
2020-06-11 09:17:00+08:00,3.76,3.76,3.76,3.76,1300,0,0
2020-06-11 09:47:00+08:00,3.77,3.77,3.77,3.77,4100,0,0
2020-06-11 09:48:00+08:00,3.77,3.77,3.77,3.77,900,0,0
2020-06-11 09:49:00+08:00,3.78,3.78,3.78,3.78,1000,0,0
2020-06-11 09:51:00+08:00,3.79,3.81,3.79,3.81,6500,0,0
2020-06-11 09:58:00+08:00,3.84,3.84,3.84,3.84,500,0,0
2020-06-11 09:59:00+08:00,3.81,3.81,3.81,3.81,1000,0,0
2020-06-11 10:02:00+08:00,3.82,3.82,3.81,3.81,20000,0,0
2020-06-11 10:04:00+08:00,3.82,3.82,3.82,3.82,500,0,0
2020-06-11 10:11:00+08:00,3.82,3.82,3.8,3.8,7300,0,0
2020-06-11 10:12:00+08:00,3.8,3.8,3.8,3.8,4900,0,0
2020-06-11 10:13:00+08:00,3.8,3.8,3.8,3.8,2300,0,0
2020-06-11 10:14:00+08:00,3.8,3.8,3.8,3.8,3200,0,0
2020-06-11 10:26:00+08:00,3.8,3.8,3.8,3.8,1500,0,0
2020-06-11 10:52:00+08:00,3.78,3.78,3.78,3.78,500,0,0
2020-06-11 11:01:00+08:00,3.81,3.81,3.81,3.81,100,0,0
2020-06-11 11:14:00+08:00,3.81,3.81,3.81,3.81,2000,0,0
2020-06-11 11:23:00+08:00,3.79,3.79,3.77,3.77,19700,0,0
2020-06-11 11:51:00+08:00,3.77,3.77,3.76,3.76,36100,0,0
2020-06-11 11:52:00+08:00,3.76,3.76,3.75,3.75,6800,0,0
2020-06-11 11:55:00+08:00,3.75,3.75,3.75,3.75,2700,0,0
2020-06-11 11:59:00+08:00,3.75,3.75,3.75,3.75,4000,0,0
2020-06-11 12:02:00+08:00,3.75,3.75,3.75,3.75,300,0,0
2020-06-11 12:11:00+08:00,3.75,3.76,3.75,3.76,2100,0,0
2020-06-11 12:12:00+08:00,3.76,3.76,3.76,3.76,1400,0,0
2020-06-11 12:13:00+08:00,3.76,3.76,3.76,3.76,100,0,0
2020-06-11 12:17:00+08:00,3.76,3.76,3.76,3.76,400,0,0
2020-06-11 12:18:00+08:00,3.76,3.76,3.76,3.76,1400,0,0
2020-06-11 12:19:00+08:00,3.75,3.75,3.75,3.75,400,0,0
2020-06-11 12:20:00+08:00,3.75,3.75,3.75,3.75,200,0,0
2020-06-11 12:22:00+08:00,3.74,3.74,3.74,3.74,300,0,0
2020-06-11 12:25:00+08:00,3.75,3.75,3.75,3.75,2000,0,0
2020-06-11 14:30:00+08:00,3.75,3.75,3.75,3.75,1000,0,0
2020-06-11 14:31:00+08:00,3.75,3.75,3.75,3.75,3000,0,0
2020-06-11 14:34:00+08:00,3.75,3.75,3.75,3.75,100,0,0
2020-06-11 14:35:00+08:00,3.75,3.75,3.75,3.75,4900,0,0
2020-06-11 14:36:00+08:00,3.74,3.74,3.74,3.74,5100,0,0
2020-06-11 14:37:00+08:00,3.74,3.74,3.74,3.74,3500,0,0
2020-06-11 14:39:00+08:00,3.74,3.74,3.74,3.74,3000,0,0
2020-06-11 14:40:00+08:00,3.73,3.73,3.73,3.73,500,0,0
2020-06-11 14:42:00+08:00,3.73,3.73,3.73,3.73,5500,0,0
2020-06-11 14:43:00+08:00,3.73,3.73,3.72,3.72,2200,0,0
2020-06-11 14:47:00+08:00,3.72,3.72,3.72,3.72,500,0,0
