Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:05:00+08:00,0.47,0.47,0.445,0.445,0,0,0
2020-06-15 09:27:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 09:56:00+08:00,0.455,0.455,0.455,0.455,2000,0,0
2020-06-15 10:08:00+08:00,0.455,0.455,0.455,0.455,5200,0,0
2020-06-15 11:14:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 11:53:00+08:00,0.455,0.455,0.455,0.455,10000,0,0
2020-06-15 12:13:00+08:00,0.455,0.455,0.455,0.455,5900,0,0
2020-06-15 14:36:00+08:00,0.455,0.455,0.45,0.45,40000,0,0
2020-06-15 14:44:00+08:00,0.45,0.45,0.45,0.45,10800,0,0
2020-06-15 14:46:00+08:00,0.45,0.45,0.45,0.45,900,0,0
2020-06-15 14:47:00+08:00,0.45,0.45,0.45,0.45,8300,0,0
2020-06-15 14:48:00+08:00,0.465,0.465,0.465,0.465,700,0,0
2020-06-15 14:53:00+08:00,0.45,0.45,0.45,0.45,90000,0,0
2020-06-15 14:55:00+08:00,0.465,0.465,0.465,0.465,300,0,0
2020-06-15 15:00:00+08:00,0.45,0.45,0.45,0.45,2300,0,0
2020-06-15 15:04:00+08:00,0.455,0.455,0.455,0.455,10000,0,0
2020-06-15 15:12:00+08:00,0.45,0.45,0.45,0.45,4900,0,0
2020-06-15 15:22:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 15:27:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 15:33:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 15:38:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 15:40:00+08:00,0.455,0.455,0.455,0.455,5000,0,0
2020-06-15 16:01:00+08:00,0.465,0.465,0.465,0.465,500,0,0
2020-06-15 16:20:00+08:00,0.455,0.455,0.455,0.455,10000,0,0
2020-06-15 16:32:00+08:00,0.45,0.45,0.45,0.45,12000,0,0
2020-06-15 16:36:00+08:00,0.455,0.455,0.455,0.455,10000,0,0
2020-06-15 16:50:00+08:00,0.45,0.45,0.45,0.45,500,0,0
2020-06-15 16:55:00+08:00,0.45,0.45,0.45,0.45,3200,0,0
