Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-12 14:41:00+08:00,0.54,0.54,0.54,0.54,0,0,0
2020-06-12 14:43:00+08:00,0.54,0.54,0.54,0.54,5000,0,0
2020-06-12 14:45:00+08:00,0.535,0.535,0.535,0.535,5000,0,0
2020-06-12 14:46:00+08:00,0.53,0.53,0.53,0.53,5000,0,0
2020-06-12 15:34:00+08:00,0.58,0.58,0.58,0.58,2000,0,0
2020-06-12 16:17:00+08:00,0.58,0.595,0.58,0.595,4000,0,0
2020-06-12 16:25:00+08:00,0.595,0.595,0.595,0.595,4000,0,0
2020-06-12 16:26:00+08:00,0.595,0.595,0.595,0.595,4300,0,0
2020-06-12 16:27:00+08:00,0.6,0.6,0.6,0.6,700,0,0
2020-06-12 16:28:00+08:00,0.595,0.595,0.595,0.595,5000,0,0
2020-06-12 16:29:00+08:00,0.595,0.595,0.595,0.595,5000,0,0
2020-06-12 16:30:00+08:00,0.595,0.605,0.595,0.605,10000,0,0
2020-06-12 16:31:00+08:00,0.6,0.6,0.6,0.6,6000,0,0
2020-06-12 16:32:00+08:00,0.605,0.63,0.605,0.63,8000,0,0
