Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-16 09:14:00+08:00,0.35,0.35,0.35,0.35,0,0,0
2020-06-16 10:34:00+08:00,0.34,0.34,0.34,0.34,20000,0,0
2020-06-16 10:37:00+08:00,0.34,0.34,0.34,0.34,8500,0,0
2020-06-16 11:59:00+08:00,0.34,0.34,0.34,0.34,10000,0,0
2020-06-16 12:22:00+08:00,0.345,0.345,0.345,0.345,5000,0,0
2020-06-16 14:30:00+08:00,0.35,0.35,0.35,0.35,3300,0,0
2020-06-16 14:36:00+08:00,0.34,0.34,0.34,0.34,50000,0,0
2020-06-16 14:59:00+08:00,0.34,0.34,0.34,0.34,5000,0,0
2020-06-16 15:09:00+08:00,0.34,0.34,0.34,0.34,15700,0,0
2020-06-16 15:22:00+08:00,0.345,0.345,0.345,0.345,30000,0,0
2020-06-16 16:18:00+08:00,0.34,0.34,0.34,0.34,100,0,0
2020-06-16 16:50:00+08:00,0.345,0.345,0.345,0.345,100,0,0
