Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:03:00+08:00,0.35,0.35,0.35,0.35,0,0,0
2020-06-15 09:04:00+08:00,0.345,0.345,0.345,0.345,285000,0,0
2020-06-15 09:08:00+08:00,0.35,0.35,0.35,0.35,30000,0,0
2020-06-15 09:18:00+08:00,0.35,0.35,0.35,0.35,20000,0,0
2020-06-15 09:21:00+08:00,0.35,0.35,0.35,0.35,42000,0,0
2020-06-15 09:22:00+08:00,0.355,0.355,0.355,0.355,20000,0,0
2020-06-15 09:27:00+08:00,0.355,0.355,0.35,0.35,10000,0,0
2020-06-15 09:29:00+08:00,0.35,0.35,0.35,0.35,50000,0,0
2020-06-15 09:30:00+08:00,0.345,0.345,0.345,0.345,900,0,0
2020-06-15 09:37:00+08:00,0.36,0.365,0.36,0.365,65000,0,0
2020-06-15 09:38:00+08:00,0.37,0.37,0.37,0.37,60900,0,0
2020-06-15 09:39:00+08:00,0.375,0.375,0.375,0.375,25000,0,0
2020-06-15 09:40:00+08:00,0.38,0.385,0.38,0.385,50000,0,0
2020-06-15 09:50:00+08:00,0.39,0.39,0.39,0.39,36000,0,0
2020-06-15 09:52:00+08:00,0.395,0.395,0.395,0.395,30000,0,0
2020-06-15 09:57:00+08:00,0.39,0.39,0.39,0.39,36000,0,0
2020-06-15 10:01:00+08:00,0.39,0.39,0.39,0.39,4000,0,0
2020-06-15 10:03:00+08:00,0.39,0.39,0.39,0.39,6000,0,0
2020-06-15 10:10:00+08:00,0.36,0.36,0.36,0.36,1000,0,0
2020-06-15 10:15:00+08:00,0.36,0.36,0.36,0.36,10000,0,0
2020-06-15 10:23:00+08:00,0.36,0.36,0.36,0.36,10000,0,0
2020-06-15 10:24:00+08:00,0.36,0.36,0.36,0.36,4000,0,0
2020-06-15 10:41:00+08:00,0.36,0.36,0.36,0.36,5000,0,0
2020-06-15 10:54:00+08:00,0.36,0.36,0.36,0.36,25000,0,0
2020-06-15 10:56:00+08:00,0.365,0.365,0.365,0.365,15000,0,0
2020-06-15 11:16:00+08:00,0.365,0.365,0.365,0.365,15000,0,0
2020-06-15 11:24:00+08:00,0.37,0.37,0.37,0.37,5000,0,0
2020-06-15 11:29:00+08:00,0.37,0.37,0.37,0.37,18000,0,0
2020-06-15 11:31:00+08:00,0.37,0.37,0.37,0.37,7000,0,0
2020-06-15 11:38:00+08:00,0.37,0.37,0.365,0.365,38000,0,0
2020-06-15 11:51:00+08:00,0.365,0.365,0.365,0.365,5000,0,0
2020-06-15 11:59:00+08:00,0.37,0.37,0.37,0.37,2000,0,0
2020-06-15 12:12:00+08:00,0.37,0.375,0.37,0.375,40000,0,0
2020-06-15 14:30:00+08:00,0.37,0.37,0.37,0.37,55000,0,0
2020-06-15 14:32:00+08:00,0.365,0.365,0.365,0.365,35000,0,0
2020-06-15 14:35:00+08:00,0.365,0.365,0.36,0.36,165000,0,0
2020-06-15 14:36:00+08:00,0.36,0.36,0.36,0.36,20000,0,0
2020-06-15 14:38:00+08:00,0.36,0.36,0.36,0.36,15000,0,0
2020-06-15 14:49:00+08:00,0.365,0.365,0.365,0.365,27000,0,0
2020-06-15 15:00:00+08:00,0.37,0.37,0.37,0.37,20000,0,0
2020-06-15 15:01:00+08:00,0.37,0.37,0.37,0.37,30000,0,0
2020-06-15 15:04:00+08:00,0.37,0.37,0.37,0.37,202000,0,0
2020-06-15 15:09:00+08:00,0.37,0.37,0.37,0.37,50000,0,0
2020-06-15 15:10:00+08:00,0.37,0.37,0.37,0.37,25800,0,0
2020-06-15 15:12:00+08:00,0.37,0.37,0.37,0.37,6600,0,0
2020-06-15 15:14:00+08:00,0.37,0.37,0.37,0.37,19000,0,0
2020-06-15 15:24:00+08:00,0.37,0.37,0.37,0.37,48600,0,0
2020-06-15 15:27:00+08:00,0.365,0.365,0.365,0.365,20000,0,0
2020-06-15 15:54:00+08:00,0.365,0.365,0.365,0.365,10000,0,0
2020-06-15 15:55:00+08:00,0.365,0.365,0.365,0.365,15000,0,0
2020-06-15 16:19:00+08:00,0.37,0.37,0.37,0.37,87000,0,0
2020-06-15 16:30:00+08:00,0.37,0.375,0.37,0.375,100000,0,0
2020-06-15 16:36:00+08:00,0.37,0.37,0.37,0.37,13500,0,0
2020-06-15 16:42:00+08:00,0.37,0.37,0.37,0.37,16500,0,0
2020-06-15 16:43:00+08:00,0.375,0.375,0.375,0.375,8000,0,0
2020-06-15 16:50:00+08:00,0.36,0.36,0.36,0.36,164500,0,0
2020-06-15 16:51:00+08:00,0.36,0.36,0.36,0.36,30000,0,0
2020-06-15 16:53:00+08:00,0.36,0.36,0.36,0.36,5500,0,0
2020-06-15 16:58:00+08:00,0.36,0.36,0.36,0.36,50000,0,0
