Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 09:00:00+08:00,0.95,0.95,0.95,0.95,0,0,0
2020-06-10 09:02:00+08:00,0.95,0.95,0.95,0.95,0,0,0
2020-06-10 09:04:00+08:00,0.945,0.95,0.945,0.95,141500,0,0
2020-06-10 09:05:00+08:00,0.95,0.95,0.95,0.95,5000,0,0
2020-06-10 09:06:00+08:00,0.95,0.95,0.95,0.95,5000,0,0
2020-06-10 09:07:00+08:00,0.945,0.945,0.945,0.945,5000,0,0
2020-06-10 09:09:00+08:00,0.925,0.94,0.925,0.94,22000,0,0
2020-06-10 09:13:00+08:00,0.925,0.925,0.925,0.925,1000,0,0
2020-06-10 09:15:00+08:00,0.925,0.925,0.925,0.925,500,0,0
2020-06-10 09:16:00+08:00,0.915,0.915,0.915,0.915,21000,0,0
2020-06-10 09:17:00+08:00,0.915,0.915,0.915,0.915,10000,0,0
2020-06-10 09:18:00+08:00,0.91,0.91,0.91,0.91,3700,0,0
2020-06-10 09:19:00+08:00,0.91,0.91,0.91,0.91,18900,0,0
2020-06-10 09:20:00+08:00,0.92,0.94,0.92,0.94,2500,0,0
2020-06-10 09:21:00+08:00,0.94,0.945,0.94,0.945,700,0,0
2020-06-10 09:22:00+08:00,0.94,0.94,0.94,0.94,10000,0,0
2020-06-10 09:25:00+08:00,0.935,0.94,0.935,0.94,10000,0,0
2020-06-10 09:26:00+08:00,0.94,0.94,0.94,0.94,10000,0,0
2020-06-10 09:30:00+08:00,0.94,0.94,0.94,0.94,19400,0,0
2020-06-10 09:34:00+08:00,0.945,0.945,0.94,0.94,39000,0,0
2020-06-10 09:37:00+08:00,0.94,0.94,0.94,0.94,600,0,0
2020-06-10 09:38:00+08:00,0.945,0.945,0.945,0.945,33900,0,0
2020-06-10 09:39:00+08:00,0.945,0.945,0.945,0.945,10600,0,0
2020-06-10 09:40:00+08:00,0.94,0.945,0.94,0.945,30700,0,0
2020-06-10 09:44:00+08:00,0.94,0.94,0.94,0.94,600,0,0
2020-06-10 09:46:00+08:00,0.945,0.945,0.945,0.945,10000,0,0
2020-06-10 09:47:00+08:00,0.94,0.94,0.94,0.94,600,0,0
2020-06-10 09:49:00+08:00,0.94,0.94,0.94,0.94,22200,0,0
2020-06-10 09:55:00+08:00,0.935,0.935,0.935,0.935,600,0,0
