Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:36:00+08:00,0.195,0.195,0.195,0.195,0,0,0
2020-06-17 09:39:00+08:00,0.195,0.195,0.195,0.195,30000,0,0
2020-06-17 09:40:00+08:00,0.195,0.195,0.195,0.195,19000,0,0
2020-06-17 10:43:00+08:00,0.195,0.195,0.195,0.195,331000,0,0
2020-06-17 10:47:00+08:00,0.2,0.205,0.2,0.205,22000,0,0
2020-06-17 10:48:00+08:00,0.205,0.205,0.205,0.205,43700,0,0
2020-06-17 10:49:00+08:00,0.205,0.205,0.205,0.205,5000,0,0
2020-06-17 10:50:00+08:00,0.21,0.21,0.21,0.21,1000,0,0
2020-06-17 10:51:00+08:00,0.205,0.205,0.205,0.205,50000,0,0
2020-06-17 10:54:00+08:00,0.205,0.215,0.205,0.215,52500,0,0
2020-06-17 10:56:00+08:00,0.21,0.21,0.21,0.21,5000,0,0
2020-06-17 10:57:00+08:00,0.215,0.215,0.21,0.21,53000,0,0
2020-06-17 10:58:00+08:00,0.21,0.21,0.21,0.21,105000,0,0
2020-06-17 10:59:00+08:00,0.21,0.21,0.21,0.21,100000,0,0
2020-06-17 11:01:00+08:00,0.215,0.215,0.215,0.215,170000,0,0
2020-06-17 11:02:00+08:00,0.22,0.22,0.22,0.22,67000,0,0
2020-06-17 11:03:00+08:00,0.22,0.22,0.22,0.22,162000,0,0
2020-06-17 11:04:00+08:00,0.22,0.22,0.22,0.22,205000,0,0
2020-06-17 11:05:00+08:00,0.215,0.215,0.215,0.215,115000,0,0
2020-06-17 11:06:00+08:00,0.215,0.22,0.215,0.22,61500,0,0
2020-06-17 11:08:00+08:00,0.22,0.22,0.22,0.22,49000,0,0
2020-06-17 11:12:00+08:00,0.215,0.215,0.215,0.215,20000,0,0
2020-06-17 11:14:00+08:00,0.215,0.215,0.215,0.215,44000,0,0
2020-06-17 11:15:00+08:00,0.215,0.215,0.215,0.215,1000,0,0
2020-06-17 11:16:00+08:00,0.22,0.22,0.22,0.22,1800,0,0
2020-06-17 11:20:00+08:00,0.22,0.22,0.22,0.22,20000,0,0
2020-06-17 11:21:00+08:00,0.22,0.22,0.22,0.22,20000,0,0
2020-06-17 11:22:00+08:00,0.22,0.22,0.22,0.22,5800,0,0
2020-06-17 11:23:00+08:00,0.22,0.22,0.22,0.22,129700,0,0
2020-06-17 11:24:00+08:00,0.225,0.225,0.225,0.225,300,0,0
2020-06-17 11:26:00+08:00,0.225,0.225,0.225,0.225,83000,0,0
2020-06-17 11:27:00+08:00,0.225,0.225,0.225,0.225,25000,0,0
2020-06-17 11:28:00+08:00,0.225,0.225,0.225,0.225,32300,0,0
2020-06-17 11:30:00+08:00,0.225,0.225,0.225,0.225,14400,0,0
2020-06-17 11:31:00+08:00,0.23,0.23,0.225,0.225,30200,0,0
2020-06-17 11:32:00+08:00,0.23,0.23,0.225,0.225,45000,0,0
2020-06-17 11:33:00+08:00,0.225,0.225,0.225,0.225,8100,0,0
2020-06-17 11:37:00+08:00,0.22,0.225,0.22,0.225,50500,0,0
2020-06-17 11:44:00+08:00,0.22,0.22,0.22,0.22,145300,0,0
2020-06-17 11:52:00+08:00,0.22,0.22,0.22,0.22,27000,0,0
2020-06-17 11:53:00+08:00,0.22,0.22,0.22,0.22,10000,0,0
2020-06-17 11:56:00+08:00,0.22,0.22,0.22,0.22,8000,0,0
2020-06-17 11:58:00+08:00,0.22,0.22,0.22,0.22,20000,0,0
2020-06-17 12:01:00+08:00,0.215,0.215,0.215,0.215,95000,0,0
2020-06-17 12:02:00+08:00,0.215,0.215,0.215,0.215,5000,0,0
2020-06-17 12:06:00+08:00,0.22,0.22,0.22,0.22,100,0,0
2020-06-17 12:21:00+08:00,0.215,0.215,0.215,0.215,50200,0,0
2020-06-17 12:25:00+08:00,0.215,0.215,0.215,0.215,30000,0,0
2020-06-17 14:30:00+08:00,0.22,0.22,0.22,0.22,102000,0,0
2020-06-17 14:31:00+08:00,0.22,0.22,0.22,0.22,8000,0,0
2020-06-17 14:33:00+08:00,0.22,0.22,0.22,0.22,40400,0,0
2020-06-17 14:40:00+08:00,0.22,0.22,0.22,0.22,50000,0,0
2020-06-17 14:41:00+08:00,0.22,0.22,0.22,0.22,60600,0,0
2020-06-17 14:42:00+08:00,0.22,0.22,0.22,0.22,400,0,0
2020-06-17 14:50:00+08:00,0.22,0.22,0.22,0.22,3000,0,0
2020-06-17 14:59:00+08:00,0.215,0.215,0.215,0.215,104800,0,0
2020-06-17 15:00:00+08:00,0.215,0.215,0.215,0.215,20000,0,0
2020-06-17 15:03:00+08:00,0.215,0.215,0.215,0.215,20000,0,0
2020-06-17 15:04:00+08:00,0.215,0.215,0.215,0.215,5000,0,0
2020-06-17 15:14:00+08:00,0.21,0.21,0.21,0.21,39800,0,0
2020-06-17 15:15:00+08:00,0.21,0.21,0.21,0.21,7000,0,0
2020-06-17 15:26:00+08:00,0.21,0.21,0.21,0.21,1800,0,0
2020-06-17 15:40:00+08:00,0.21,0.21,0.21,0.21,48000,0,0
2020-06-17 15:50:00+08:00,0.21,0.21,0.21,0.21,2500,0,0
2020-06-17 15:53:00+08:00,0.21,0.21,0.21,0.21,23000,0,0
2020-06-17 15:54:00+08:00,0.21,0.21,0.21,0.21,20000,0,0
2020-06-17 15:56:00+08:00,0.21,0.21,0.21,0.21,25000,0,0
2020-06-17 16:01:00+08:00,0.21,0.21,0.21,0.21,16000,0,0
2020-06-17 16:03:00+08:00,0.21,0.21,0.21,0.21,200,0,0
2020-06-17 16:16:00+08:00,0.21,0.21,0.21,0.21,25000,0,0
2020-06-17 16:37:00+08:00,0.215,0.215,0.215,0.215,100,0,0
2020-06-17 16:42:00+08:00,0.21,0.21,0.21,0.21,15000,0,0
2020-06-17 16:50:00+08:00,0.215,0.215,0.215,0.215,44500,0,0
2020-06-17 16:59:00+08:00,0.215,0.215,0.215,0.215,20000,0,0
