Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,0.725,0.725,0.725,0.725,0,0,0
2020-06-11 09:01:00+08:00,0.73,0.73,0.73,0.73,157000,0,0
2020-06-11 09:02:00+08:00,0.73,0.73,0.73,0.73,10000,0,0
2020-06-11 09:04:00+08:00,0.73,0.73,0.725,0.725,152500,0,0
2020-06-11 09:05:00+08:00,0.725,0.73,0.725,0.725,27600,0,0
2020-06-11 09:06:00+08:00,0.73,0.73,0.725,0.725,47800,0,0
2020-06-11 09:07:00+08:00,0.725,0.73,0.725,0.725,207700,0,0
2020-06-11 09:08:00+08:00,0.725,0.725,0.725,0.725,25000,0,0
2020-06-11 09:09:00+08:00,0.725,0.725,0.725,0.725,24100,0,0
2020-06-11 09:10:00+08:00,0.725,0.725,0.725,0.725,126700,0,0
2020-06-11 09:12:00+08:00,0.725,0.725,0.725,0.725,9000,0,0
2020-06-11 09:13:00+08:00,0.725,0.725,0.725,0.725,40000,0,0
2020-06-11 09:14:00+08:00,0.725,0.725,0.725,0.725,71300,0,0
2020-06-11 09:15:00+08:00,0.725,0.725,0.725,0.725,65000,0,0
2020-06-11 09:16:00+08:00,0.72,0.725,0.72,0.725,30000,0,0
2020-06-11 09:18:00+08:00,0.725,0.725,0.725,0.725,13400,0,0
2020-06-11 09:19:00+08:00,0.725,0.725,0.725,0.725,20000,0,0
2020-06-11 09:20:00+08:00,0.725,0.725,0.725,0.725,168500,0,0
2020-06-11 09:21:00+08:00,0.725,0.725,0.725,0.725,45400,0,0
2020-06-11 09:22:00+08:00,0.725,0.725,0.725,0.725,26600,0,0
2020-06-11 09:23:00+08:00,0.725,0.725,0.725,0.725,12800,0,0
2020-06-11 09:24:00+08:00,0.725,0.725,0.725,0.725,200,0,0
2020-06-11 09:25:00+08:00,0.725,0.725,0.725,0.725,10000,0,0
2020-06-11 09:26:00+08:00,0.725,0.725,0.725,0.725,16000,0,0
2020-06-11 09:27:00+08:00,0.725,0.725,0.725,0.725,4200,0,0
2020-06-11 09:28:00+08:00,0.725,0.725,0.725,0.725,5000,0,0
2020-06-11 09:29:00+08:00,0.725,0.725,0.725,0.725,26000,0,0
2020-06-11 09:33:00+08:00,0.73,0.73,0.725,0.725,155000,0,0
2020-06-11 09:34:00+08:00,0.73,0.73,0.73,0.73,1000,0,0
2020-06-11 09:35:00+08:00,0.725,0.725,0.725,0.725,20000,0,0
2020-06-11 09:37:00+08:00,0.73,0.73,0.73,0.73,10000,0,0
2020-06-11 09:38:00+08:00,0.73,0.73,0.73,0.73,250700,0,0
2020-06-11 09:39:00+08:00,0.73,0.735,0.73,0.735,421700,0,0
2020-06-11 09:40:00+08:00,0.735,0.74,0.735,0.74,285900,0,0
2020-06-11 09:41:00+08:00,0.74,0.74,0.735,0.735,142500,0,0
2020-06-11 09:43:00+08:00,0.735,0.735,0.735,0.735,62000,0,0
2020-06-11 09:44:00+08:00,0.735,0.735,0.735,0.735,26000,0,0
2020-06-11 09:45:00+08:00,0.735,0.735,0.735,0.735,8000,0,0
2020-06-11 09:46:00+08:00,0.74,0.74,0.74,0.74,6000,0,0
2020-06-11 09:47:00+08:00,0.735,0.74,0.735,0.735,18000,0,0
2020-06-11 09:49:00+08:00,0.74,0.74,0.74,0.74,5000,0,0
2020-06-11 09:50:00+08:00,0.735,0.74,0.735,0.74,24000,0,0
2020-06-11 09:52:00+08:00,0.74,0.74,0.74,0.74,9000,0,0
2020-06-11 09:53:00+08:00,0.74,0.74,0.74,0.74,20000,0,0
2020-06-11 09:54:00+08:00,0.735,0.735,0.735,0.735,52000,0,0
2020-06-11 09:55:00+08:00,0.74,0.74,0.735,0.74,38800,0,0
2020-06-11 09:56:00+08:00,0.74,0.74,0.735,0.735,149000,0,0
2020-06-11 09:57:00+08:00,0.735,0.735,0.735,0.735,5000,0,0
2020-06-11 09:58:00+08:00,0.735,0.735,0.735,0.735,3000,0,0
2020-06-11 10:01:00+08:00,0.735,0.735,0.735,0.735,54000,0,0
2020-06-11 10:02:00+08:00,0.735,0.735,0.735,0.735,10000,0,0
2020-06-11 10:03:00+08:00,0.735,0.735,0.735,0.735,432400,0,0
2020-06-11 10:04:00+08:00,0.73,0.73,0.73,0.73,104500,0,0
2020-06-11 10:06:00+08:00,0.73,0.73,0.73,0.73,5000,0,0
2020-06-11 10:07:00+08:00,0.73,0.73,0.73,0.73,20000,0,0
2020-06-11 10:09:00+08:00,0.725,0.73,0.725,0.725,359200,0,0
2020-06-11 10:10:00+08:00,0.725,0.725,0.725,0.725,106500,0,0
2020-06-11 10:11:00+08:00,0.73,0.73,0.73,0.73,200,0,0
2020-06-11 10:12:00+08:00,0.725,0.725,0.725,0.725,19000,0,0
2020-06-11 10:13:00+08:00,0.725,0.725,0.725,0.725,69400,0,0
2020-06-11 10:15:00+08:00,0.725,0.725,0.725,0.725,30000,0,0
2020-06-11 10:17:00+08:00,0.725,0.725,0.725,0.725,28000,0,0
2020-06-11 10:18:00+08:00,0.725,0.725,0.725,0.725,74100,0,0
2020-06-11 10:19:00+08:00,0.725,0.725,0.725,0.725,13600,0,0
2020-06-11 10:21:00+08:00,0.725,0.725,0.725,0.725,41700,0,0
2020-06-11 10:26:00+08:00,0.725,0.725,0.725,0.725,10000,0,0
2020-06-11 10:27:00+08:00,0.725,0.725,0.725,0.725,50000,0,0
2020-06-11 10:32:00+08:00,0.725,0.725,0.725,0.725,5000,0,0
2020-06-11 10:36:00+08:00,0.725,0.725,0.725,0.725,30000,0,0
2020-06-11 10:38:00+08:00,0.725,0.725,0.725,0.725,7000,0,0
2020-06-11 10:40:00+08:00,0.725,0.725,0.725,0.725,5000,0,0
2020-06-11 10:41:00+08:00,0.725,0.725,0.725,0.725,12000,0,0
2020-06-11 10:42:00+08:00,0.725,0.725,0.725,0.725,1000,0,0
2020-06-11 10:43:00+08:00,0.725,0.725,0.725,0.725,50000,0,0
2020-06-11 10:44:00+08:00,0.725,0.725,0.725,0.725,7700,0,0
2020-06-11 10:46:00+08:00,0.725,0.725,0.725,0.725,23500,0,0
2020-06-11 10:48:00+08:00,0.725,0.725,0.725,0.725,15000,0,0
2020-06-11 10:49:00+08:00,0.725,0.725,0.725,0.725,5000,0,0
2020-06-11 10:51:00+08:00,0.725,0.725,0.725,0.725,65000,0,0
2020-06-11 10:53:00+08:00,0.725,0.725,0.725,0.725,20000,0,0
2020-06-11 10:58:00+08:00,0.725,0.725,0.725,0.725,25000,0,0
2020-06-11 11:00:00+08:00,0.73,0.73,0.73,0.73,11400,0,0
2020-06-11 11:07:00+08:00,0.725,0.725,0.725,0.725,115000,0,0
2020-06-11 11:08:00+08:00,0.725,0.725,0.725,0.725,127800,0,0
