Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:21:00+08:00,0.06,0.06,0.06,0.06,0,0,0
2020-06-11 10:17:00+08:00,0.06,0.06,0.06,0.06,90000,0,0
2020-06-11 10:25:00+08:00,0.06,0.06,0.06,0.06,200000,0,0
2020-06-11 10:26:00+08:00,0.06,0.06,0.06,0.06,45100,0,0
2020-06-11 10:38:00+08:00,0.06,0.06,0.06,0.06,59900,0,0
2020-06-11 11:12:00+08:00,0.06,0.06,0.06,0.06,100000,0,0
2020-06-11 11:46:00+08:00,0.06,0.06,0.06,0.06,48300,0,0
2020-06-11 12:27:00+08:00,0.06,0.06,0.06,0.06,100000,0,0
2020-06-11 15:50:00+08:00,0.055,0.055,0.055,0.055,50000,0,0
2020-06-11 15:51:00+08:00,0.055,0.055,0.055,0.055,150000,0,0
