Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-16 09:00:00+08:00,2.53,2.54,2.53,2.54,0,0,0
2020-06-16 09:01:00+08:00,2.54,2.54,2.53,2.53,13900,0,0
2020-06-16 09:03:00+08:00,2.52,2.52,2.52,2.52,26200,0,0
2020-06-16 09:04:00+08:00,2.51,2.51,2.5,2.51,35600,0,0
2020-06-16 09:05:00+08:00,2.51,2.51,2.51,2.51,8100,0,0
2020-06-16 09:06:00+08:00,2.51,2.52,2.51,2.52,36100,0,0
2020-06-16 09:07:00+08:00,2.52,2.53,2.52,2.53,15700,0,0
2020-06-16 09:08:00+08:00,2.53,2.53,2.52,2.52,22900,0,0
2020-06-16 09:09:00+08:00,2.52,2.52,2.52,2.52,5900,0,0
2020-06-16 09:10:00+08:00,2.52,2.52,2.52,2.52,300,0,0
2020-06-16 09:11:00+08:00,2.52,2.52,2.52,2.52,400,0,0
2020-06-16 09:12:00+08:00,2.52,2.52,2.52,2.52,7000,0,0
2020-06-16 09:13:00+08:00,2.51,2.51,2.51,2.51,19800,0,0
2020-06-16 09:14:00+08:00,2.52,2.52,2.51,2.52,12500,0,0
2020-06-16 09:15:00+08:00,2.52,2.52,2.51,2.51,25300,0,0
2020-06-16 09:16:00+08:00,2.51,2.52,2.51,2.52,9100,0,0
2020-06-16 09:17:00+08:00,2.52,2.53,2.52,2.53,40600,0,0
2020-06-16 09:18:00+08:00,2.53,2.53,2.53,2.53,6000,0,0
2020-06-16 09:19:00+08:00,2.54,2.55,2.54,2.54,82900,0,0
2020-06-16 09:20:00+08:00,2.54,2.54,2.53,2.54,16900,0,0
2020-06-16 09:21:00+08:00,2.54,2.54,2.52,2.54,36400,0,0
2020-06-16 09:23:00+08:00,2.53,2.54,2.53,2.54,12600,0,0
2020-06-16 09:24:00+08:00,2.54,2.54,2.53,2.53,19300,0,0
2020-06-16 09:25:00+08:00,2.53,2.53,2.52,2.52,20700,0,0
2020-06-16 09:26:00+08:00,2.52,2.53,2.52,2.52,49500,0,0
2020-06-16 09:27:00+08:00,2.53,2.53,2.52,2.52,14500,0,0
2020-06-16 09:29:00+08:00,2.52,2.52,2.52,2.52,20400,0,0
2020-06-16 09:30:00+08:00,2.53,2.53,2.52,2.52,9600,0,0
2020-06-16 09:31:00+08:00,2.53,2.53,2.53,2.53,8500,0,0
2020-06-16 09:32:00+08:00,2.53,2.53,2.53,2.53,18000,0,0
2020-06-16 09:33:00+08:00,2.53,2.53,2.53,2.53,9900,0,0
2020-06-16 09:34:00+08:00,2.53,2.53,2.53,2.53,7600,0,0
2020-06-16 09:35:00+08:00,2.53,2.53,2.53,2.53,4800,0,0
2020-06-16 09:36:00+08:00,2.53,2.53,2.53,2.53,1000,0,0
2020-06-16 09:37:00+08:00,2.53,2.53,2.53,2.53,4900,0,0
2020-06-16 09:39:00+08:00,2.52,2.53,2.52,2.52,34500,0,0
2020-06-16 09:40:00+08:00,2.52,2.52,2.52,2.52,2000,0,0
2020-06-16 09:42:00+08:00,2.52,2.52,2.52,2.52,2000,0,0
2020-06-16 09:43:00+08:00,2.52,2.52,2.52,2.52,8000,0,0
2020-06-16 09:44:00+08:00,2.52,2.53,2.51,2.53,31000,0,0
