Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,0.125,0.125,0.125,0.125,0,0,0
2020-06-15 11:51:00+08:00,0.14,0.14,0.14,0.14,50000,0,0
2020-06-15 12:01:00+08:00,0.14,0.14,0.14,0.14,10000,0,0
2020-06-15 14:30:00+08:00,0.14,0.14,0.14,0.14,5000,0,0
2020-06-15 15:21:00+08:00,0.135,0.135,0.135,0.135,110000,0,0
2020-06-15 15:51:00+08:00,0.13,0.13,0.13,0.13,12200,0,0
2020-06-15 16:17:00+08:00,0.13,0.13,0.13,0.13,20000,0,0
2020-06-15 16:18:00+08:00,0.13,0.13,0.13,0.13,27200,0,0
2020-06-15 16:19:00+08:00,0.13,0.13,0.13,0.13,20000,0,0
2020-06-15 16:22:00+08:00,0.13,0.13,0.13,0.13,288900,0,0
