Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,1.95,1.95,1.95,1.95,0,0,0
2020-06-15 09:14:00+08:00,1.95,1.95,1.95,1.95,20200,0,0
2020-06-15 09:27:00+08:00,1.94,1.94,1.94,1.94,1000,0,0
2020-06-15 09:29:00+08:00,1.94,1.94,1.94,1.94,3600,0,0
2020-06-15 09:31:00+08:00,1.93,1.93,1.93,1.93,3500,0,0
2020-06-15 09:41:00+08:00,1.93,1.93,1.93,1.93,2000,0,0
2020-06-15 09:43:00+08:00,1.93,1.93,1.93,1.93,3300,0,0
2020-06-15 09:44:00+08:00,1.94,1.94,1.94,1.94,16100,0,0
2020-06-15 09:50:00+08:00,1.94,1.94,1.94,1.94,800,0,0
2020-06-15 09:52:00+08:00,1.94,1.94,1.94,1.94,1200,0,0
2020-06-15 09:56:00+08:00,1.94,1.94,1.94,1.94,3000,0,0
2020-06-15 10:05:00+08:00,1.93,1.93,1.93,1.93,1800,0,0
2020-06-15 10:09:00+08:00,1.93,1.93,1.93,1.93,5300,0,0
2020-06-15 10:15:00+08:00,1.94,1.94,1.94,1.94,100,0,0
2020-06-15 10:16:00+08:00,1.93,1.93,1.93,1.93,200,0,0
2020-06-15 10:22:00+08:00,1.93,1.93,1.91,1.91,22700,0,0
2020-06-15 10:23:00+08:00,1.91,1.91,1.91,1.91,800,0,0
2020-06-15 10:47:00+08:00,1.91,1.91,1.91,1.91,2000,0,0
2020-06-15 10:49:00+08:00,1.91,1.91,1.91,1.91,4400,0,0
2020-06-15 10:59:00+08:00,1.92,1.92,1.92,1.92,5000,0,0
2020-06-15 11:05:00+08:00,1.91,1.92,1.91,1.92,4400,0,0
2020-06-15 11:06:00+08:00,1.92,1.92,1.92,1.92,400,0,0
2020-06-15 11:09:00+08:00,1.91,1.91,1.91,1.91,15400,0,0
2020-06-15 11:10:00+08:00,1.91,1.91,1.91,1.91,2000,0,0
2020-06-15 11:11:00+08:00,1.9,1.9,1.9,1.9,12100,0,0
2020-06-15 11:22:00+08:00,1.9,1.9,1.9,1.9,100,0,0
2020-06-15 11:27:00+08:00,1.9,1.9,1.9,1.9,2200,0,0
2020-06-15 11:29:00+08:00,1.89,1.89,1.89,1.89,6000,0,0
2020-06-15 11:31:00+08:00,1.89,1.89,1.89,1.89,5100,0,0
2020-06-15 11:36:00+08:00,1.89,1.89,1.89,1.89,5000,0,0
2020-06-15 11:38:00+08:00,1.89,1.89,1.89,1.89,2300,0,0
2020-06-15 11:40:00+08:00,1.89,1.89,1.89,1.89,7000,0,0
2020-06-15 11:49:00+08:00,1.88,1.88,1.88,1.88,10000,0,0
2020-06-15 11:53:00+08:00,1.89,1.89,1.89,1.89,1500,0,0
2020-06-15 11:59:00+08:00,1.89,1.89,1.89,1.89,1600,0,0
2020-06-15 12:00:00+08:00,1.89,1.89,1.89,1.89,3400,0,0
2020-06-15 12:24:00+08:00,1.88,1.88,1.88,1.88,4200,0,0
2020-06-15 12:25:00+08:00,1.88,1.88,1.88,1.88,1400,0,0
2020-06-15 12:26:00+08:00,1.88,1.88,1.88,1.88,900,0,0
2020-06-15 12:29:00+08:00,1.89,1.9,1.89,1.9,19900,0,0
2020-06-15 14:30:00+08:00,1.88,1.88,1.88,1.88,15600,0,0
2020-06-15 14:33:00+08:00,1.87,1.87,1.87,1.87,8700,0,0
2020-06-15 14:35:00+08:00,1.87,1.87,1.87,1.87,1900,0,0
2020-06-15 14:36:00+08:00,1.88,1.88,1.88,1.88,5400,0,0
2020-06-15 14:37:00+08:00,1.87,1.87,1.87,1.87,9700,0,0
2020-06-15 14:38:00+08:00,1.88,1.88,1.88,1.88,10000,0,0
2020-06-15 14:41:00+08:00,1.88,1.88,1.88,1.88,2000,0,0
2020-06-15 14:43:00+08:00,1.88,1.88,1.88,1.88,36000,0,0
2020-06-15 14:49:00+08:00,1.88,1.88,1.87,1.87,15000,0,0
2020-06-15 14:53:00+08:00,1.89,1.89,1.89,1.89,7400,0,0
2020-06-15 15:03:00+08:00,1.89,1.89,1.89,1.89,22500,0,0
2020-06-15 15:11:00+08:00,1.9,1.9,1.9,1.9,34500,0,0
2020-06-15 15:15:00+08:00,1.91,1.91,1.91,1.91,15500,0,0
2020-06-15 15:19:00+08:00,1.9,1.9,1.9,1.9,900,0,0
2020-06-15 15:24:00+08:00,1.9,1.9,1.9,1.9,11000,0,0
2020-06-15 15:31:00+08:00,1.9,1.9,1.9,1.9,100,0,0
2020-06-15 15:47:00+08:00,1.9,1.9,1.9,1.9,1000,0,0
2020-06-15 15:48:00+08:00,1.9,1.9,1.9,1.9,1000,0,0
2020-06-15 15:49:00+08:00,1.9,1.9,1.9,1.9,25000,0,0
2020-06-15 15:51:00+08:00,1.9,1.9,1.9,1.9,2300,0,0
2020-06-15 15:52:00+08:00,1.9,1.9,1.9,1.9,17700,0,0
2020-06-15 16:00:00+08:00,1.91,1.91,1.91,1.91,4700,0,0
2020-06-15 16:01:00+08:00,1.91,1.91,1.91,1.91,15000,0,0
2020-06-15 16:04:00+08:00,1.91,1.91,1.91,1.91,15000,0,0
2020-06-15 16:06:00+08:00,1.91,1.91,1.91,1.91,5000,0,0
2020-06-15 16:09:00+08:00,1.91,1.91,1.91,1.91,3400,0,0
2020-06-15 16:11:00+08:00,1.91,1.91,1.91,1.91,2600,0,0
2020-06-15 16:12:00+08:00,1.91,1.91,1.91,1.91,2000,0,0
2020-06-15 16:16:00+08:00,1.91,1.91,1.91,1.91,7000,0,0
2020-06-15 16:17:00+08:00,1.91,1.91,1.91,1.91,5000,0,0
2020-06-15 16:18:00+08:00,1.91,1.91,1.91,1.91,300,0,0
2020-06-15 16:19:00+08:00,1.9,1.9,1.9,1.9,3100,0,0
