Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 09:00:00+08:00,1.04,1.04,1.04,1.04,0,0,0
2020-06-17 09:02:00+08:00,1.05,1.05,1.05,1.05,43500,0,0
2020-06-17 09:03:00+08:00,1.05,1.05,1.05,1.05,1200,0,0
2020-06-17 09:04:00+08:00,1.05,1.05,1.05,1.05,14000,0,0
2020-06-17 09:05:00+08:00,1.05,1.05,1.05,1.05,2800,0,0
2020-06-17 09:07:00+08:00,1.05,1.05,1.05,1.05,7000,0,0
2020-06-17 09:09:00+08:00,1.05,1.05,1.05,1.05,6500,0,0
2020-06-17 09:10:00+08:00,1.05,1.05,1.05,1.05,7600,0,0
2020-06-17 09:11:00+08:00,1.05,1.05,1.05,1.05,20000,0,0
2020-06-17 09:13:00+08:00,1.05,1.05,1.04,1.04,39900,0,0
2020-06-17 09:15:00+08:00,1.04,1.04,1.04,1.04,10000,0,0
2020-06-17 09:22:00+08:00,1.04,1.04,1.04,1.04,15000,0,0
2020-06-17 09:23:00+08:00,1.04,1.04,1.04,1.04,15500,0,0
2020-06-17 09:26:00+08:00,1.04,1.04,1.04,1.04,25500,0,0
2020-06-17 09:27:00+08:00,1.04,1.04,1.04,1.04,3000,0,0
2020-06-17 09:33:00+08:00,1.03,1.03,1.03,1.03,1000,0,0
2020-06-17 09:34:00+08:00,1.03,1.03,1.03,1.03,4000,0,0
2020-06-17 09:36:00+08:00,1.03,1.03,1.03,1.03,4000,0,0
2020-06-17 09:37:00+08:00,1.03,1.03,1.03,1.03,4000,0,0
2020-06-17 09:42:00+08:00,1.02,1.02,1.02,1.02,12500,0,0
2020-06-17 09:45:00+08:00,1.02,1.02,1.02,1.02,5000,0,0
2020-06-17 09:58:00+08:00,1.02,1.02,1.02,1.02,7000,0,0
2020-06-17 10:00:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-17 10:01:00+08:00,1.02,1.02,1.02,1.02,3000,0,0
2020-06-17 10:05:00+08:00,1.03,1.03,1.03,1.03,10000,0,0
2020-06-17 10:12:00+08:00,1.03,1.03,1.03,1.03,6000,0,0
2020-06-17 10:18:00+08:00,1.03,1.03,1.03,1.03,9000,0,0
2020-06-17 10:32:00+08:00,1.02,1.02,1.02,1.02,1000,0,0
2020-06-17 10:41:00+08:00,1.02,1.02,1.02,1.02,10000,0,0
2020-06-17 10:44:00+08:00,1.02,1.02,1.02,1.02,50000,0,0
2020-06-17 10:48:00+08:00,1.02,1.02,1.02,1.02,7000,0,0
2020-06-17 10:49:00+08:00,1.02,1.02,1.02,1.02,2000,0,0
2020-06-17 10:55:00+08:00,1.02,1.02,1.02,1.02,23000,0,0
2020-06-17 11:03:00+08:00,1.02,1.02,1.02,1.02,7000,0,0
2020-06-17 11:12:00+08:00,1.02,1.02,1.02,1.02,4000,0,0
2020-06-17 11:20:00+08:00,1.03,1.03,1.03,1.03,10000,0,0
2020-06-17 11:21:00+08:00,1.03,1.03,1.03,1.03,7000,0,0
2020-06-17 11:23:00+08:00,1.03,1.03,1.03,1.03,13000,0,0
2020-06-17 11:35:00+08:00,1.03,1.03,1.03,1.03,7000,0,0
2020-06-17 11:38:00+08:00,1.03,1.03,1.03,1.03,5000,0,0
2020-06-17 11:49:00+08:00,1.04,1.04,1.04,1.04,20000,0,0
2020-06-17 11:50:00+08:00,1.04,1.04,1.04,1.04,12000,0,0
2020-06-17 11:52:00+08:00,1.04,1.04,1.04,1.04,39000,0,0
2020-06-17 11:55:00+08:00,1.04,1.04,1.04,1.04,5000,0,0
2020-06-17 11:57:00+08:00,1.05,1.05,1.05,1.05,30000,0,0
2020-06-17 11:59:00+08:00,1.05,1.05,1.05,1.05,3000,0,0
2020-06-17 12:12:00+08:00,1.04,1.05,1.04,1.04,20200,0,0
2020-06-17 12:15:00+08:00,1.05,1.05,1.05,1.05,10000,0,0
2020-06-17 12:17:00+08:00,1.05,1.05,1.05,1.05,7300,0,0
2020-06-17 12:18:00+08:00,1.06,1.06,1.06,1.06,200,0,0
2020-06-17 12:21:00+08:00,1.06,1.06,1.06,1.06,68600,0,0
2020-06-17 12:22:00+08:00,1.07,1.07,1.07,1.07,130000,0,0
2020-06-17 12:23:00+08:00,1.07,1.07,1.07,1.07,25000,0,0
2020-06-17 12:24:00+08:00,1.07,1.08,1.07,1.08,47000,0,0
2020-06-17 12:25:00+08:00,1.08,1.1,1.08,1.1,330500,0,0
2020-06-17 12:26:00+08:00,1.1,1.1,1.09,1.1,141000,0,0
2020-06-17 12:27:00+08:00,1.09,1.09,1.09,1.09,34500,0,0
2020-06-17 12:29:00+08:00,1.09,1.09,1.09,1.09,54500,0,0
2020-06-17 14:30:00+08:00,1.09,1.09,1.08,1.08,107000,0,0
2020-06-17 14:31:00+08:00,1.08,1.08,1.08,1.08,12000,0,0
2020-06-17 14:32:00+08:00,1.08,1.08,1.08,1.08,13400,0,0
2020-06-17 14:34:00+08:00,1.07,1.07,1.07,1.07,1100,0,0
2020-06-17 14:35:00+08:00,1.08,1.08,1.08,1.08,4600,0,0
2020-06-17 14:36:00+08:00,1.08,1.08,1.08,1.08,6000,0,0
2020-06-17 14:37:00+08:00,1.08,1.08,1.08,1.08,25000,0,0
2020-06-17 14:38:00+08:00,1.08,1.08,1.08,1.08,2000,0,0
2020-06-17 14:41:00+08:00,1.08,1.08,1.08,1.08,8000,0,0
2020-06-17 14:42:00+08:00,1.08,1.08,1.07,1.07,6000,0,0
2020-06-17 14:43:00+08:00,1.07,1.07,1.07,1.07,5000,0,0
2020-06-17 14:45:00+08:00,1.07,1.08,1.07,1.08,9300,0,0
2020-06-17 14:46:00+08:00,1.07,1.07,1.07,1.07,10000,0,0
2020-06-17 14:47:00+08:00,1.07,1.07,1.07,1.07,1700,0,0
2020-06-17 14:48:00+08:00,1.07,1.07,1.07,1.07,2000,0,0
2020-06-17 14:49:00+08:00,1.07,1.07,1.07,1.07,2000,0,0
2020-06-17 14:54:00+08:00,1.07,1.07,1.07,1.07,1000,0,0
2020-06-17 15:01:00+08:00,1.07,1.07,1.07,1.07,22600,0,0
2020-06-17 15:03:00+08:00,1.06,1.07,1.06,1.07,30000,0,0
2020-06-17 15:07:00+08:00,1.07,1.07,1.07,1.07,20000,0,0
2020-06-17 15:08:00+08:00,1.07,1.07,1.07,1.07,3000,0,0
2020-06-17 15:10:00+08:00,1.06,1.06,1.06,1.06,10000,0,0
2020-06-17 15:12:00+08:00,1.06,1.06,1.06,1.06,7600,0,0
2020-06-17 15:18:00+08:00,1.07,1.07,1.07,1.07,5900,0,0
2020-06-17 15:20:00+08:00,1.07,1.07,1.07,1.07,20000,0,0
2020-06-17 15:23:00+08:00,1.07,1.07,1.07,1.07,10000,0,0
2020-06-17 15:31:00+08:00,1.06,1.06,1.06,1.06,34000,0,0
2020-06-17 15:32:00+08:00,1.06,1.07,1.06,1.07,40000,0,0
2020-06-17 15:33:00+08:00,1.07,1.07,1.07,1.07,1200,0,0
2020-06-17 15:35:00+08:00,1.07,1.07,1.07,1.07,600,0,0
2020-06-17 15:37:00+08:00,1.07,1.07,1.07,1.07,31000,0,0
2020-06-17 15:39:00+08:00,1.07,1.07,1.07,1.07,2200,0,0
2020-06-17 15:40:00+08:00,1.07,1.07,1.07,1.07,7800,0,0
2020-06-17 15:46:00+08:00,1.07,1.07,1.07,1.07,18000,0,0
2020-06-17 15:48:00+08:00,1.07,1.07,1.07,1.07,4900,0,0
2020-06-17 15:51:00+08:00,1.07,1.07,1.07,1.07,2000,0,0
