Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:00:00+08:00,0.16,0.16,0.16,0.16,0,0,0
2020-06-11 09:22:00+08:00,0.16,0.16,0.155,0.155,261500,0,0
2020-06-11 09:23:00+08:00,0.16,0.16,0.16,0.16,39000,0,0
2020-06-11 09:25:00+08:00,0.16,0.16,0.16,0.16,17000,0,0
2020-06-11 09:33:00+08:00,0.16,0.16,0.16,0.16,402000,0,0
2020-06-11 09:34:00+08:00,0.16,0.16,0.16,0.16,98000,0,0
2020-06-11 09:37:00+08:00,0.16,0.16,0.16,0.16,232000,0,0
2020-06-11 09:48:00+08:00,0.16,0.16,0.16,0.16,3800,0,0
2020-06-11 09:53:00+08:00,0.16,0.16,0.16,0.16,20000,0,0
2020-06-11 10:09:00+08:00,0.16,0.16,0.16,0.16,15000,0,0
2020-06-11 10:20:00+08:00,0.155,0.155,0.155,0.155,10000,0,0
2020-06-11 10:25:00+08:00,0.155,0.155,0.155,0.155,50000,0,0
2020-06-11 10:26:00+08:00,0.155,0.155,0.155,0.155,80000,0,0
2020-06-11 10:28:00+08:00,0.155,0.155,0.155,0.155,42000,0,0
2020-06-11 10:32:00+08:00,0.155,0.155,0.155,0.155,10000,0,0
2020-06-11 10:33:00+08:00,0.155,0.155,0.155,0.155,10000,0,0
2020-06-11 10:53:00+08:00,0.155,0.155,0.155,0.155,15000,0,0
2020-06-11 11:13:00+08:00,0.155,0.155,0.155,0.155,20000,0,0
2020-06-11 11:28:00+08:00,0.16,0.16,0.16,0.16,70000,0,0
2020-06-11 11:29:00+08:00,0.16,0.16,0.16,0.16,40000,0,0
2020-06-11 11:46:00+08:00,0.155,0.155,0.155,0.155,20000,0,0
2020-06-11 11:48:00+08:00,0.155,0.155,0.155,0.155,11500,0,0
2020-06-11 12:04:00+08:00,0.15,0.15,0.15,0.15,500,0,0
2020-06-11 12:08:00+08:00,0.15,0.15,0.15,0.15,88500,0,0
2020-06-11 12:09:00+08:00,0.15,0.15,0.145,0.145,357600,0,0
2020-06-11 12:14:00+08:00,0.15,0.15,0.15,0.15,122000,0,0
2020-06-11 12:17:00+08:00,0.15,0.15,0.15,0.15,20600,0,0
2020-06-11 12:25:00+08:00,0.15,0.15,0.15,0.15,10000,0,0
2020-06-11 12:29:00+08:00,0.15,0.15,0.15,0.15,20000,0,0
2020-06-11 14:30:00+08:00,0.15,0.15,0.15,0.15,7900,0,0
2020-06-11 14:31:00+08:00,0.145,0.145,0.145,0.145,236400,0,0
2020-06-11 14:33:00+08:00,0.145,0.145,0.145,0.145,2000,0,0
2020-06-11 14:37:00+08:00,0.145,0.145,0.145,0.145,3000,0,0
2020-06-11 14:39:00+08:00,0.145,0.145,0.145,0.145,60000,0,0
2020-06-11 14:44:00+08:00,0.145,0.145,0.145,0.145,22100,0,0
2020-06-11 14:55:00+08:00,0.145,0.145,0.145,0.145,30000,0,0
2020-06-11 15:01:00+08:00,0.15,0.15,0.15,0.15,7000,0,0
2020-06-11 15:23:00+08:00,0.145,0.145,0.145,0.145,3000,0,0
2020-06-11 15:24:00+08:00,0.145,0.145,0.145,0.145,30000,0,0
2020-06-11 15:34:00+08:00,0.145,0.145,0.145,0.145,100000,0,0
2020-06-11 15:38:00+08:00,0.145,0.145,0.14,0.14,13000,0,0
2020-06-11 15:40:00+08:00,0.14,0.14,0.14,0.14,30000,0,0
2020-06-11 15:41:00+08:00,0.14,0.14,0.14,0.14,40000,0,0
2020-06-11 15:46:00+08:00,0.145,0.145,0.145,0.145,22500,0,0
2020-06-11 15:56:00+08:00,0.15,0.15,0.15,0.15,193000,0,0
2020-06-11 16:01:00+08:00,0.155,0.155,0.155,0.155,50000,0,0
2020-06-11 16:04:00+08:00,0.15,0.15,0.15,0.15,3000,0,0
2020-06-11 16:05:00+08:00,0.15,0.15,0.15,0.15,30000,0,0
2020-06-11 16:13:00+08:00,0.15,0.15,0.15,0.15,22500,0,0
2020-06-11 16:22:00+08:00,0.15,0.155,0.15,0.155,30100,0,0
2020-06-11 16:32:00+08:00,0.155,0.155,0.155,0.155,200000,0,0
2020-06-11 16:33:00+08:00,0.155,0.155,0.155,0.155,200000,0,0
2020-06-11 16:34:00+08:00,0.155,0.16,0.155,0.16,428400,0,0
2020-06-11 16:42:00+08:00,0.155,0.155,0.155,0.155,28000,0,0
2020-06-11 16:50:00+08:00,0.16,0.16,0.16,0.16,50000,0,0
2020-06-11 16:58:00+08:00,0.16,0.16,0.16,0.16,600,0,0
