Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-12 09:00:00+08:00,0.64,0.64,0.63,0.63,0,0,0
2020-06-12 09:01:00+08:00,0.63,0.635,0.63,0.63,162800,0,0
2020-06-12 09:02:00+08:00,0.63,0.63,0.63,0.63,22000,0,0
2020-06-12 09:04:00+08:00,0.635,0.64,0.635,0.635,455700,0,0
2020-06-12 09:05:00+08:00,0.64,0.64,0.635,0.635,162000,0,0
2020-06-12 09:06:00+08:00,0.635,0.645,0.635,0.645,318500,0,0
2020-06-12 09:07:00+08:00,0.65,0.65,0.64,0.64,121900,0,0
2020-06-12 09:08:00+08:00,0.645,0.645,0.645,0.645,36000,0,0
2020-06-12 09:09:00+08:00,0.645,0.65,0.645,0.65,310200,0,0
2020-06-12 09:10:00+08:00,0.65,0.65,0.645,0.65,35100,0,0
2020-06-12 09:11:00+08:00,0.65,0.65,0.65,0.65,6400,0,0
2020-06-12 09:12:00+08:00,0.65,0.655,0.65,0.655,51800,0,0
2020-06-12 09:13:00+08:00,0.655,0.655,0.655,0.655,75000,0,0
2020-06-12 09:14:00+08:00,0.65,0.65,0.65,0.65,133200,0,0
2020-06-12 09:15:00+08:00,0.655,0.655,0.65,0.655,107900,0,0
2020-06-12 09:16:00+08:00,0.655,0.66,0.655,0.66,205800,0,0
2020-06-12 09:17:00+08:00,0.66,0.66,0.65,0.65,68400,0,0
2020-06-12 09:18:00+08:00,0.655,0.655,0.65,0.655,109000,0,0
2020-06-12 09:19:00+08:00,0.655,0.655,0.65,0.65,107100,0,0
2020-06-12 09:20:00+08:00,0.655,0.655,0.65,0.65,115000,0,0
2020-06-12 09:21:00+08:00,0.655,0.655,0.65,0.655,85000,0,0
2020-06-12 09:22:00+08:00,0.655,0.655,0.655,0.655,27600,0,0
2020-06-12 09:23:00+08:00,0.655,0.655,0.655,0.655,10000,0,0
2020-06-12 09:24:00+08:00,0.655,0.66,0.655,0.66,20000,0,0
2020-06-12 09:25:00+08:00,0.655,0.655,0.655,0.655,58000,0,0
2020-06-12 09:26:00+08:00,0.655,0.655,0.655,0.655,70100,0,0
2020-06-12 09:27:00+08:00,0.655,0.655,0.655,0.655,2500,0,0
2020-06-12 09:28:00+08:00,0.655,0.655,0.655,0.655,17500,0,0
2020-06-12 09:29:00+08:00,0.655,0.66,0.655,0.66,647500,0,0
2020-06-12 09:30:00+08:00,0.66,0.66,0.66,0.66,2000,0,0
2020-06-12 09:31:00+08:00,0.665,0.665,0.66,0.66,50100,0,0
2020-06-12 09:32:00+08:00,0.665,0.665,0.665,0.665,72000,0,0
2020-06-12 09:33:00+08:00,0.665,0.665,0.66,0.665,113400,0,0
2020-06-12 09:34:00+08:00,0.67,0.67,0.665,0.665,50000,0,0
2020-06-12 09:35:00+08:00,0.665,0.665,0.665,0.665,21500,0,0
2020-06-12 09:36:00+08:00,0.665,0.665,0.665,0.665,145000,0,0
2020-06-12 09:37:00+08:00,0.665,0.665,0.665,0.665,1200,0,0
2020-06-12 09:38:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-12 09:39:00+08:00,0.67,0.67,0.67,0.67,200,0,0
2020-06-12 09:40:00+08:00,0.665,0.665,0.665,0.665,1000,0,0
2020-06-12 09:41:00+08:00,0.67,0.67,0.67,0.67,1000,0,0
2020-06-12 09:42:00+08:00,0.665,0.665,0.665,0.665,25000,0,0
2020-06-12 09:43:00+08:00,0.67,0.67,0.67,0.67,25000,0,0
2020-06-12 09:45:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-12 09:46:00+08:00,0.67,0.67,0.67,0.67,105000,0,0
2020-06-12 09:47:00+08:00,0.67,0.67,0.67,0.67,470600,0,0
2020-06-12 09:50:00+08:00,0.67,0.67,0.67,0.67,10000,0,0
2020-06-12 09:51:00+08:00,0.67,0.67,0.67,0.67,19500,0,0
2020-06-12 09:52:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-12 09:53:00+08:00,0.67,0.675,0.67,0.675,31000,0,0
2020-06-12 09:54:00+08:00,0.675,0.675,0.67,0.67,10000,0,0
2020-06-12 09:55:00+08:00,0.675,0.675,0.675,0.675,5000,0,0
2020-06-12 09:57:00+08:00,0.675,0.675,0.675,0.675,5000,0,0
2020-06-12 09:58:00+08:00,0.675,0.675,0.675,0.675,69000,0,0
2020-06-12 09:59:00+08:00,0.67,0.675,0.67,0.67,94000,0,0
2020-06-12 10:00:00+08:00,0.67,0.67,0.67,0.67,52900,0,0
2020-06-12 10:01:00+08:00,0.675,0.675,0.67,0.67,207000,0,0
2020-06-12 10:02:00+08:00,0.67,0.67,0.67,0.67,57500,0,0
2020-06-12 10:03:00+08:00,0.67,0.67,0.67,0.67,223000,0,0
2020-06-12 10:04:00+08:00,0.67,0.67,0.67,0.67,121100,0,0
2020-06-12 10:06:00+08:00,0.67,0.67,0.67,0.67,200,0,0
2020-06-12 10:07:00+08:00,0.665,0.665,0.665,0.665,148000,0,0
2020-06-12 10:08:00+08:00,0.665,0.665,0.665,0.665,130000,0,0
2020-06-12 10:09:00+08:00,0.665,0.665,0.665,0.665,51100,0,0
2020-06-12 10:10:00+08:00,0.665,0.665,0.665,0.665,13000,0,0
2020-06-12 10:11:00+08:00,0.665,0.665,0.665,0.665,10000,0,0
2020-06-12 10:12:00+08:00,0.665,0.665,0.665,0.665,20600,0,0
2020-06-12 10:13:00+08:00,0.66,0.665,0.66,0.665,68700,0,0
2020-06-12 10:14:00+08:00,0.665,0.665,0.665,0.665,83300,0,0
2020-06-12 10:15:00+08:00,0.67,0.67,0.67,0.67,16000,0,0
2020-06-12 10:18:00+08:00,0.67,0.67,0.67,0.67,4000,0,0
2020-06-12 10:19:00+08:00,0.665,0.665,0.665,0.665,155500,0,0
2020-06-12 10:21:00+08:00,0.665,0.665,0.665,0.665,700,0,0
2020-06-12 10:23:00+08:00,0.665,0.67,0.665,0.67,10000,0,0
2020-06-12 10:25:00+08:00,0.665,0.665,0.665,0.665,101500,0,0
2020-06-12 10:27:00+08:00,0.665,0.665,0.665,0.665,25000,0,0
2020-06-12 10:28:00+08:00,0.665,0.665,0.665,0.665,25000,0,0
2020-06-12 10:29:00+08:00,0.665,0.67,0.665,0.67,24400,0,0
2020-06-12 10:30:00+08:00,0.67,0.67,0.67,0.67,1000,0,0
2020-06-12 10:32:00+08:00,0.665,0.665,0.665,0.665,14000,0,0
2020-06-12 10:33:00+08:00,0.66,0.66,0.66,0.66,6500,0,0
2020-06-12 10:34:00+08:00,0.665,0.665,0.665,0.665,20000,0,0
2020-06-12 10:35:00+08:00,0.66,0.66,0.66,0.66,2000,0,0
2020-06-12 10:36:00+08:00,0.66,0.66,0.66,0.66,12000,0,0
2020-06-12 10:37:00+08:00,0.66,0.66,0.66,0.66,10000,0,0
2020-06-12 10:38:00+08:00,0.665,0.665,0.665,0.665,8000,0,0
2020-06-12 10:39:00+08:00,0.665,0.665,0.665,0.665,8800,0,0
2020-06-12 10:42:00+08:00,0.67,0.67,0.67,0.67,35000,0,0
2020-06-12 10:44:00+08:00,0.67,0.67,0.67,0.67,500,0,0
2020-06-12 10:46:00+08:00,0.665,0.665,0.665,0.665,2000,0,0
2020-06-12 10:48:00+08:00,0.67,0.67,0.67,0.67,6000,0,0
2020-06-12 10:50:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-12 10:51:00+08:00,0.67,0.67,0.67,0.67,1000,0,0
2020-06-12 10:52:00+08:00,0.67,0.67,0.67,0.67,25000,0,0
2020-06-12 10:54:00+08:00,0.67,0.67,0.665,0.665,50000,0,0
2020-06-12 10:56:00+08:00,0.665,0.665,0.665,0.665,4000,0,0
2020-06-12 10:57:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-12 11:00:00+08:00,0.67,0.67,0.67,0.67,50000,0,0
2020-06-12 11:01:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-12 11:03:00+08:00,0.67,0.67,0.665,0.67,15500,0,0
2020-06-12 11:04:00+08:00,0.67,0.67,0.67,0.67,30000,0,0
2020-06-12 11:06:00+08:00,0.67,0.67,0.67,0.67,25000,0,0
2020-06-12 11:07:00+08:00,0.67,0.67,0.67,0.67,30000,0,0
2020-06-12 11:08:00+08:00,0.67,0.67,0.67,0.67,35000,0,0
2020-06-12 11:10:00+08:00,0.67,0.67,0.67,0.67,50000,0,0
2020-06-12 11:11:00+08:00,0.67,0.67,0.67,0.67,3500,0,0
2020-06-12 11:12:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-12 11:13:00+08:00,0.67,0.67,0.67,0.67,86600,0,0
2020-06-12 11:14:00+08:00,0.67,0.67,0.67,0.67,3000,0,0
2020-06-12 11:16:00+08:00,0.67,0.67,0.67,0.67,2000,0,0
2020-06-12 11:17:00+08:00,0.67,0.67,0.67,0.67,10000,0,0
2020-06-12 11:19:00+08:00,0.665,0.665,0.665,0.665,75000,0,0
2020-06-12 11:20:00+08:00,0.665,0.665,0.665,0.665,7000,0,0
2020-06-12 11:21:00+08:00,0.665,0.67,0.665,0.67,7500,0,0
2020-06-12 11:22:00+08:00,0.67,0.67,0.67,0.67,300,0,0
2020-06-12 11:26:00+08:00,0.67,0.67,0.665,0.665,11000,0,0
2020-06-12 11:27:00+08:00,0.665,0.67,0.665,0.67,24000,0,0
2020-06-12 11:29:00+08:00,0.665,0.67,0.665,0.67,70000,0,0
2020-06-12 11:30:00+08:00,0.665,0.665,0.665,0.665,40000,0,0
2020-06-12 11:32:00+08:00,0.665,0.665,0.665,0.665,100000,0,0
2020-06-12 11:33:00+08:00,0.665,0.665,0.665,0.665,12000,0,0
2020-06-12 11:34:00+08:00,0.665,0.665,0.665,0.665,100000,0,0
2020-06-12 11:35:00+08:00,0.665,0.665,0.665,0.665,225000,0,0
2020-06-12 11:36:00+08:00,0.665,0.665,0.665,0.665,40000,0,0
2020-06-12 11:37:00+08:00,0.665,0.665,0.665,0.665,55000,0,0
2020-06-12 11:38:00+08:00,0.665,0.665,0.665,0.665,4500,0,0
2020-06-12 11:40:00+08:00,0.665,0.665,0.665,0.665,34000,0,0
2020-06-12 11:42:00+08:00,0.665,0.665,0.665,0.665,4500,0,0
2020-06-12 11:43:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-12 11:44:00+08:00,0.665,0.665,0.665,0.665,200,0,0
2020-06-12 11:45:00+08:00,0.665,0.665,0.665,0.665,20000,0,0
2020-06-12 11:46:00+08:00,0.665,0.665,0.665,0.665,1000,0,0
2020-06-12 11:47:00+08:00,0.665,0.665,0.665,0.665,100100,0,0
2020-06-12 11:48:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-12 11:53:00+08:00,0.665,0.665,0.665,0.665,10000,0,0
2020-06-12 11:59:00+08:00,0.665,0.665,0.665,0.665,34400,0,0
2020-06-12 12:04:00+08:00,0.665,0.665,0.665,0.665,3500,0,0
2020-06-12 12:07:00+08:00,0.665,0.665,0.665,0.665,15000,0,0
2020-06-12 12:09:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-12 12:10:00+08:00,0.665,0.665,0.665,0.665,14500,0,0
2020-06-12 12:11:00+08:00,0.665,0.665,0.665,0.665,4000,0,0
2020-06-12 12:17:00+08:00,0.665,0.665,0.665,0.665,5000,0,0
2020-06-12 12:19:00+08:00,0.67,0.675,0.67,0.67,393500,0,0
2020-06-12 12:20:00+08:00,0.67,0.67,0.67,0.67,55000,0,0
2020-06-12 12:21:00+08:00,0.67,0.67,0.67,0.67,15200,0,0
2020-06-12 12:25:00+08:00,0.67,0.67,0.67,0.67,2500,0,0
2020-06-12 12:28:00+08:00,0.67,0.67,0.67,0.67,300,0,0
2020-06-12 14:30:00+08:00,0.675,0.675,0.675,0.675,50700,0,0
2020-06-12 14:33:00+08:00,0.67,0.67,0.67,0.67,120000,0,0
2020-06-12 14:34:00+08:00,0.67,0.67,0.67,0.67,4000,0,0
2020-06-12 14:35:00+08:00,0.675,0.675,0.67,0.67,125000,0,0
2020-06-12 14:38:00+08:00,0.67,0.67,0.67,0.67,10500,0,0
2020-06-12 14:39:00+08:00,0.67,0.67,0.67,0.67,20600,0,0
2020-06-12 14:40:00+08:00,0.67,0.67,0.67,0.67,20000,0,0
2020-06-12 14:41:00+08:00,0.675,0.675,0.675,0.675,10000,0,0
2020-06-12 14:42:00+08:00,0.675,0.675,0.675,0.675,4000,0,0
2020-06-12 14:45:00+08:00,0.675,0.675,0.675,0.675,10000,0,0
2020-06-12 14:46:00+08:00,0.67,0.67,0.67,0.67,2000,0,0
2020-06-12 14:48:00+08:00,0.67,0.67,0.67,0.67,87500,0,0
2020-06-12 14:49:00+08:00,0.67,0.67,0.67,0.67,38000,0,0
2020-06-12 14:50:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-12 14:51:00+08:00,0.67,0.67,0.67,0.67,23000,0,0
2020-06-12 14:52:00+08:00,0.675,0.675,0.675,0.675,5000,0,0
2020-06-12 14:53:00+08:00,0.675,0.675,0.675,0.675,12200,0,0
2020-06-12 14:54:00+08:00,0.675,0.675,0.675,0.675,5000,0,0
2020-06-12 14:55:00+08:00,0.675,0.675,0.675,0.675,13000,0,0
2020-06-12 14:56:00+08:00,0.675,0.675,0.675,0.675,12000,0,0
2020-06-12 14:57:00+08:00,0.67,0.675,0.67,0.675,12000,0,0
2020-06-12 14:58:00+08:00,0.675,0.675,0.675,0.675,8000,0,0
2020-06-12 14:59:00+08:00,0.675,0.675,0.675,0.675,10500,0,0
2020-06-12 15:00:00+08:00,0.67,0.67,0.67,0.67,70700,0,0
2020-06-12 15:01:00+08:00,0.665,0.67,0.665,0.67,25100,0,0
2020-06-12 15:02:00+08:00,0.665,0.665,0.665,0.665,10000,0,0
2020-06-12 15:03:00+08:00,0.665,0.67,0.665,0.67,30000,0,0
2020-06-12 15:04:00+08:00,0.665,0.665,0.665,0.665,3800,0,0
2020-06-12 15:06:00+08:00,0.67,0.67,0.67,0.67,5000,0,0
2020-06-12 15:16:00+08:00,0.67,0.67,0.67,0.67,15000,0,0
2020-06-12 15:17:00+08:00,0.67,0.675,0.67,0.675,399000,0,0
2020-06-12 15:21:00+08:00,0.67,0.67,0.67,0.67,32000,0,0
2020-06-12 15:24:00+08:00,0.67,0.67,0.67,0.67,11500,0,0
2020-06-12 15:25:00+08:00,0.67,0.67,0.67,0.67,80000,0,0
2020-06-12 15:27:00+08:00,0.67,0.67,0.665,0.665,45000,0,0
